# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z41.html
# 
# Niobium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.600e+03,4.592e+03
1.500e-03,1.786e+03,1.780e+03
2.000e-03,8.893e+02,8.832e+02
2.371e-03,5.844e+02,5.786e+02
2.371e-03,2.181e+03,2.125e+03
2.417e-03,2.045e+03,1.992e+03
2.465e-03,1.935e+03,1.886e+03
2.465e-03,2.694e+03,2.619e+03
2.579e-03,2.412e+03,2.347e+03
2.698e-03,2.161e+03,2.104e+03
2.698e-03,2.470e+03,2.405e+03
3.000e-03,1.906e+03,1.859e+03
4.000e-03,9.164e+02,8.970e+02
5.000e-03,5.134e+02,5.027e+02
6.000e-03,3.172e+02,3.103e+02
8.000e-03,1.469e+02,1.429e+02
1.000e-02,8.038e+01,7.754e+01
1.500e-02,2.672e+01,2.508e+01
1.899e-02,1.409e+01,1.291e+01
1.899e-02,8.784e+01,3.746e+01
2.000e-02,7.712e+01,3.493e+01
3.000e-02,2.666e+01,1.648e+01
4.000e-02,1.223e+01,8.511e+00
5.000e-02,6.644e+00,4.884e+00
6.000e-02,4.032e+00,3.040e+00
8.000e-02,1.852e+00,1.403e+00
1.000e-01,1.037e+00,7.608e-01
1.500e-01,4.023e-01,2.542e-01
2.000e-01,2.344e-01,1.247e-01
3.000e-01,1.357e-01,5.705e-02
4.000e-01,1.040e-01,4.026e-02
5.000e-01,8.831e-02,3.396e-02
6.000e-01,7.858e-02,3.085e-02
8.000e-01,6.642e-02,2.764e-02
1.000e+00,5.866e-02,2.575e-02
1.250e+00,5.196e-02,2.402e-02
1.500e+00,4.741e-02,2.276e-02
2.000e+00,4.185e-02,2.130e-02
3.000e+00,3.686e-02,2.054e-02
4.000e+00,3.498e-02,2.086e-02
5.000e+00,3.436e-02,2.153e-02
6.000e+00,3.432e-02,2.227e-02
8.000e+00,3.508e-02,2.375e-02
1.000e+01,3.628e-02,2.503e-02
1.500e+01,3.944e-02,2.718e-02
2.000e+01,4.224e-02,2.828e-02
# end of file
