# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z42.html
# 
# Molybdenum
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.942e+03,4.935e+03
1.500e-03,1.925e+03,1.918e+03
2.000e-03,9.593e+02,9.531e+02
2.520e-03,5.415e+02,5.358e+02
2.520e-03,1.979e+03,1.924e+03
2.572e-03,1.854e+03,1.802e+03
2.625e-03,1.750e+03,1.703e+03
2.625e-03,2.433e+03,2.360e+03
2.743e-03,2.183e+03,2.119e+03
2.865e-03,1.961e+03,1.906e+03
2.865e-03,2.243e+03,2.179e+03
3.000e-03,2.011e+03,1.956e+03
4.000e-03,9.703e+02,9.475e+02
5.000e-03,5.450e+02,5.328e+02
6.000e-03,3.373e+02,3.295e+02
8.000e-03,1.565e+02,1.522e+02
1.000e-02,8.576e+01,8.275e+01
1.500e-02,2.854e+01,2.684e+01
2.000e-02,1.308e+01,1.193e+01
2.000e-02,8.055e+01,3.293e+01
2.000e-02,8.054e+01,3.336e+01
3.000e-02,2.810e+01,1.664e+01
4.000e-02,1.294e+01,8.757e+00
5.000e-02,7.037e+00,5.074e+00
6.000e-02,4.274e+00,3.178e+00
8.000e-02,1.962e+00,1.477e+00
1.000e-01,1.096e+00,8.042e-01
1.500e-01,4.208e-01,2.693e-01
2.000e-01,2.423e-01,1.316e-01
3.000e-01,1.379e-01,5.919e-02
4.000e-01,1.047e-01,4.117e-02
5.000e-01,8.848e-02,3.437e-02
6.000e-01,7.851e-02,3.104e-02
8.000e-01,6.619e-02,2.764e-02
1.000e+00,5.837e-02,2.567e-02
1.250e+00,5.167e-02,2.390e-02
1.500e+00,4.713e-02,2.263e-02
2.000e+00,4.163e-02,2.118e-02
3.000e+00,3.675e-02,2.046e-02
4.000e+00,3.496e-02,2.084e-02
5.000e+00,3.439e-02,2.153e-02
6.000e+00,3.440e-02,2.231e-02
8.000e+00,3.523e-02,2.382e-02
1.000e+01,3.650e-02,2.513e-02
1.500e+01,3.978e-02,2.731e-02
2.000e+01,4.264e-02,2.840e-02
# end of file
