# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z43.html
# 
# Technetium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,5.356e+03,5.348e+03
1.500e-03,2.092e+03,2.085e+03
2.000e-03,1.044e+03,1.037e+03
2.677e-03,5.072e+02,5.014e+02
2.677e-03,1.812e+03,1.758e+03
2.734e-03,1.699e+03,1.648e+03
2.793e-03,1.602e+03,1.555e+03
2.793e-03,2.223e+03,2.151e+03
3.000e-03,1.862e+03,1.805e+03
3.043e-03,1.800e+03,1.745e+03
3.043e-03,2.059e+03,1.995e+03
4.000e-03,1.036e+03,1.009e+03
5.000e-03,5.836e+02,5.694e+02
6.000e-03,3.619e+02,3.530e+02
8.000e-03,1.683e+02,1.635e+02
1.000e-02,9.231e+01,8.908e+01
1.500e-02,3.076e+01,2.898e+01
2.000e-02,1.410e+01,1.290e+01
2.104e-02,1.229e+01,1.117e+01
2.104e-02,7.481e+01,3.014e+01
3.000e-02,2.993e+01,1.693e+01
4.000e-02,1.381e+01,9.075e+00
5.000e-02,7.521e+00,5.312e+00
6.000e-02,4.571e+00,3.348e+00
8.000e-02,2.099e+00,1.568e+00
1.000e-01,1.169e+00,8.572e-01
1.500e-01,4.449e-01,2.880e-01
2.000e-01,2.534e-01,1.403e-01
3.000e-01,1.418e-01,6.214e-02
4.000e-01,1.066e-01,4.257e-02
5.000e-01,8.968e-02,3.521e-02
6.000e-01,7.935e-02,3.159e-02
8.000e-01,6.674e-02,2.797e-02
1.000e+00,5.876e-02,2.589e-02
1.250e+00,5.197e-02,2.406e-02
1.500e+00,4.740e-02,2.276e-02
2.000e+00,4.189e-02,2.129e-02
3.000e+00,3.705e-02,2.061e-02
4.000e+00,3.532e-02,2.103e-02
5.000e+00,3.482e-02,2.178e-02
6.000e+00,3.487e-02,2.258e-02
8.000e+00,3.578e-02,2.415e-02
1.000e+01,3.712e-02,2.549e-02
1.500e+01,4.055e-02,2.774e-02
2.000e+01,4.353e-02,2.884e-02
# end of file
