# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z44.html
# 
# Ruthenium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,5.718e+03,5.709e+03
1.500e-03,2.240e+03,2.233e+03
2.000e-03,1.120e+03,1.113e+03
2.838e-03,4.704e+02,4.646e+02
2.838e-03,1.644e+03,1.591e+03
2.902e-03,1.542e+03,1.492e+03
2.967e-03,1.452e+03,1.407e+03
2.967e-03,2.317e+03,2.233e+03
3.000e-03,1.963e+03,1.894e+03
3.224e-03,1.638e+03,1.584e+03
3.224e-03,1.874e+03,1.811e+03
4.000e-03,1.095e+03,1.063e+03
5.000e-03,6.165e+02,6.000e+02
6.000e-03,3.832e+02,3.731e+02
8.000e-03,1.785e+02,1.733e+02
1.000e-02,9.800e+01,9.456e+01
1.500e-02,3.270e+01,3.085e+01
2.000e-02,1.499e+01,1.376e+01
2.212e-02,1.143e+01,1.035e+01
2.212e-02,6.876e+01,2.700e+01
3.000e-02,3.139e+01,1.689e+01
4.000e-02,1.452e+01,9.251e+00
5.000e-02,7.926e+00,5.477e+00
6.000e-02,4.822e+00,3.476e+00
8.000e-02,2.215e+00,1.641e+00
1.000e-01,1.232e+00,9.012e-01
1.500e-01,4.647e-01,3.037e-01
2.000e-01,2.618e-01,1.475e-01
3.000e-01,1.440e-01,6.445e-02
4.000e-01,1.074e-01,4.355e-02
5.000e-01,8.992e-02,3.567e-02
6.000e-01,7.933e-02,3.182e-02
8.000e-01,6.647e-02,2.796e-02
1.000e+00,5.846e-02,2.581e-02
1.250e+00,5.166e-02,2.393e-02
1.500e+00,4.710e-02,2.262e-02
2.000e+00,4.164e-02,2.115e-02
3.000e+00,3.692e-02,2.052e-02
4.000e+00,3.527e-02,2.098e-02
5.000e+00,3.482e-02,2.176e-02
6.000e+00,3.491e-02,2.259e-02
8.000e+00,3.591e-02,2.419e-02
1.000e+01,3.730e-02,2.556e-02
1.500e+01,4.084e-02,2.783e-02
2.000e+01,4.387e-02,2.893e-02
# end of file
