# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z45.html
# 
# Rhodium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,6.169e+03,6.160e+03
1.500e-03,2.426e+03,2.419e+03
2.000e-03,1.214e+03,1.207e+03
3.000e-03,4.441e+02,4.382e+02
3.004e-03,4.427e+02,4.368e+02
3.004e-03,1.513e+03,1.461e+03
3.074e-03,1.422e+03,1.372e+03
3.146e-03,1.337e+03,1.292e+03
3.146e-03,1.847e+03,1.777e+03
3.276e-03,1.671e+03,1.608e+03
3.412e-03,1.512e+03,1.458e+03
3.412e-03,1.731e+03,1.669e+03
4.000e-03,1.170e+03,1.132e+03
5.000e-03,6.589e+02,6.396e+02
6.000e-03,4.101e+02,3.985e+02
8.000e-03,1.915e+02,1.857e+02
1.000e-02,1.053e+02,1.015e+02
1.500e-02,3.518e+01,3.322e+01
2.000e-02,1.613e+01,1.484e+01
2.322e-02,1.079e+01,9.736e+00
2.322e-02,6.414e+01,2.458e+01
3.000e-02,3.330e+01,1.699e+01
4.000e-02,1.544e+01,9.520e+00
5.000e-02,8.448e+00,5.706e+00
6.000e-02,5.147e+00,3.649e+00
8.000e-02,2.365e+00,1.737e+00
1.000e-01,1.314e+00,9.581e-01
1.500e-01,4.916e-01,3.241e-01
2.000e-01,2.742e-01,1.571e-01
3.000e-01,1.485e-01,6.776e-02
4.000e-01,1.097e-01,4.517e-02
5.000e-01,9.134e-02,3.663e-02
6.000e-01,8.035e-02,3.247e-02
8.000e-01,6.711e-02,2.834e-02
1.000e+00,5.894e-02,2.608e-02
1.250e+00,5.204e-02,2.413e-02
1.500e+00,4.744e-02,2.278e-02
2.000e+00,4.197e-02,2.131e-02
3.000e+00,3.728e-02,2.071e-02
4.000e+00,3.568e-02,2.122e-02
5.000e+00,3.529e-02,2.204e-02
6.000e+00,3.542e-02,2.290e-02
8.000e+00,3.650e-02,2.456e-02
1.000e+01,3.797e-02,2.597e-02
1.500e+01,4.166e-02,2.831e-02
2.000e+01,4.481e-02,2.943e-02
# end of file
