# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z49.html
# 
# Indium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,7.809e+03,7.797e+03
1.500e-03,3.131e+03,3.122e+03
2.000e-03,1.578e+03,1.570e+03
3.000e-03,5.808e+02,5.743e+02
3.730e-03,3.356e+02,3.298e+02
3.730e-03,1.046e+03,9.989e+02
3.833e-03,9.930e+02,9.465e+02
3.938e-03,9.313e+02,8.905e+02
3.938e-03,1.261e+03,1.199e+03
4.000e-03,1.231e+03,1.170e+03
4.237e-03,1.066e+03,1.016e+03
4.237e-03,1.223e+03,1.164e+03
5.000e-03,8.134e+02,7.780e+02
6.000e-03,5.072e+02,4.871e+02
8.000e-03,2.391e+02,2.301e+02
1.000e-02,1.321e+02,1.269e+02
1.500e-02,4.445e+01,4.206e+01
2.000e-02,2.044e+01,1.893e+01
2.794e-02,8.316e+00,7.395e+00
2.794e-02,4.733e+01,1.670e+01
3.000e-02,3.949e+01,1.553e+01
4.000e-02,1.873e+01,9.911e+00
5.000e-02,1.030e+01,6.262e+00
6.000e-02,6.306e+00,4.135e+00
8.000e-02,2.907e+00,2.043e+00
1.000e-01,1.609e+00,1.150e+00
1.500e-01,5.876e-01,3.960e-01
2.000e-01,3.167e-01,1.913e-01
3.000e-01,1.614e-01,7.923e-02
4.000e-01,1.149e-01,5.031e-02
5.000e-01,9.371e-02,3.932e-02
6.000e-01,8.138e-02,3.398e-02
8.000e-01,6.707e-02,2.883e-02
1.000e+00,5.849e-02,2.615e-02
1.250e+00,5.144e-02,2.398e-02
1.500e+00,4.684e-02,2.254e-02
2.000e+00,4.151e-02,2.105e-02
3.000e+00,3.715e-02,2.060e-02
4.000e+00,3.582e-02,2.127e-02
5.000e+00,3.564e-02,2.223e-02
6.000e+00,3.596e-02,2.321e-02
8.000e+00,3.730e-02,2.502e-02
1.000e+01,3.898e-02,2.653e-02
1.500e+01,4.311e-02,2.903e-02
2.000e+01,4.654e-02,3.020e-02
# end of file
