# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z50.html
# 
# Tin
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,8.157e+03,8.144e+03
1.500e-03,3.296e+03,3.287e+03
2.000e-03,1.665e+03,1.657e+03
3.000e-03,6.143e+02,6.077e+02
3.929e-03,3.114e+02,3.058e+02
3.929e-03,9.285e+02,8.845e+02
4.000e-03,9.393e+02,8.945e+02
4.156e-03,8.469e+02,8.074e+02
4.156e-03,1.145e+03,1.084e+03
4.308e-03,1.060e+03,1.002e+03
4.465e-03,9.712e+02,9.221e+02
4.465e-03,1.117e+03,1.059e+03
5.000e-03,8.471e+02,8.064e+02
6.000e-03,5.294e+02,5.065e+02
8.000e-03,2.500e+02,2.400e+02
1.000e-02,1.384e+02,1.327e+02
1.500e-02,4.664e+01,4.413e+01
2.000e-02,2.146e+01,1.990e+01
2.920e-02,7.760e+00,6.876e+00
2.920e-02,4.360e+01,1.514e+01
3.000e-02,4.121e+01,1.490e+01
4.000e-02,1.942e+01,9.835e+00
5.000e-02,1.070e+01,6.314e+00
6.000e-02,6.564e+00,4.211e+00
8.000e-02,3.029e+00,2.101e+00
1.000e-01,1.676e+00,1.189e+00
1.500e-01,6.091e-01,4.119e-01
2.000e-01,3.260e-01,1.990e-01
3.000e-01,1.639e-01,8.179e-02
4.000e-01,1.156e-01,5.138e-02
5.000e-01,9.374e-02,3.980e-02
6.000e-01,8.113e-02,3.417e-02
8.000e-01,6.662e-02,2.878e-02
1.000e+00,5.800e-02,2.601e-02
1.250e+00,5.095e-02,2.379e-02
1.500e+00,4.638e-02,2.233e-02
2.000e+00,4.112e-02,2.085e-02
3.000e+00,3.686e-02,2.044e-02
4.000e+00,3.561e-02,2.115e-02
5.000e+00,3.548e-02,2.213e-02
6.000e+00,3.583e-02,2.312e-02
8.000e+00,3.724e-02,2.496e-02
1.000e+01,3.895e-02,2.649e-02
1.500e+01,4.315e-02,2.901e-02
2.000e+01,4.662e-02,3.018e-02
# end of file
