# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z51.html
# 
# Antimony
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,8.582e+03,8.568e+03
1.500e-03,3.491e+03,3.481e+03
2.000e-03,1.767e+03,1.759e+03
3.000e-03,6.536e+02,6.469e+02
4.000e-03,3.169e+02,3.113e+02
4.132e-03,2.918e+02,2.863e+02
4.132e-03,8.691e+02,8.252e+02
4.254e-03,8.308e+02,7.865e+02
4.380e-03,7.776e+02,7.392e+02
4.380e-03,1.050e+03,9.906e+02
4.537e-03,9.743e+02,9.178e+02
4.698e-03,8.939e+02,8.457e+02
4.698e-03,1.029e+03,9.725e+02
5.000e-03,8.846e+02,8.377e+02
6.000e-03,5.569e+02,5.305e+02
8.000e-03,2.631e+02,2.518e+02
1.000e-02,1.459e+02,1.396e+02
1.500e-02,4.923e+01,4.657e+01
2.000e-02,2.268e+01,2.105e+01
3.000e-02,7.631e+00,6.755e+00
3.049e-02,7.307e+00,6.452e+00
3.049e-02,4.073e+01,1.391e+01
4.000e-02,2.027e+01,9.789e+00
5.000e-02,1.120e+01,6.400e+00
6.000e-02,6.879e+00,4.311e+00
8.000e-02,3.176e+00,2.173e+00
1.000e-01,1.758e+00,1.237e+00
1.500e-01,6.361e-01,4.312e-01
2.000e-01,3.381e-01,2.084e-01
3.000e-01,1.677e-01,8.504e-02
4.000e-01,1.172e-01,5.288e-02
5.000e-01,9.453e-02,4.061e-02
6.000e-01,8.153e-02,3.465e-02
8.000e-01,6.670e-02,2.896e-02
1.000e+00,5.797e-02,2.608e-02
1.250e+00,5.086e-02,2.378e-02
1.500e+00,4.628e-02,2.230e-02
2.000e+00,4.105e-02,2.081e-02
3.000e+00,3.686e-02,2.043e-02
4.000e+00,3.567e-02,2.118e-02
5.000e+00,3.559e-02,2.219e-02
6.000e+00,3.598e-02,2.321e-02
8.000e+00,3.745e-02,2.509e-02
1.000e+01,3.921e-02,2.664e-02
1.500e+01,4.351e-02,2.920e-02
2.000e+01,4.704e-02,3.038e-02
# end of file
