# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z52.html
# 
# Tellurium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,8.434e+03,8.419e+03
1.003e-03,8.380e+03,8.365e+03
1.006e-03,8.326e+03,8.311e+03
1.006e-03,8.684e+03,8.668e+03
1.500e-03,3.608e+03,3.598e+03
2.000e-03,1.832e+03,1.824e+03
3.000e-03,6.792e+02,6.726e+02
4.000e-03,3.297e+02,3.240e+02
4.341e-03,2.678e+02,2.625e+02
4.341e-03,7.882e+02,7.460e+02
4.475e-03,7.504e+02,7.078e+02
4.612e-03,6.995e+02,6.629e+02
4.612e-03,9.445e+02,8.880e+02
4.773e-03,8.782e+02,8.237e+02
4.939e-03,8.062e+02,7.600e+02
4.939e-03,9.292e+02,8.744e+02
5.000e-03,9.014e+02,8.487e+02
6.000e-03,5.721e+02,5.423e+02
8.000e-03,2.702e+02,2.578e+02
1.000e-02,1.501e+02,1.433e+02
1.500e-02,5.078e+01,4.802e+01
2.000e-02,2.341e+01,2.175e+01
3.000e-02,7.878e+00,6.997e+00
3.181e-02,6.738e+00,5.929e+00
3.181e-02,3.719e+01,1.251e+01
4.000e-02,2.064e+01,9.480e+00
5.000e-02,1.145e+01,6.330e+00
6.000e-02,7.041e+00,4.306e+00
8.000e-02,3.255e+00,2.195e+00
1.000e-01,1.801e+00,1.256e+00
1.500e-01,6.492e-01,4.409e-01
2.000e-01,3.429e-01,2.132e-01
3.000e-01,1.679e-01,8.646e-02
4.000e-01,1.163e-01,5.326e-02
5.000e-01,9.328e-02,4.055e-02
6.000e-01,8.022e-02,3.440e-02
8.000e-01,6.538e-02,2.854e-02
1.000e+00,5.669e-02,2.559e-02
1.250e+00,4.967e-02,2.327e-02
1.500e+00,4.518e-02,2.179e-02
2.000e+00,4.009e-02,2.033e-02
3.000e+00,3.606e-02,1.998e-02
4.000e+00,3.494e-02,2.075e-02
5.000e+00,3.492e-02,2.177e-02
6.000e+00,3.534e-02,2.279e-02
8.000e+00,3.683e-02,2.466e-02
1.000e+01,3.860e-02,2.620e-02
1.500e+01,4.290e-02,2.873e-02
2.000e+01,4.642e-02,2.989e-02
# end of file
