# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z53.html
# 
# Iodine
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,9.096e+03,9.078e+03
1.035e-03,8.465e+03,8.448e+03
1.072e-03,7.863e+03,7.847e+03
1.072e-03,8.198e+03,8.181e+03
1.500e-03,3.919e+03,3.908e+03
2.000e-03,1.997e+03,1.988e+03
3.000e-03,7.420e+02,7.351e+02
4.000e-03,3.607e+02,3.548e+02
4.557e-03,2.592e+02,2.537e+02
4.557e-03,7.550e+02,7.121e+02
4.702e-03,7.123e+02,6.724e+02
4.852e-03,6.636e+02,6.270e+02
4.852e-03,8.943e+02,8.375e+02
5.000e-03,8.430e+02,7.903e+02
5.188e-03,7.665e+02,7.198e+02
5.188e-03,8.837e+02,8.283e+02
6.000e-03,6.173e+02,5.822e+02
8.000e-03,2.922e+02,2.777e+02
1.000e-02,1.626e+02,1.548e+02
1.500e-02,5.512e+01,5.208e+01
2.000e-02,2.543e+01,2.363e+01
3.000e-02,8.561e+00,7.622e+00
3.317e-02,6.553e+00,5.744e+00
3.317e-02,3.582e+01,1.188e+01
4.000e-02,2.210e+01,9.616e+00
5.000e-02,1.232e+01,6.573e+00
6.000e-02,7.579e+00,4.518e+00
8.000e-02,3.510e+00,2.331e+00
1.000e-01,1.942e+00,1.342e+00
1.500e-01,6.978e-01,4.742e-01
2.000e-01,3.663e-01,2.295e-01
3.000e-01,1.771e-01,9.257e-02
4.000e-01,1.217e-01,5.650e-02
5.000e-01,9.701e-02,4.267e-02
6.000e-01,8.313e-02,3.598e-02
8.000e-01,6.749e-02,2.962e-02
1.000e+00,5.841e-02,2.646e-02
1.250e+00,5.111e-02,2.399e-02
1.500e+00,4.647e-02,2.243e-02
2.000e+00,4.124e-02,2.092e-02
3.000e+00,3.716e-02,2.059e-02
4.000e+00,3.607e-02,2.142e-02
5.000e+00,3.608e-02,2.250e-02
6.000e+00,3.655e-02,2.357e-02
8.000e+00,3.815e-02,2.553e-02
1.000e+01,4.002e-02,2.714e-02
1.500e+01,4.455e-02,2.980e-02
2.000e+01,4.823e-02,3.101e-02
# end of file
