# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z55.html
# 
# Cesium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,9.365e+03,9.343e+03
1.032e-03,8.775e+03,8.754e+03
1.065e-03,8.214e+03,8.194e+03
1.065e-03,8.685e+03,8.663e+03
1.139e-03,7.576e+03,7.557e+03
1.217e-03,6.584e+03,6.567e+03
1.217e-03,6.888e+03,6.870e+03
1.500e-03,4.335e+03,4.322e+03
2.000e-03,2.226e+03,2.216e+03
3.000e-03,8.319e+02,8.246e+02
4.000e-03,4.055e+02,3.994e+02
5.000e-03,2.303e+02,2.251e+02
5.012e-03,2.290e+02,2.237e+02
5.012e-03,6.674e+02,6.248e+02
5.183e-03,6.184e+02,5.763e+02
5.359e-03,5.645e+02,5.299e+02
5.359e-03,7.692e+02,7.142e+02
5.534e-03,7.146e+02,6.610e+02
5.714e-03,6.556e+02,6.108e+02
5.714e-03,7.547e+02,7.015e+02
6.000e-03,6.711e+02,6.253e+02
8.000e-03,3.214e+02,3.029e+02
1.000e-02,1.793e+02,1.697e+02
1.500e-02,6.104e+01,5.753e+01
2.000e-02,2.822e+01,2.623e+01
3.000e-02,9.507e+00,8.502e+00
3.598e-02,5.863e+00,5.102e+00
3.598e-02,3.143e+01,1.017e+01
4.000e-02,2.381e+01,9.185e+00
5.000e-02,1.340e+01,6.618e+00
6.000e-02,8.248e+00,4.653e+00
8.000e-02,3.836e+00,2.464e+00
1.000e-01,2.124e+00,1.438e+00
1.500e-01,7.589e-01,5.154e-01
2.000e-01,3.941e-01,2.502e-01
3.000e-01,1.863e-01,1.000e-01
4.000e-01,1.257e-01,6.003e-02
5.000e-01,9.912e-02,4.463e-02
6.000e-01,8.431e-02,3.717e-02
8.000e-01,6.789e-02,3.014e-02
1.000e+00,5.854e-02,2.671e-02
1.250e+00,5.108e-02,2.408e-02
1.500e+00,4.641e-02,2.246e-02
2.000e+00,4.121e-02,2.091e-02
3.000e+00,3.725e-02,2.064e-02
4.000e+00,3.625e-02,2.153e-02
5.000e+00,3.635e-02,2.268e-02
6.000e+00,3.689e-02,2.380e-02
8.000e+00,3.860e-02,2.583e-02
1.000e+01,4.057e-02,2.750e-02
1.500e+01,4.529e-02,3.026e-02
2.000e+01,4.910e-02,3.152e-02
# end of file
