# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z56.html
# 
# Barium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,8.543e+03,8.521e+03
1.031e-03,7.990e+03,7.969e+03
1.062e-03,7.465e+03,7.445e+03
1.062e-03,8.547e+03,8.524e+03
1.099e-03,7.957e+03,7.935e+03
1.137e-03,7.404e+03,7.384e+03
1.137e-03,7.837e+03,7.815e+03
1.212e-03,6.861e+03,6.841e+03
1.293e-03,5.985e+03,5.968e+03
1.293e-03,6.255e+03,6.237e+03
1.500e-03,4.499e+03,4.485e+03
2.000e-03,2.319e+03,2.308e+03
3.000e-03,8.696e+02,8.622e+02
4.000e-03,4.246e+02,4.184e+02
5.000e-03,2.414e+02,2.361e+02
5.247e-03,2.135e+02,2.084e+02
5.247e-03,6.098e+02,5.689e+02
5.432e-03,5.634e+02,5.263e+02
5.624e-03,5.169e+02,4.835e+02
5.624e-03,7.016e+02,6.486e+02
5.803e-03,6.507e+02,6.025e+02
5.989e-03,6.013e+02,5.577e+02
5.989e-03,6.930e+02,6.412e+02
6.000e-03,6.898e+02,6.383e+02
8.000e-03,3.334e+02,3.127e+02
1.000e-02,1.860e+02,1.754e+02
1.500e-02,6.347e+01,5.972e+01
2.000e-02,2.938e+01,2.730e+01
3.000e-02,9.904e+00,8.875e+00
3.744e-02,5.498e+00,4.768e+00
3.744e-02,2.919e+01,9.346e+00
4.000e-02,2.457e+01,8.842e+00
5.000e-02,1.379e+01,6.534e+00
6.000e-02,8.511e+00,4.660e+00
8.000e-02,3.963e+00,2.501e+00
1.000e-01,2.196e+00,1.470e+00
1.500e-01,7.828e-01,5.309e-01
2.000e-01,4.046e-01,2.583e-01
3.000e-01,1.891e-01,1.028e-01
4.000e-01,1.265e-01,6.125e-02
5.000e-01,9.923e-02,4.521e-02
6.000e-01,8.410e-02,3.743e-02
8.000e-01,6.744e-02,3.011e-02
1.000e+00,5.803e-02,2.657e-02
1.250e+00,5.058e-02,2.388e-02
1.500e+00,4.592e-02,2.224e-02
2.000e+00,4.078e-02,2.069e-02
3.000e+00,3.692e-02,2.044e-02
4.000e+00,3.598e-02,2.135e-02
5.000e+00,3.612e-02,2.250e-02
6.000e+00,3.669e-02,2.363e-02
8.000e+00,3.844e-02,2.566e-02
1.000e+01,4.042e-02,2.731e-02
1.500e+01,4.518e-02,3.003e-02
2.000e+01,4.902e-02,3.126e-02
# end of file
