# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z59.html
# 
# Praseodymium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,1.058e+04,1.054e+04
1.115e-03,8.122e+03,8.091e+03
1.242e-03,6.278e+03,6.254e+03
1.242e-03,7.224e+03,7.196e+03
1.289e-03,6.661e+03,6.635e+03
1.337e-03,6.142e+03,6.118e+03
1.337e-03,6.513e+03,6.487e+03
1.500e-03,5.090e+03,5.069e+03
1.511e-03,5.006e+03,4.986e+03
1.511e-03,5.235e+03,5.214e+03
2.000e-03,2.768e+03,2.755e+03
3.000e-03,1.047e+03,1.038e+03
4.000e-03,5.131e+02,5.061e+02
5.000e-03,2.924e+02,2.865e+02
5.964e-03,1.868e+02,1.816e+02
5.964e-03,5.214e+02,4.802e+02
6.000e-03,5.145e+02,4.739e+02
6.440e-03,4.310e+02,3.984e+02
6.440e-03,5.857e+02,5.333e+02
6.635e-03,5.455e+02,4.976e+02
6.835e-03,5.060e+02,4.625e+02
6.835e-03,5.836e+02,5.317e+02
8.000e-03,3.950e+02,3.634e+02
1.000e-02,2.209e+02,2.052e+02
1.500e-02,7.597e+01,7.094e+01
2.000e-02,3.526e+01,3.267e+01
3.000e-02,1.192e+01,1.072e+01
4.000e-02,5.557e+00,4.803e+00
4.199e-02,4.892e+00,4.192e+00
4.199e-02,2.518e+01,7.833e+00
5.000e-02,1.599e+01,6.567e+00
6.000e-02,9.977e+00,4.942e+00
8.000e-02,4.664e+00,2.773e+00
1.000e-01,2.588e+00,1.667e+00
1.500e-01,9.180e-01,6.172e-01
2.000e-01,4.687e-01,3.025e-01
3.000e-01,2.126e-01,1.195e-01
4.000e-01,1.389e-01,6.980e-02
5.000e-01,1.071e-01,5.047e-02
6.000e-01,8.976e-02,4.107e-02
8.000e-01,7.105e-02,3.229e-02
1.000e+00,6.070e-02,2.811e-02
1.250e+00,5.268e-02,2.503e-02
1.500e+00,4.779e-02,2.320e-02
2.000e+00,4.244e-02,2.152e-02
3.000e+00,3.858e-02,2.131e-02
4.000e+00,3.774e-02,2.233e-02
5.000e+00,3.800e-02,2.359e-02
6.000e+00,3.870e-02,2.481e-02
8.000e+00,4.067e-02,2.697e-02
1.000e+01,4.288e-02,2.872e-02
1.500e+01,4.809e-02,3.155e-02
2.000e+01,5.226e-02,3.277e-02
# end of file
