# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z60.html
# 
# Neodymium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,6.627e+03,6.598e+03
1.002e-03,6.806e+03,6.776e+03
1.005e-03,6.949e+03,6.918e+03
1.005e-03,8.554e+03,8.516e+03
1.142e-03,7.579e+03,7.547e+03
1.297e-03,5.933e+03,5.908e+03
1.297e-03,6.833e+03,6.803e+03
1.349e-03,6.264e+03,6.236e+03
1.403e-03,5.744e+03,5.719e+03
1.403e-03,6.093e+03,6.066e+03
1.500e-03,5.273e+03,5.250e+03
1.575e-03,4.738e+03,4.717e+03
1.575e-03,4.951e+03,4.929e+03
2.000e-03,2.878e+03,2.864e+03
3.000e-03,1.093e+03,1.084e+03
4.000e-03,5.366e+02,5.294e+02
5.000e-03,3.061e+02,3.000e+02
6.000e-03,1.927e+02,1.874e+02
6.208e-03,1.767e+02,1.715e+02
6.208e-03,4.892e+02,4.484e+02
6.460e-03,4.487e+02,4.079e+02
6.722e-03,4.013e+02,3.694e+02
6.722e-03,5.456e+02,4.939e+02
6.921e-03,5.135e+02,4.614e+02
7.126e-03,4.723e+02,4.293e+02
7.126e-03,5.448e+02,4.936e+02
8.000e-03,4.094e+02,3.739e+02
1.000e-02,2.300e+02,2.125e+02
1.500e-02,7.925e+01,7.376e+01
2.000e-02,3.684e+01,3.407e+01
3.000e-02,1.247e+01,1.121e+01
4.000e-02,5.809e+00,5.033e+00
4.357e-02,4.642e+00,3.962e+00
4.357e-02,2.366e+01,7.296e+00
5.000e-02,1.650e+01,6.418e+00
6.000e-02,1.033e+01,4.928e+00
8.000e-02,4.839e+00,2.815e+00
1.000e-01,2.687e+00,1.706e+00
1.500e-01,9.522e-01,6.376e-01
2.000e-01,4.844e-01,3.133e-01
3.000e-01,2.178e-01,1.236e-01
4.000e-01,1.412e-01,7.177e-02
5.000e-01,1.083e-01,5.157e-02
6.000e-01,9.040e-02,4.174e-02
8.000e-01,7.127e-02,3.258e-02
1.000e+00,6.072e-02,2.823e-02
1.250e+00,5.262e-02,2.505e-02
1.500e+00,4.769e-02,2.318e-02
2.000e+00,4.236e-02,2.148e-02
3.000e+00,3.856e-02,2.129e-02
4.000e+00,3.776e-02,2.233e-02
5.000e+00,3.806e-02,2.360e-02
6.000e+00,3.879e-02,2.483e-02
8.000e+00,4.081e-02,2.701e-02
1.000e+01,4.304e-02,2.876e-02
1.500e+01,4.832e-02,3.159e-02
2.000e+01,5.257e-02,3.283e-02
# end of file
