# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z62.html
# 
# Samarium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.107e+03,2.097e+03
1.039e-03,1.963e+03,1.953e+03
1.080e-03,1.827e+03,1.817e+03
1.080e-03,2.635e+03,2.620e+03
1.093e-03,3.837e+03,3.816e+03
1.106e-03,5.613e+03,5.582e+03
1.106e-03,6.852e+03,6.814e+03
1.253e-03,6.641e+03,6.605e+03
1.420e-03,5.262e+03,5.234e+03
1.420e-03,6.072e+03,6.039e+03
1.500e-03,5.358e+03,5.329e+03
1.541e-03,5.046e+03,5.018e+03
1.541e-03,5.355e+03,5.325e+03
1.629e-03,4.740e+03,4.714e+03
1.723e-03,4.189e+03,4.165e+03
1.723e-03,4.376e+03,4.352e+03
2.000e-03,3.120e+03,3.102e+03
3.000e-03,1.193e+03,1.183e+03
4.000e-03,5.873e+02,5.795e+02
5.000e-03,3.356e+02,3.291e+02
6.000e-03,2.115e+02,2.059e+02
6.716e-03,1.587e+02,1.536e+02
6.716e-03,4.334e+02,3.933e+02
7.008e-03,3.898e+02,3.547e+02
7.312e-03,3.496e+02,3.189e+02
7.312e-03,4.756e+02,4.255e+02
7.521e-03,4.501e+02,3.988e+02
7.737e-03,4.141e+02,3.721e+02
7.737e-03,4.777e+02,4.276e+02
8.000e-03,4.401e+02,3.951e+02
1.000e-02,2.499e+02,2.278e+02
1.500e-02,8.633e+01,7.972e+01
2.000e-02,4.025e+01,3.706e+01
3.000e-02,1.365e+01,1.227e+01
4.000e-02,6.362e+00,5.532e+00
4.683e-02,4.208e+00,3.562e+00
4.683e-02,2.100e+01,6.378e+00
5.000e-02,1.774e+01,6.094e+00
6.000e-02,1.107e+01,4.872e+00
8.000e-02,5.212e+00,2.893e+00
1.000e-01,2.901e+00,1.786e+00
1.500e-01,1.027e+00,6.806e-01
2.000e-01,5.192e-01,3.366e-01
3.000e-01,2.296e-01,1.326e-01
4.000e-01,1.466e-01,7.620e-02
5.000e-01,1.112e-01,5.411e-02
6.000e-01,9.218e-02,4.334e-02
8.000e-01,7.201e-02,3.333e-02
1.000e+00,6.106e-02,2.862e-02
1.250e+00,5.271e-02,2.522e-02
1.500e+00,4.773e-02,2.325e-02
2.000e+00,4.240e-02,2.150e-02
3.000e+00,3.868e-02,2.133e-02
4.000e+00,3.797e-02,2.241e-02
5.000e+00,3.833e-02,2.372e-02
6.000e+00,3.912e-02,2.498e-02
8.000e+00,4.124e-02,2.719e-02
1.000e+01,4.355e-02,2.896e-02
1.500e+01,4.899e-02,3.180e-02
2.000e+01,5.335e-02,3.302e-02
# end of file
