# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z63.html
# 
# Europium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.216e+03,2.206e+03
1.063e-03,1.978e+03,1.968e+03
1.131e-03,1.763e+03,1.753e+03
1.131e-03,2.443e+03,2.428e+03
1.146e-03,3.617e+03,3.595e+03
1.161e-03,5.416e+03,5.382e+03
1.161e-03,6.540e+03,6.498e+03
1.311e-03,6.291e+03,6.253e+03
1.481e-03,5.031e+03,5.001e+03
1.481e-03,5.810e+03,5.774e+03
1.500e-03,5.624e+03,5.590e+03
1.614e-03,4.771e+03,4.742e+03
1.614e-03,5.064e+03,5.034e+03
1.704e-03,4.492e+03,4.465e+03
1.800e-03,3.980e+03,3.955e+03
1.800e-03,4.158e+03,4.132e+03
2.000e-03,3.278e+03,3.258e+03
3.000e-03,1.256e+03,1.245e+03
4.000e-03,6.193e+02,6.111e+02
5.000e-03,3.542e+02,3.474e+02
6.000e-03,2.234e+02,2.175e+02
6.977e-03,1.522e+02,1.471e+02
6.977e-03,4.127e+02,3.725e+02
7.290e-03,3.696e+02,3.346e+02
7.617e-03,3.302e+02,2.998e+02
7.617e-03,4.492e+02,3.993e+02
8.000e-03,3.989e+02,3.560e+02
8.052e-03,3.921e+02,3.502e+02
8.052e-03,4.524e+02,4.024e+02
1.000e-02,2.629e+02,2.378e+02
1.500e-02,9.087e+01,8.352e+01
2.000e-02,4.242e+01,3.895e+01
3.000e-02,1.441e+01,1.295e+01
4.000e-02,6.716e+00,5.848e+00
4.852e-02,4.051e+00,3.414e+00
4.852e-02,2.001e+01,6.036e+00
5.000e-02,1.850e+01,5.927e+00
6.000e-02,1.155e+01,4.863e+00
8.000e-02,5.455e+00,2.953e+00
1.000e-01,3.040e+00,1.841e+00
1.500e-01,1.076e+00,7.088e-01
2.000e-01,5.425e-01,3.518e-01
3.000e-01,2.380e-01,1.385e-01
4.000e-01,1.509e-01,7.927e-02
5.000e-01,1.139e-01,5.598e-02
6.000e-01,9.404e-02,4.462e-02
8.000e-01,7.312e-02,3.406e-02
1.000e+00,6.186e-02,2.912e-02
1.250e+00,5.331e-02,2.557e-02
1.500e+00,4.822e-02,2.353e-02
2.000e+00,4.285e-02,2.173e-02
3.000e+00,3.913e-02,2.158e-02
4.000e+00,3.845e-02,2.269e-02
5.000e+00,3.885e-02,2.404e-02
6.000e+00,3.967e-02,2.532e-02
8.000e+00,4.185e-02,2.758e-02
1.000e+01,4.422e-02,2.938e-02
1.500e+01,4.980e-02,3.228e-02
2.000e+01,5.423e-02,3.351e-02
# end of file
