# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z64.html
# 
# Gadolinium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.291e+03,2.281e+03
1.089e-03,1.960e+03,1.949e+03
1.185e-03,1.668e+03,1.658e+03
1.185e-03,1.931e+03,1.919e+03
1.201e-03,2.527e+03,2.510e+03
1.217e-03,3.961e+03,3.934e+03
1.217e-03,4.764e+03,4.731e+03
1.500e-03,5.041e+03,5.008e+03
1.544e-03,4.701e+03,4.670e+03
1.544e-03,5.432e+03,5.395e+03
1.615e-03,4.900e+03,4.867e+03
1.688e-03,4.421e+03,4.391e+03
1.688e-03,4.694e+03,4.662e+03
1.782e-03,4.164e+03,4.136e+03
1.881e-03,3.691e+03,3.666e+03
1.881e-03,3.854e+03,3.829e+03
2.000e-03,3.360e+03,3.337e+03
3.000e-03,1.292e+03,1.280e+03
4.000e-03,6.380e+02,6.296e+02
5.000e-03,3.653e+02,3.584e+02
6.000e-03,2.305e+02,2.246e+02
7.243e-03,1.429e+02,1.379e+02
7.243e-03,3.844e+02,3.452e+02
7.579e-03,3.427e+02,3.088e+02
7.930e-03,3.049e+02,2.755e+02
7.930e-03,4.149e+02,3.665e+02
8.000e-03,4.068e+02,3.595e+02
8.376e-03,3.631e+02,3.223e+02
8.376e-03,4.190e+02,3.702e+02
1.000e-02,2.693e+02,2.416e+02
1.500e-02,9.335e+01,8.538e+01
2.000e-02,4.363e+01,3.994e+01
3.000e-02,1.484e+01,1.333e+01
4.000e-02,6.920e+00,6.033e+00
5.000e-02,3.859e+00,3.242e+00
5.024e-02,3.812e+00,3.199e+00
5.024e-02,1.864e+01,5.585e+00
6.000e-02,1.175e+01,4.722e+00
8.000e-02,5.573e+00,2.937e+00
1.000e-01,3.109e+00,1.849e+00
1.500e-01,1.100e+00,7.197e-01
2.000e-01,5.534e-01,3.584e-01
3.000e-01,2.410e-01,1.409e-01
4.000e-01,1.517e-01,8.039e-02
5.000e-01,1.139e-01,5.650e-02
6.000e-01,9.371e-02,4.483e-02
8.000e-01,7.252e-02,3.399e-02
1.000e+00,6.120e-02,2.893e-02
1.250e+00,5.262e-02,2.530e-02
1.500e+00,4.759e-02,2.325e-02
2.000e+00,4.228e-02,2.144e-02
3.000e+00,3.865e-02,2.129e-02
4.000e+00,3.802e-02,2.241e-02
5.000e+00,3.844e-02,2.374e-02
6.000e+00,3.928e-02,2.502e-02
8.000e+00,4.147e-02,2.725e-02
1.000e+01,4.384e-02,2.902e-02
1.500e+01,4.943e-02,3.188e-02
2.000e+01,5.385e-02,3.306e-02
# end of file
