# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z65.html
# 
# Terbium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.396e+03,2.386e+03
1.114e-03,1.956e+03,1.946e+03
1.241e-03,1.591e+03,1.581e+03
1.241e-03,2.337e+03,2.321e+03
1.258e-03,3.515e+03,3.488e+03
1.275e-03,5.023e+03,4.984e+03
1.275e-03,5.928e+03,5.881e+03
1.500e-03,5.314e+03,5.274e+03
1.611e-03,4.464e+03,4.431e+03
1.611e-03,5.164e+03,5.125e+03
1.688e-03,4.635e+03,4.601e+03
1.768e-03,4.166e+03,4.135e+03
1.768e-03,4.424e+03,4.391e+03
1.865e-03,3.929e+03,3.899e+03
1.968e-03,3.482e+03,3.456e+03
1.968e-03,3.638e+03,3.611e+03
2.000e-03,3.507e+03,3.481e+03
3.000e-03,1.354e+03,1.342e+03
4.000e-03,6.697e+02,6.607e+02
5.000e-03,3.838e+02,3.765e+02
6.000e-03,2.423e+02,2.362e+02
7.514e-03,1.368e+02,1.318e+02
7.514e-03,3.658e+02,3.266e+02
8.000e-03,3.133e+02,2.810e+02
8.252e-03,2.881e+02,2.590e+02
8.252e-03,3.925e+02,3.443e+02
8.477e-03,3.684e+02,3.239e+02
8.708e-03,3.441e+02,3.033e+02
8.708e-03,3.970e+02,3.483e+02
1.000e-02,2.815e+02,2.502e+02
1.500e-02,9.802e+01,8.914e+01
2.000e-02,4.588e+01,4.184e+01
3.000e-02,1.563e+01,1.402e+01
4.000e-02,7.288e+00,6.357e+00
5.000e-02,4.064e+00,3.422e+00
5.200e-02,3.672e+00,3.068e+00
5.200e-02,1.777e+01,5.291e+00
6.000e-02,1.223e+01,4.673e+00
8.000e-02,5.826e+00,2.986e+00
1.000e-01,3.253e+00,1.899e+00
1.500e-01,1.151e+00,7.474e-01
2.000e-01,5.775e-01,3.736e-01
3.000e-01,2.498e-01,1.470e-01
4.000e-01,1.562e-01,8.354e-02
5.000e-01,1.167e-01,5.842e-02
6.000e-01,9.562e-02,4.614e-02
8.000e-01,7.365e-02,3.474e-02
1.000e+00,6.196e-02,2.942e-02
1.250e+00,5.321e-02,2.565e-02
1.500e+00,4.808e-02,2.352e-02
2.000e+00,4.272e-02,2.166e-02
3.000e+00,3.908e-02,2.151e-02
4.000e+00,3.848e-02,2.266e-02
5.000e+00,3.894e-02,2.402e-02
6.000e+00,3.981e-02,2.532e-02
8.000e+00,4.206e-02,2.758e-02
1.000e+01,4.449e-02,2.937e-02
1.500e+01,5.017e-02,3.224e-02
2.000e+01,5.470e-02,3.343e-02
# end of file
