# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z66.html
# 
# Dysprosium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.494e+03,2.483e+03
1.138e-03,1.953e+03,1.943e+03
1.295e-03,1.521e+03,1.511e+03
1.295e-03,2.173e+03,2.156e+03
1.314e-03,3.293e+03,3.265e+03
1.332e-03,4.745e+03,4.704e+03
1.332e-03,5.551e+03,5.502e+03
1.500e-03,5.550e+03,5.503e+03
1.676e-03,4.229e+03,4.194e+03
1.676e-03,4.896e+03,4.855e+03
1.757e-03,4.382e+03,4.345e+03
1.842e-03,3.924e+03,3.892e+03
1.842e-03,4.168e+03,4.133e+03
2.000e-03,3.467e+03,3.438e+03
2.047e-03,3.286e+03,3.259e+03
2.047e-03,3.433e+03,3.404e+03
3.000e-03,1.405e+03,1.391e+03
4.000e-03,6.953e+02,6.858e+02
5.000e-03,3.988e+02,3.913e+02
6.000e-03,2.520e+02,2.456e+02
7.790e-03,1.299e+02,1.249e+02
7.790e-03,3.437e+02,3.051e+02
8.000e-03,3.269e+02,2.906e+02
8.581e-03,2.695e+02,2.410e+02
8.581e-03,3.672e+02,3.198e+02
8.810e-03,3.452e+02,3.013e+02
9.046e-03,3.228e+02,2.826e+02
9.046e-03,3.725e+02,3.245e+02
1.000e-02,2.902e+02,2.554e+02
1.500e-02,1.016e+02,9.187e+01
2.000e-02,4.765e+01,4.328e+01
3.000e-02,1.625e+01,1.456e+01
4.000e-02,7.582e+00,6.616e+00
5.000e-02,4.227e+00,3.566e+00
5.379e-02,3.500e+00,2.911e+00
5.379e-02,1.676e+01,4.961e+00
6.000e-02,1.259e+01,4.554e+00
8.000e-02,6.012e+00,2.993e+00
1.000e-01,3.360e+00,1.925e+00
1.500e-01,1.189e+00,7.660e-01
2.000e-01,5.953e-01,3.846e-01
3.000e-01,2.558e-01,1.514e-01
4.000e-01,1.590e-01,8.578e-02
5.000e-01,1.181e-01,5.971e-02
6.000e-01,9.644e-02,4.694e-02
8.000e-01,7.393e-02,3.509e-02
1.000e+00,6.204e-02,2.958e-02
1.250e+00,5.318e-02,2.570e-02
1.500e+00,4.801e-02,2.352e-02
2.000e+00,4.265e-02,2.163e-02
3.000e+00,3.905e-02,2.149e-02
4.000e+00,3.848e-02,2.264e-02
5.000e+00,3.896e-02,2.401e-02
6.000e+00,3.986e-02,2.532e-02
8.000e+00,4.214e-02,2.758e-02
1.000e+01,4.460e-02,2.938e-02
1.500e+01,5.033e-02,3.223e-02
2.000e+01,5.492e-02,3.342e-02
# end of file
