# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z67.html
# 
# Holmium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.616e+03,2.605e+03
1.162e-03,1.961e+03,1.951e+03
1.351e-03,1.462e+03,1.452e+03
1.351e-03,2.108e+03,2.091e+03
1.371e-03,3.193e+03,3.164e+03
1.391e-03,4.528e+03,4.485e+03
1.391e-03,5.239e+03,5.187e+03
1.500e-03,5.847e+03,5.790e+03
1.741e-03,4.038e+03,4.001e+03
1.741e-03,4.677e+03,4.633e+03
1.830e-03,4.161e+03,4.122e+03
1.923e-03,3.703e+03,3.669e+03
1.923e-03,3.934e+03,3.898e+03
2.000e-03,3.590e+03,3.558e+03
2.128e-03,3.127e+03,3.099e+03
2.128e-03,3.266e+03,3.236e+03
3.000e-03,1.465e+03,1.450e+03
4.000e-03,7.264e+02,7.164e+02
5.000e-03,4.170e+02,4.091e+02
6.000e-03,2.636e+02,2.570e+02
8.000e-03,1.271e+02,1.220e+02
8.071e-03,1.242e+02,1.192e+02
8.071e-03,3.283e+02,2.897e+02
8.484e-03,2.889e+02,2.560e+02
8.918e-03,2.540e+02,2.260e+02
8.918e-03,3.463e+02,2.994e+02
9.153e-03,3.259e+02,2.825e+02
9.394e-03,3.051e+02,2.652e+02
9.394e-03,3.520e+02,3.044e+02
1.000e-02,3.012e+02,2.623e+02
1.500e-02,1.060e+02,9.521e+01
2.000e-02,4.980e+01,4.504e+01
3.000e-02,1.701e+01,1.521e+01
4.000e-02,7.940e+00,6.928e+00
5.000e-02,4.425e+00,3.740e+00
5.562e-02,3.361e+00,2.783e+00
5.562e-02,1.592e+01,4.697e+00
6.000e-02,1.309e+01,4.466e+00
8.000e-02,6.244e+00,3.015e+00
1.000e-01,3.492e+00,1.961e+00
1.500e-01,1.236e+00,7.901e-01
2.000e-01,6.178e-01,3.984e-01
3.000e-01,2.639e-01,1.570e-01
4.000e-01,1.629e-01,8.869e-02
5.000e-01,1.205e-01,6.145e-02
6.000e-01,9.800e-02,4.811e-02
8.000e-01,7.477e-02,3.571e-02
1.000e+00,6.257e-02,2.997e-02
1.250e+00,5.351e-02,2.593e-02
1.500e+00,4.828e-02,2.369e-02
2.000e+00,4.289e-02,2.175e-02
3.000e+00,3.930e-02,2.161e-02
4.000e+00,3.877e-02,2.279e-02
5.000e+00,3.927e-02,2.417e-02
6.000e+00,4.020e-02,2.549e-02
8.000e+00,4.253e-02,2.777e-02
1.000e+01,4.504e-02,2.958e-02
1.500e+01,5.088e-02,3.245e-02
2.000e+01,5.551e-02,3.363e-02
# end of file
