# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z68.html
# 
# Erbium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.748e+03,2.737e+03
1.187e-03,1.978e+03,1.967e+03
1.409e-03,1.408e+03,1.397e+03
1.409e-03,2.069e+03,2.051e+03
1.431e-03,3.170e+03,3.138e+03
1.453e-03,4.339e+03,4.293e+03
1.453e-03,4.952e+03,4.898e+03
1.500e-03,6.069e+03,6.003e+03
1.812e-03,3.841e+03,3.802e+03
1.812e-03,4.452e+03,4.406e+03
2.000e-03,3.523e+03,3.488e+03
2.006e-03,3.499e+03,3.464e+03
2.006e-03,3.717e+03,3.680e+03
2.104e-03,3.337e+03,3.304e+03
2.207e-03,2.995e+03,2.965e+03
2.207e-03,3.127e+03,3.096e+03
3.000e-03,1.526e+03,1.510e+03
4.000e-03,7.587e+02,7.480e+02
5.000e-03,4.359e+02,4.276e+02
6.000e-03,2.757e+02,2.688e+02
8.000e-03,1.330e+02,1.278e+02
8.358e-03,1.190e+02,1.140e+02
8.358e-03,3.126e+02,2.741e+02
8.799e-03,2.799e+02,2.412e+02
9.264e-03,2.397e+02,2.121e+02
9.264e-03,3.271e+02,2.806e+02
9.505e-03,3.080e+02,2.650e+02
9.751e-03,2.886e+02,2.491e+02
9.751e-03,3.330e+02,2.858e+02
1.000e-02,3.129e+02,2.694e+02
1.500e-02,1.106e+02,9.860e+01
2.000e-02,5.204e+01,4.683e+01
3.000e-02,1.780e+01,1.588e+01
4.000e-02,8.315e+00,7.253e+00
5.000e-02,4.634e+00,3.922e+00
5.749e-02,3.232e+00,2.664e+00
5.749e-02,1.514e+01,4.442e+00
6.000e-02,1.362e+01,4.349e+00
8.000e-02,6.478e+00,3.028e+00
1.000e-01,3.628e+00,1.995e+00
1.500e-01,1.285e+00,8.141e-01
2.000e-01,6.415e-01,4.125e-01
3.000e-01,2.724e-01,1.629e-01
4.000e-01,1.672e-01,9.173e-02
5.000e-01,1.230e-01,6.329e-02
6.000e-01,9.968e-02,4.934e-02
8.000e-01,7.569e-02,3.638e-02
1.000e+00,6.317e-02,3.040e-02
1.250e+00,5.392e-02,2.620e-02
1.500e+00,4.860e-02,2.388e-02
2.000e+00,4.317e-02,2.190e-02
3.000e+00,3.958e-02,2.176e-02
4.000e+00,3.907e-02,2.295e-02
5.000e+00,3.961e-02,2.435e-02
6.000e+00,4.056e-02,2.569e-02
8.000e+00,4.294e-02,2.799e-02
1.000e+01,4.549e-02,2.981e-02
1.500e+01,5.141e-02,3.268e-02
2.000e+01,5.613e-02,3.387e-02
# end of file
