# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z69.html
# 
# Thulium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.899e+03,2.888e+03
1.211e-03,1.995e+03,1.984e+03
1.468e-03,1.362e+03,1.352e+03
1.468e-03,1.919e+03,1.901e+03
1.500e-03,3.937e+03,3.892e+03
1.515e-03,4.145e+03,4.098e+03
1.515e-03,4.830e+03,4.773e+03
1.689e-03,4.446e+03,4.395e+03
1.885e-03,3.668e+03,3.627e+03
1.885e-03,4.254e+03,4.206e+03
2.000e-03,3.686e+03,3.646e+03
2.090e-03,3.326e+03,3.290e+03
2.090e-03,3.534e+03,3.495e+03
2.196e-03,3.160e+03,3.125e+03
2.307e-03,2.821e+03,2.791e+03
2.307e-03,2.945e+03,2.914e+03
3.000e-03,1.594e+03,1.576e+03
4.000e-03,7.946e+02,7.831e+02
5.000e-03,4.569e+02,4.482e+02
6.000e-03,2.892e+02,2.820e+02
8.000e-03,1.397e+02,1.342e+02
8.648e-03,1.146e+02,1.096e+02
8.648e-03,2.991e+02,2.606e+02
9.120e-03,2.609e+02,2.284e+02
9.617e-03,2.274e+02,2.001e+02
9.617e-03,3.101e+02,2.640e+02
1.000e-02,2.830e+02,2.420e+02
1.012e-02,2.745e+02,2.351e+02
1.012e-02,3.167e+02,2.697e+02
1.500e-02,1.157e+02,1.023e+02
2.000e-02,5.453e+01,4.882e+01
3.000e-02,1.868e+01,1.663e+01
4.000e-02,8.735e+00,7.615e+00
5.000e-02,4.867e+00,4.124e+00
5.939e-02,3.122e+00,2.562e+00
5.939e-02,1.200e+01,4.721e+00
6.000e-02,1.409e+01,4.203e+00
8.000e-02,6.741e+00,3.044e+00
1.000e-01,3.780e+00,2.033e+00
1.500e-01,1.340e+00,8.410e-01
2.000e-01,6.682e-01,4.283e-01
3.000e-01,2.822e-01,1.695e-01
4.000e-01,1.722e-01,9.522e-02
5.000e-01,1.261e-01,6.544e-02
6.000e-01,1.018e-01,5.081e-02
8.000e-01,7.693e-02,3.721e-02
1.000e+00,6.404e-02,3.095e-02
1.250e+00,5.455e-02,2.658e-02
1.500e+00,4.912e-02,2.417e-02
2.000e+00,4.362e-02,2.214e-02
3.000e+00,4.002e-02,2.199e-02
4.000e+00,3.954e-02,2.321e-02
5.000e+00,4.010e-02,2.463e-02
6.000e+00,4.108e-02,2.598e-02
8.000e+00,4.352e-02,2.832e-02
1.000e+01,4.612e-02,3.016e-02
1.500e+01,5.216e-02,3.305e-02
2.000e+01,5.698e-02,3.424e-02
# end of file
