# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z70.html
# 
# Ytterbium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.017e+03,3.006e+03
1.500e-03,1.350e+03,1.340e+03
1.528e-03,1.300e+03,1.289e+03
1.528e-03,1.965e+03,1.944e+03
1.552e-03,2.949e+03,2.914e+03
1.576e-03,3.908e+03,3.859e+03
1.576e-03,4.540e+03,4.482e+03
1.753e-03,4.200e+03,4.146e+03
1.950e-03,3.495e+03,3.453e+03
1.950e-03,4.054e+03,4.004e+03
2.000e-03,3.797e+03,3.751e+03
2.173e-03,3.128e+03,3.091e+03
2.173e-03,3.323e+03,3.284e+03
2.283e-03,2.970e+03,2.935e+03
2.398e-03,2.652e+03,2.621e+03
2.398e-03,2.769e+03,2.737e+03
3.000e-03,1.640e+03,1.620e+03
4.000e-03,8.193e+02,8.072e+02
5.000e-03,4.717e+02,4.626e+02
6.000e-03,2.988e+02,2.913e+02
8.000e-03,1.444e+02,1.389e+02
8.944e-03,1.088e+02,1.039e+02
8.944e-03,2.824e+02,2.444e+02
9.447e-03,2.511e+02,2.134e+02
9.978e-03,2.128e+02,1.862e+02
9.978e-03,2.906e+02,2.455e+02
1.000e-02,2.893e+02,2.444e+02
1.049e-02,2.577e+02,2.189e+02
1.049e-02,2.973e+02,2.512e+02
1.500e-02,1.193e+02,1.047e+02
2.000e-02,5.628e+01,5.012e+01
3.000e-02,1.932e+01,1.716e+01
4.000e-02,9.040e+00,7.875e+00
5.000e-02,5.038e+00,4.273e+00
6.000e-02,3.147e+00,2.584e+00
6.133e-02,2.975e+00,2.432e+00
6.133e-02,1.365e+01,3.964e+00
8.000e-02,6.909e+00,3.008e+00
1.000e-01,3.881e+00,2.038e+00
1.500e-01,1.378e+00,8.554e-01
2.000e-01,6.860e-01,4.381e-01
3.000e-01,2.882e-01,1.737e-01
4.000e-01,1.749e-01,9.741e-02
5.000e-01,1.274e-01,6.671e-02
6.000e-01,1.025e-01,5.159e-02
8.000e-01,7.710e-02,3.754e-02
1.000e+00,6.397e-02,3.107e-02
1.250e+00,5.439e-02,2.658e-02
1.500e+00,4.895e-02,2.413e-02
2.000e+00,4.347e-02,2.208e-02
3.000e+00,3.989e-02,2.191e-02
4.000e+00,3.944e-02,2.314e-02
5.000e+00,4.002e-02,2.457e-02
6.000e+00,4.101e-02,2.593e-02
8.000e+00,4.347e-02,2.826e-02
1.000e+01,4.609e-02,3.010e-02
1.500e+01,5.218e-02,3.302e-02
2.000e+01,5.700e-02,3.419e-02
# end of file
