# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z71.html
# 
# Lutetium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.187e+03,3.175e+03
1.500e-03,1.424e+03,1.413e+03
1.589e-03,1.264e+03,1.253e+03
1.589e-03,1.597e+03,1.581e+03
1.614e-03,2.302e+03,2.273e+03
1.639e-03,3.442e+03,3.396e+03
1.639e-03,3.935e+03,3.881e+03
2.000e-03,3.452e+03,3.406e+03
2.024e-03,3.352e+03,3.307e+03
2.024e-03,3.890e+03,3.838e+03
2.140e-03,3.397e+03,3.352e+03
2.263e-03,2.969e+03,2.931e+03
2.263e-03,3.155e+03,3.115e+03
2.375e-03,2.826e+03,2.790e+03
2.491e-03,2.531e+03,2.499e+03
2.491e-03,2.640e+03,2.607e+03
3.000e-03,1.710e+03,1.688e+03
4.000e-03,8.560e+02,8.430e+02
5.000e-03,4.934e+02,4.839e+02
6.000e-03,3.129e+02,3.051e+02
8.000e-03,1.513e+02,1.456e+02
9.244e-03,1.049e+02,9.994e+01
9.244e-03,2.703e+02,2.324e+02
1.000e-02,2.211e+02,1.916e+02
1.035e-02,2.019e+02,1.756e+02
1.035e-02,2.757e+02,2.310e+02
1.061e-02,2.676e+02,2.190e+02
1.087e-02,2.450e+02,2.065e+02
1.087e-02,2.826e+02,2.369e+02
1.500e-02,1.247e+02,1.084e+02
2.000e-02,5.881e+01,5.206e+01
3.000e-02,2.023e+01,1.791e+01
4.000e-02,9.472e+00,8.242e+00
5.000e-02,5.279e+00,4.480e+00
6.000e-02,3.297e+00,2.712e+00
6.331e-02,2.874e+00,2.339e+00
6.331e-02,1.305e+01,3.770e+00
8.000e-02,7.161e+00,3.000e+00
1.000e-01,4.033e+00,2.067e+00
1.500e-01,1.433e+00,8.805e-01
2.000e-01,7.130e-01,4.534e-01
3.000e-01,2.981e-01,1.803e-01
4.000e-01,1.799e-01,1.009e-01
5.000e-01,1.305e-01,6.886e-02
6.000e-01,1.046e-01,5.306e-02
8.000e-01,7.829e-02,3.836e-02
1.000e+00,6.478e-02,3.161e-02
1.250e+00,5.496e-02,2.695e-02
1.500e+00,4.941e-02,2.441e-02
2.000e+00,4.385e-02,2.228e-02
3.000e+00,4.028e-02,2.212e-02
4.000e+00,3.985e-02,2.337e-02
5.000e+00,4.045e-02,2.481e-02
6.000e+00,4.147e-02,2.618e-02
8.000e+00,4.398e-02,2.853e-02
1.000e+01,4.664e-02,3.038e-02
1.500e+01,5.282e-02,3.329e-02
2.000e+01,5.773e-02,3.446e-02
# end of file
