# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z72.html
# 
# Hafnium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.335e+03,3.324e+03
1.500e-03,1.489e+03,1.478e+03
1.662e-03,1.203e+03,1.192e+03
1.662e-03,1.505e+03,1.489e+03
1.689e-03,2.189e+03,2.160e+03
1.716e-03,3.273e+03,3.225e+03
1.716e-03,3.682e+03,3.628e+03
2.000e-03,3.598e+03,3.546e+03
2.108e-03,3.152e+03,3.108e+03
2.108e-03,3.659e+03,3.607e+03
2.233e-03,3.182e+03,3.137e+03
2.365e-03,2.769e+03,2.731e+03
2.365e-03,2.943e+03,2.903e+03
2.480e-03,2.637e+03,2.601e+03
2.601e-03,2.363e+03,2.331e+03
2.601e-03,2.465e+03,2.432e+03
3.000e-03,1.768e+03,1.745e+03
4.000e-03,8.859e+02,8.720e+02
5.000e-03,5.113e+02,5.013e+02
6.000e-03,3.244e+02,3.164e+02
8.000e-03,1.571e+02,1.512e+02
9.561e-03,9.997e+01,9.510e+01
9.561e-03,2.557e+02,2.184e+02
1.000e-02,2.301e+02,1.975e+02
1.074e-02,1.894e+02,1.639e+02
1.074e-02,2.589e+02,2.151e+02
1.100e-02,2.522e+02,2.042e+02
1.127e-02,2.306e+02,1.928e+02
1.127e-02,2.659e+02,2.212e+02
1.500e-02,1.290e+02,1.111e+02
2.000e-02,6.087e+01,5.353e+01
3.000e-02,2.098e+01,1.851e+01
4.000e-02,9.828e+00,8.542e+00
5.000e-02,5.478e+00,4.651e+00
6.000e-02,3.420e+00,2.820e+00
6.535e-02,2.751e+00,2.228e+00
6.535e-02,1.237e+01,3.557e+00
8.000e-02,7.352e+00,2.958e+00
1.000e-01,4.154e+00,2.075e+00
1.500e-01,1.477e+00,8.973e-01
2.000e-01,7.339e-01,4.645e-01
3.000e-01,3.054e-01,1.853e-01
4.000e-01,1.834e-01,1.035e-01
5.000e-01,1.324e-01,7.044e-02
6.000e-01,1.058e-01,5.409e-02
8.000e-01,7.880e-02,3.886e-02
1.000e+00,6.502e-02,3.188e-02
1.250e+00,5.505e-02,2.708e-02
1.500e+00,4.944e-02,2.447e-02
2.000e+00,4.387e-02,2.230e-02
3.000e+00,4.030e-02,2.212e-02
4.000e+00,3.989e-02,2.338e-02
5.000e+00,4.052e-02,2.483e-02
6.000e+00,4.155e-02,2.620e-02
8.000e+00,4.409e-02,2.855e-02
1.000e+01,4.677e-02,3.040e-02
1.500e+01,5.301e-02,3.330e-02
2.000e+01,5.796e-02,3.445e-02
# end of file
