# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z73.html
# 
# Tantalum
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.510e+03,3.498e+03
1.500e-03,1.566e+03,1.555e+03
1.735e-03,1.154e+03,1.144e+03
1.735e-03,1.417e+03,1.401e+03
1.764e-03,2.053e+03,2.024e+03
1.793e-03,3.082e+03,3.034e+03
1.793e-03,3.421e+03,3.367e+03
2.000e-03,3.771e+03,3.711e+03
2.194e-03,2.985e+03,2.939e+03
2.194e-03,3.464e+03,3.411e+03
2.327e-03,3.003e+03,2.957e+03
2.469e-03,2.604e+03,2.566e+03
2.469e-03,2.768e+03,2.727e+03
2.586e-03,2.486e+03,2.449e+03
2.708e-03,2.233e+03,2.201e+03
2.708e-03,2.329e+03,2.296e+03
3.000e-03,1.838e+03,1.812e+03
4.000e-03,9.222e+02,9.073e+02
5.000e-03,5.328e+02,5.223e+02
6.000e-03,3.382e+02,3.299e+02
8.000e-03,1.639e+02,1.579e+02
9.881e-03,9.599e+01,9.117e+01
9.881e-03,2.443e+02,2.073e+02
1.000e-02,2.379e+02,2.021e+02
1.114e-02,1.791e+02,1.540e+02
1.114e-02,2.449e+02,2.018e+02
1.141e-02,2.393e+02,1.917e+02
1.168e-02,2.182e+02,1.811e+02
1.168e-02,2.518e+02,2.077e+02
1.500e-02,1.340e+02,1.143e+02
2.000e-02,6.334e+01,5.532e+01
3.000e-02,2.187e+01,1.923e+01
4.000e-02,1.025e+01,8.899e+00
5.000e-02,5.717e+00,4.854e+00
6.000e-02,3.569e+00,2.947e+00
6.742e-02,2.652e+00,2.139e+00
6.742e-02,1.180e+01,3.379e+00
8.000e-02,7.587e+00,2.924e+00
1.000e-01,4.302e+00,2.092e+00
1.500e-01,1.531e+00,9.188e-01
2.000e-01,7.598e-01,4.784e-01
3.000e-01,3.149e-01,1.915e-01
4.000e-01,1.881e-01,1.069e-01
5.000e-01,1.352e-01,7.248e-02
6.000e-01,1.076e-01,5.545e-02
8.000e-01,7.981e-02,3.960e-02
1.000e+00,6.567e-02,3.235e-02
1.250e+00,5.545e-02,2.736e-02
1.500e+00,4.977e-02,2.468e-02
2.000e+00,4.413e-02,2.245e-02
3.000e+00,4.057e-02,2.227e-02
4.000e+00,4.018e-02,2.354e-02
5.000e+00,4.082e-02,2.499e-02
6.000e+00,4.188e-02,2.638e-02
8.000e+00,4.446e-02,2.874e-02
1.000e+01,4.717e-02,3.058e-02
1.500e+01,5.350e-02,3.349e-02
2.000e+01,5.852e-02,3.464e-02
# end of file
