# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z74.html
# 
# Tungsten
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.683e+03,3.671e+03
1.500e-03,1.643e+03,1.632e+03
1.809e-03,1.108e+03,1.097e+03
1.809e-03,1.327e+03,1.311e+03
1.840e-03,1.911e+03,1.883e+03
1.872e-03,2.901e+03,2.853e+03
1.872e-03,3.170e+03,3.116e+03
2.000e-03,3.922e+03,3.853e+03
2.281e-03,2.828e+03,2.781e+03
2.281e-03,3.279e+03,3.226e+03
2.423e-03,2.833e+03,2.786e+03
2.575e-03,2.445e+03,2.407e+03
2.575e-03,2.599e+03,2.558e+03
2.694e-03,2.339e+03,2.301e+03
2.820e-03,2.104e+03,2.071e+03
2.820e-03,2.194e+03,2.160e+03
3.000e-03,1.902e+03,1.873e+03
4.000e-03,9.564e+02,9.405e+02
5.000e-03,5.534e+02,5.423e+02
6.000e-03,3.514e+02,3.428e+02
8.000e-03,1.705e+02,1.643e+02
1.000e-02,9.691e+01,9.204e+01
1.021e-02,9.201e+01,8.724e+01
1.021e-02,2.334e+02,1.966e+02
1.085e-02,1.983e+02,1.684e+02
1.154e-02,1.689e+02,1.444e+02
1.154e-02,2.312e+02,1.889e+02
1.182e-02,2.268e+02,1.797e+02
1.210e-02,2.065e+02,1.699e+02
1.210e-02,2.382e+02,1.948e+02
1.500e-02,1.389e+02,1.172e+02
2.000e-02,6.573e+01,5.697e+01
3.000e-02,2.273e+01,1.991e+01
4.000e-02,1.067e+01,9.240e+00
5.000e-02,5.949e+00,5.050e+00
6.000e-02,3.713e+00,3.070e+00
6.953e-02,2.552e+00,2.049e+00
6.953e-02,1.123e+01,3.212e+00
8.000e-02,7.810e+00,2.879e+00
1.000e-01,4.438e+00,2.100e+00
1.500e-01,1.581e+00,9.378e-01
2.000e-01,7.844e-01,4.913e-01
3.000e-01,3.238e-01,1.973e-01
4.000e-01,1.925e-01,1.100e-01
5.000e-01,1.378e-01,7.440e-02
6.000e-01,1.093e-01,5.673e-02
8.000e-01,8.066e-02,4.028e-02
1.000e+00,6.618e-02,3.276e-02
1.250e+00,5.577e-02,2.761e-02
1.500e+00,5.000e-02,2.484e-02
2.000e+00,4.433e-02,2.256e-02
3.000e+00,4.075e-02,2.236e-02
4.000e+00,4.038e-02,2.363e-02
5.000e+00,4.103e-02,2.510e-02
6.000e+00,4.210e-02,2.649e-02
8.000e+00,4.472e-02,2.886e-02
1.000e+01,4.747e-02,3.072e-02
1.500e+01,5.384e-02,3.360e-02
2.000e+01,5.893e-02,3.475e-02
# end of file
