# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z75.html
# 
# Rhenium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.872e+03,3.860e+03
1.500e-03,1.729e+03,1.717e+03
1.822e-03,1.147e+03,1.135e+03
1.822e-03,1.152e+03,1.141e+03
1.885e-03,1.251e+03,1.235e+03
1.949e-03,2.689e+03,2.642e+03
1.949e-03,3.802e+03,3.730e+03
2.000e-03,3.773e+03,3.702e+03
2.367e-03,2.696e+03,2.648e+03
2.367e-03,3.124e+03,3.069e+03
2.520e-03,2.686e+03,2.639e+03
2.682e-03,2.309e+03,2.270e+03
2.682e-03,2.454e+03,2.412e+03
2.804e-03,2.210e+03,2.174e+03
2.932e-03,1.992e+03,1.959e+03
2.932e-03,2.078e+03,2.043e+03
3.000e-03,1.972e+03,1.939e+03
4.000e-03,9.943e+02,9.771e+02
5.000e-03,5.759e+02,5.642e+02
6.000e-03,3.660e+02,3.569e+02
8.000e-03,1.778e+02,1.714e+02
1.000e-02,1.011e+02,9.610e+01
1.054e-02,8.858e+01,8.386e+01
1.054e-02,2.234e+02,1.869e+02
1.122e-02,1.964e+02,1.594e+02
1.196e-02,1.600e+02,1.360e+02
1.196e-02,2.191e+02,1.776e+02
1.224e-02,2.079e+02,1.690e+02
1.253e-02,1.961e+02,1.600e+02
1.253e-02,2.262e+02,1.834e+02
1.500e-02,1.440e+02,1.201e+02
2.000e-02,6.835e+01,5.876e+01
3.000e-02,2.367e+01,2.064e+01
4.000e-02,1.112e+01,9.614e+00
5.000e-02,6.206e+00,5.265e+00
6.000e-02,3.872e+00,3.205e+00
7.168e-02,2.464e+00,1.970e+00
7.168e-02,1.073e+01,3.058e+00
8.000e-02,8.069e+00,2.832e+00
1.000e-01,4.587e+00,2.107e+00
1.500e-01,1.637e+00,9.580e-01
2.000e-01,8.119e-01,5.054e-01
3.000e-01,3.339e-01,2.038e-01
4.000e-01,1.976e-01,1.135e-01
5.000e-01,1.409e-01,7.658e-02
6.000e-01,1.114e-01,5.822e-02
8.000e-01,8.179e-02,4.109e-02
1.000e+00,6.688e-02,3.327e-02
1.250e+00,5.627e-02,2.794e-02
1.500e+00,5.038e-02,2.508e-02
2.000e+00,4.463e-02,2.273e-02
3.000e+00,4.105e-02,2.251e-02
4.000e+00,4.068e-02,2.380e-02
5.000e+00,4.137e-02,2.527e-02
6.000e+00,4.246e-02,2.667e-02
8.000e+00,4.511e-02,2.906e-02
1.000e+01,4.790e-02,3.092e-02
1.500e+01,5.437e-02,3.382e-02
2.000e+01,5.953e-02,3.496e-02
# end of file
