# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z76.html
# 
# Osmium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.032e+03,4.019e+03
1.500e-03,1.801e+03,1.790e+03
1.960e-03,1.023e+03,1.012e+03
1.960e-03,2.003e+03,1.969e+03
2.000e-03,2.218e+03,2.179e+03
2.031e-03,2.622e+03,2.573e+03
2.031e-03,2.864e+03,2.810e+03
2.234e-03,2.852e+03,2.797e+03
2.457e-03,2.546e+03,2.498e+03
2.457e-03,2.948e+03,2.893e+03
2.619e-03,2.524e+03,2.478e+03
2.792e-03,2.161e+03,2.123e+03
2.792e-03,2.296e+03,2.255e+03
3.000e-03,1.938e+03,1.904e+03
3.048e-03,1.869e+03,1.836e+03
3.048e-03,1.949e+03,1.915e+03
4.000e-03,1.023e+03,1.004e+03
5.000e-03,5.936e+02,5.813e+02
6.000e-03,3.776e+02,3.682e+02
8.000e-03,1.836e+02,1.770e+02
1.000e-02,1.045e+02,9.940e+01
1.087e-02,8.458e+01,7.994e+01
1.087e-02,2.121e+02,1.762e+02
1.160e-02,1.860e+02,1.495e+02
1.239e-02,1.503e+02,1.271e+02
1.239e-02,2.060e+02,1.654e+02
1.267e-02,1.956e+02,1.576e+02
1.297e-02,1.846e+02,1.494e+02
1.297e-02,2.129e+02,1.711e+02
1.500e-02,1.478e+02,1.218e+02
2.000e-02,7.039e+01,5.999e+01
3.000e-02,2.443e+01,2.120e+01
4.000e-02,1.149e+01,9.907e+00
5.000e-02,6.414e+00,5.437e+00
6.000e-02,4.002e+00,3.314e+00
7.387e-02,2.360e+00,1.879e+00
7.387e-02,1.016e+01,2.888e+00
8.000e-02,8.290e+00,2.756e+00
1.000e-01,4.696e+00,2.092e+00
1.500e-01,1.680e+00,9.696e-01
2.000e-01,8.327e-01,5.150e-01
3.000e-01,3.414e-01,2.085e-01
4.000e-01,2.011e-01,1.161e-01
5.000e-01,1.428e-01,7.813e-02
6.000e-01,1.125e-01,5.923e-02
8.000e-01,8.224e-02,4.157e-02
1.000e+00,6.705e-02,3.351e-02
1.250e+00,5.625e-02,2.802e-02
1.500e+00,5.034e-02,2.511e-02
2.000e+00,4.458e-02,2.272e-02
3.000e+00,4.100e-02,2.248e-02
4.000e+00,4.065e-02,2.376e-02
5.000e+00,4.134e-02,2.523e-02
6.000e+00,4.244e-02,2.663e-02
8.000e+00,4.511e-02,2.901e-02
1.000e+01,4.791e-02,3.086e-02
1.500e+01,5.442e-02,3.375e-02
2.000e+01,5.956e-02,3.486e-02
# end of file
