# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z79.html
# 
# Gold
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.652e+03,4.639e+03
1.500e-03,2.089e+03,2.076e+03
2.000e-03,1.137e+03,1.125e+03
2.206e-03,9.187e+02,9.074e+02
2.206e-03,9.971e+02,9.836e+02
2.248e-03,1.386e+03,1.360e+03
2.291e-03,2.258e+03,2.208e+03
2.291e-03,2.389e+03,2.336e+03
2.507e-03,2.380e+03,2.325e+03
2.743e-03,2.203e+03,2.154e+03
2.743e-03,2.541e+03,2.484e+03
3.000e-03,2.049e+03,2.005e+03
3.148e-03,1.822e+03,1.783e+03
3.148e-03,1.933e+03,1.892e+03
3.283e-03,1.748e+03,1.710e+03
3.425e-03,1.585e+03,1.552e+03
3.425e-03,1.652e+03,1.618e+03
4.000e-03,1.144e+03,1.120e+03
5.000e-03,6.661e+02,6.512e+02
6.000e-03,4.253e+02,4.143e+02
8.000e-03,2.072e+02,1.999e+02
1.000e-02,1.181e+02,1.126e+02
1.192e-02,7.582e+01,7.129e+01
1.192e-02,1.870e+02,1.521e+02
1.279e-02,1.546e+02,1.272e+02
1.373e-02,1.283e+02,1.066e+02
1.373e-02,1.764e+02,1.379e+02
1.404e-02,1.766e+02,1.317e+02
1.435e-02,1.588e+02,1.252e+02
1.435e-02,1.830e+02,1.432e+02
1.500e-02,1.637e+02,1.294e+02
2.000e-02,7.883e+01,6.522e+01
3.000e-02,2.752e+01,2.349e+01
4.000e-02,1.298e+01,1.109e+01
5.000e-02,7.256e+00,6.124e+00
6.000e-02,4.528e+00,3.751e+00
8.000e-02,2.185e+00,1.720e+00
8.072e-02,2.137e+00,1.678e+00
8.072e-02,8.904e+00,2.512e+00
1.000e-01,5.158e+00,2.074e+00
1.500e-01,1.860e+00,1.026e+00
2.000e-01,9.214e-01,5.563e-01
3.000e-01,3.744e-01,2.289e-01
4.000e-01,2.180e-01,1.274e-01
5.000e-01,1.530e-01,8.523e-02
6.000e-01,1.194e-01,6.409e-02
8.000e-01,8.603e-02,4.427e-02
1.000e+00,6.953e-02,3.525e-02
1.250e+00,5.794e-02,2.915e-02
1.500e+00,5.167e-02,2.593e-02
2.000e+00,4.570e-02,2.333e-02
3.000e+00,4.201e-02,2.302e-02
4.000e+00,4.166e-02,2.432e-02
5.000e+00,4.239e-02,2.582e-02
6.000e+00,4.355e-02,2.725e-02
8.000e+00,4.633e-02,2.968e-02
1.000e+01,4.926e-02,3.159e-02
1.500e+01,5.598e-02,3.450e-02
2.000e+01,6.136e-02,3.565e-02
# end of file
