# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z81.html
# 
# Thallium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,5.008e+03,4.995e+03
1.500e-03,2.259e+03,2.247e+03
2.000e-03,1.231e+03,1.219e+03
2.389e-03,8.352e+02,8.240e+02
2.389e-03,1.136e+03,1.115e+03
2.437e-03,1.582e+03,1.546e+03
2.485e-03,2.049e+03,1.999e+03
2.485e-03,2.364e+03,2.303e+03
2.711e-03,2.207e+03,2.150e+03
2.957e-03,1.958e+03,1.910e+03
2.957e-03,2.267e+03,2.210e+03
3.000e-03,2.188e+03,2.135e+03
3.416e-03,1.591e+03,1.553e+03
3.416e-03,1.687e+03,1.647e+03
3.557e-03,1.530e+03,1.495e+03
3.704e-03,1.392e+03,1.360e+03
3.704e-03,1.452e+03,1.419e+03
4.000e-03,1.212e+03,1.185e+03
5.000e-03,7.068e+02,6.900e+02
6.000e-03,4.518e+02,4.398e+02
8.000e-03,2.208e+02,2.131e+02
1.000e-02,1.260e+02,1.202e+02
1.266e-02,6.957e+01,6.521e+01
1.266e-02,1.693e+02,1.357e+02
1.364e-02,1.473e+02,1.126e+02
1.470e-02,1.139e+02,9.356e+01
1.470e-02,1.572e+02,1.207e+02
1.500e-02,1.497e+02,1.154e+02
1.535e-02,1.416e+02,1.097e+02
1.535e-02,1.632e+02,1.254e+02
2.000e-02,8.361e+01,6.761e+01
3.000e-02,2.929e+01,2.467e+01
4.000e-02,1.385e+01,1.173e+01
5.000e-02,7.751e+00,6.513e+00
6.000e-02,4.838e+00,4.003e+00
8.000e-02,2.332e+00,1.844e+00
8.553e-02,1.976e+00,1.539e+00
8.553e-02,8.046e+00,2.264e+00
1.000e-01,5.398e+00,2.007e+00
1.500e-01,1.957e+00,1.044e+00
2.000e-01,9.696e-01,5.753e-01
3.000e-01,3.923e-01,2.393e-01
4.000e-01,2.267e-01,1.334e-01
5.000e-01,1.580e-01,8.897e-02
6.000e-01,1.226e-01,6.661e-02
8.000e-01,8.751e-02,4.557e-02
1.000e+00,7.031e-02,3.600e-02
1.250e+00,5.832e-02,2.955e-02
1.500e+00,5.187e-02,2.616e-02
2.000e+00,4.581e-02,2.345e-02
3.000e+00,4.210e-02,2.309e-02
4.000e+00,4.175e-02,2.437e-02
5.000e+00,4.248e-02,2.587e-02
6.000e+00,4.366e-02,2.731e-02
8.000e+00,4.647e-02,2.975e-02
1.000e+01,4.943e-02,3.167e-02
1.500e+01,5.622e-02,3.463e-02
2.000e+01,6.162e-02,3.578e-02
# end of file
