# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z82.html
# 
# Lead
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,5.210e+03,5.197e+03
1.500e-03,2.356e+03,2.344e+03
2.000e-03,1.285e+03,1.274e+03
2.484e-03,8.006e+02,7.895e+02
2.484e-03,1.397e+03,1.366e+03
2.534e-03,1.726e+03,1.682e+03
2.586e-03,1.944e+03,1.895e+03
2.586e-03,2.458e+03,2.390e+03
3.000e-03,1.965e+03,1.913e+03
3.066e-03,1.857e+03,1.808e+03
3.066e-03,2.146e+03,2.090e+03
3.301e-03,1.796e+03,1.748e+03
3.554e-03,1.496e+03,1.459e+03
3.554e-03,1.585e+03,1.546e+03
3.699e-03,1.442e+03,1.405e+03
3.851e-03,1.311e+03,1.279e+03
3.851e-03,1.368e+03,1.335e+03
4.000e-03,1.251e+03,1.221e+03
5.000e-03,7.304e+02,7.124e+02
6.000e-03,4.672e+02,4.546e+02
8.000e-03,2.287e+02,2.207e+02
1.000e-02,1.306e+02,1.247e+02
1.304e-02,6.701e+01,6.270e+01
1.304e-02,1.621e+02,1.291e+02
1.500e-02,1.116e+02,9.100e+01
1.520e-02,1.078e+02,8.807e+01
1.520e-02,1.485e+02,1.131e+02
1.553e-02,1.416e+02,1.083e+02
1.586e-02,1.344e+02,1.032e+02
1.586e-02,1.548e+02,1.180e+02
2.000e-02,8.636e+01,6.899e+01
3.000e-02,3.032e+01,2.536e+01
4.000e-02,1.436e+01,1.211e+01
5.000e-02,8.041e+00,6.740e+00
6.000e-02,5.021e+00,4.149e+00
8.000e-02,2.419e+00,1.916e+00
8.800e-02,1.910e+00,1.482e+00
8.800e-02,7.683e+00,2.160e+00
1.000e-01,5.549e+00,1.976e+00
1.500e-01,2.014e+00,1.056e+00
2.000e-01,9.985e-01,5.870e-01
3.000e-01,4.031e-01,2.455e-01
4.000e-01,2.323e-01,1.370e-01
5.000e-01,1.614e-01,9.128e-02
6.000e-01,1.248e-01,6.819e-02
8.000e-01,8.870e-02,4.644e-02
1.000e+00,7.102e-02,3.654e-02
1.250e+00,5.876e-02,2.988e-02
1.500e+00,5.222e-02,2.640e-02
2.000e+00,4.606e-02,2.360e-02
3.000e+00,4.234e-02,2.322e-02
4.000e+00,4.197e-02,2.449e-02
5.000e+00,4.272e-02,2.600e-02
6.000e+00,4.391e-02,2.744e-02
8.000e+00,4.675e-02,2.989e-02
1.000e+01,4.972e-02,3.181e-02
1.500e+01,5.658e-02,3.478e-02
2.000e+01,6.206e-02,3.595e-02
# end of file
