# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z83.html
# 
# Bismuth
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,5.441e+03,5.427e+03
1.500e-03,2.468e+03,2.455e+03
2.000e-03,1.348e+03,1.336e+03
2.580e-03,7.724e+02,7.612e+02
2.580e-03,1.777e+03,1.731e+03
2.633e-03,1.850e+03,1.799e+03
2.688e-03,1.852e+03,1.802e+03
2.688e-03,2.576e+03,2.500e+03
3.000e-03,2.053e+03,1.996e+03
3.177e-03,1.774e+03,1.725e+03
3.177e-03,2.048e+03,1.992e+03
3.427e-03,1.707e+03,1.659e+03
3.696e-03,1.415e+03,1.378e+03
3.696e-03,1.498e+03,1.460e+03
3.845e-03,1.366e+03,1.329e+03
3.999e-03,1.243e+03,1.211e+03
3.999e-03,1.297e+03,1.264e+03
4.000e-03,1.296e+03,1.263e+03
5.000e-03,7.580e+02,7.386e+02
6.000e-03,4.855e+02,4.721e+02
8.000e-03,2.378e+02,2.295e+02
1.000e-02,1.360e+02,1.298e+02
1.342e-02,6.491e+01,6.064e+01
1.342e-02,1.560e+02,1.234e+02
1.500e-02,1.160e+02,9.358e+01
1.571e-02,1.027e+02,8.346e+01
1.571e-02,1.416e+02,1.069e+02
1.605e-02,1.351e+02,1.024e+02
1.639e-02,1.282e+02,9.769e+01
1.639e-02,1.478e+02,1.116e+02
2.000e-02,8.952e+01,7.060e+01
3.000e-02,3.152e+01,2.617e+01
4.000e-02,1.495e+01,1.255e+01
5.000e-02,8.379e+00,7.004e+00
6.000e-02,5.233e+00,4.320e+00
8.000e-02,2.522e+00,1.999e+00
9.053e-02,1.856e+00,1.434e+00
9.053e-02,7.380e+00,2.073e+00
1.000e-01,5.739e+00,1.951e+00
1.500e-01,2.082e+00,1.071e+00
2.000e-01,1.033e+00,6.014e-01
3.000e-01,4.163e-01,2.532e-01
4.000e-01,2.391e-01,1.414e-01
5.000e-01,1.656e-01,9.411e-02
6.000e-01,1.277e-01,7.017e-02
8.000e-01,9.036e-02,4.758e-02
1.000e+00,7.214e-02,3.730e-02
1.250e+00,5.955e-02,3.039e-02
1.500e+00,5.285e-02,2.678e-02
2.000e+00,4.659e-02,2.389e-02
3.000e+00,4.279e-02,2.347e-02
4.000e+00,4.242e-02,2.475e-02
5.000e+00,4.317e-02,2.626e-02
6.000e+00,4.437e-02,2.772e-02
8.000e+00,4.725e-02,3.020e-02
1.000e+01,5.025e-02,3.213e-02
1.500e+01,5.721e-02,3.514e-02
2.000e+01,6.276e-02,3.632e-02
# end of file
