# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html
# 
# Polonium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,5.724e+03,5.710e+03
1.500e-03,2.604e+03,2.591e+03
2.000e-03,1.423e+03,1.411e+03
2.683e-03,7.482e+02,7.369e+02
2.683e-03,2.206e+03,2.142e+03
2.740e-03,1.941e+03,1.884e+03
2.798e-03,1.775e+03,1.726e+03
2.798e-03,2.711e+03,2.625e+03
3.000e-03,2.155e+03,2.090e+03
3.302e-03,1.693e+03,1.645e+03
3.302e-03,1.956e+03,1.900e+03
3.567e-03,1.622e+03,1.576e+03
3.854e-03,1.339e+03,1.303e+03
3.854e-03,1.419e+03,1.381e+03
4.000e-03,1.299e+03,1.264e+03
4.149e-03,1.190e+03,1.158e+03
4.149e-03,1.242e+03,1.209e+03
5.000e-03,7.931e+02,7.721e+02
6.000e-03,5.085e+02,4.942e+02
8.000e-03,2.494e+02,2.406e+02
1.000e-02,1.427e+02,1.363e+02
1.381e-02,6.337e+01,5.910e+01
1.381e-02,1.513e+02,1.189e+02
1.500e-02,1.219e+02,9.728e+01
1.624e-02,9.849e+01,7.965e+01
1.624e-02,1.361e+02,1.019e+02
1.659e-02,1.297e+02,9.755e+01
1.694e-02,1.232e+02,9.308e+01
1.694e-02,1.420e+02,1.063e+02
2.000e-02,9.352e+01,7.278e+01
3.000e-02,3.303e+01,2.721e+01
4.000e-02,1.569e+01,1.311e+01
5.000e-02,8.802e+00,7.334e+00
6.000e-02,5.499e+00,4.532e+00
8.000e-02,2.649e+00,2.103e+00
9.310e-02,1.820e+00,1.400e+00
9.310e-02,7.140e+00,2.005e+00
1.000e-01,5.991e+00,1.936e+00
1.500e-01,2.170e+00,1.095e+00
2.000e-01,1.078e+00,6.207e-01
3.000e-01,4.335e-01,2.630e-01
4.000e-01,2.483e-01,1.471e-01
5.000e-01,1.714e-01,9.781e-02
6.000e-01,1.318e-01,7.281e-02
8.000e-01,9.286e-02,4.916e-02
1.000e+00,7.391e-02,3.839e-02
1.250e+00,6.087e-02,3.117e-02
1.500e+00,5.394e-02,2.740e-02
2.000e+00,4.749e-02,2.438e-02
3.000e+00,4.362e-02,2.392e-02
4.000e+00,4.323e-02,2.521e-02
5.000e+00,4.399e-02,2.674e-02
6.000e+00,4.522e-02,2.822e-02
8.000e+00,4.816e-02,3.074e-02
1.000e+01,5.124e-02,3.271e-02
1.500e+01,5.835e-02,3.577e-02
2.000e+01,6.398e-02,3.694e-02
# end of file
