# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z86.html
# 
# Radon
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,5.826e+03,5.812e+03
1.047e-03,5.354e+03,5.340e+03
1.097e-03,4.909e+03,4.895e+03
1.097e-03,5.013e+03,5.000e+03
1.500e-03,2.719e+03,2.706e+03
2.000e-03,1.490e+03,1.478e+03
2.892e-03,6.634e+02,6.526e+02
2.892e-03,2.319e+03,2.243e+03
3.000e-03,1.554e+03,1.507e+03
3.021e-03,1.524e+03,1.479e+03
3.021e-03,2.470e+03,2.384e+03
3.270e-03,1.867e+03,1.804e+03
3.538e-03,1.479e+03,1.433e+03
3.538e-03,1.710e+03,1.657e+03
4.000e-03,1.266e+03,1.229e+03
4.159e-03,1.148e+03,1.115e+03
4.159e-03,1.217e+03,1.182e+03
4.317e-03,1.112e+03,1.080e+03
4.482e-03,1.017e+03,9.877e+02
4.482e-03,1.061e+03,1.031e+03
5.000e-03,8.163e+02,7.931e+02
6.000e-03,5.240e+02,5.085e+02
8.000e-03,2.577e+02,2.485e+02
1.000e-02,1.477e+02,1.411e+02
1.462e-02,5.697e+01,5.296e+01
1.462e-02,1.344e+02,1.042e+02
1.500e-02,1.259e+02,9.807e+01
1.734e-02,8.557e+01,6.851e+01
1.734e-02,1.185e+02,8.724e+01
1.769e-02,1.225e+02,8.366e+01
1.805e-02,1.077e+02,8.002e+01
1.805e-02,1.241e+02,9.130e+01
2.000e-02,9.563e+01,7.231e+01
3.000e-02,3.408e+01,2.760e+01
4.000e-02,1.624e+01,1.342e+01
5.000e-02,9.125e+00,7.552e+00
6.000e-02,5.706e+00,4.686e+00
8.000e-02,2.749e+00,2.185e+00
9.840e-02,1.649e+00,1.258e+00
9.840e-02,6.371e+00,1.779e+00
1.000e-01,6.086e+00,1.766e+00
1.500e-01,2.215e+00,1.073e+00
2.000e-01,1.101e+00,6.204e-01
3.000e-01,4.420e-01,2.668e-01
4.000e-01,2.518e-01,1.496e-01
5.000e-01,1.728e-01,9.941e-02
6.000e-01,1.322e-01,7.377e-02
8.000e-01,9.230e-02,4.942e-02
1.000e+00,7.303e-02,3.832e-02
1.250e+00,5.984e-02,3.089e-02
1.500e+00,5.290e-02,2.704e-02
2.000e+00,4.649e-02,2.396e-02
3.000e+00,4.264e-02,2.344e-02
4.000e+00,4.224e-02,2.469e-02
5.000e+00,4.298e-02,2.620e-02
6.000e+00,4.418e-02,2.766e-02
8.000e+00,4.705e-02,3.016e-02
1.000e+01,5.007e-02,3.216e-02
1.500e+01,5.704e-02,3.534e-02
2.000e+01,6.260e-02,3.670e-02
# end of file
