# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z88.html
# 
# Radium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,6.201e+03,6.187e+03
1.028e-03,5.895e+03,5.881e+03
1.058e-03,5.602e+03,5.588e+03
1.058e-03,5.683e+03,5.669e+03
1.130e-03,5.019e+03,5.005e+03
1.208e-03,4.424e+03,4.411e+03
1.208e-03,4.516e+03,4.502e+03
1.500e-03,2.950e+03,2.937e+03
2.000e-03,1.620e+03,1.608e+03
3.000e-03,6.664e+02,6.555e+02
3.105e-03,6.169e+02,6.061e+02
3.105e-03,1.715e+03,1.657e+03
3.176e-03,1.506e+03,1.457e+03
3.248e-03,1.374e+03,1.331e+03
3.248e-03,2.039e+03,1.965e+03
3.510e-03,1.647e+03,1.587e+03
3.792e-03,1.342e+03,1.297e+03
3.792e-03,1.558e+03,1.506e+03
4.000e-03,1.367e+03,1.322e+03
4.489e-03,1.024e+03,9.917e+02
4.489e-03,1.086e+03,1.052e+03
4.653e-03,9.995e+02,9.643e+02
4.822e-03,9.129e+02,8.846e+02
4.822e-03,9.522e+02,9.228e+02
5.000e-03,8.741e+02,8.472e+02
6.000e-03,5.613e+02,5.438e+02
8.000e-03,2.769e+02,2.669e+02
1.000e-02,1.589e+02,1.519e+02
1.500e-02,5.760e+01,5.353e+01
1.544e-02,5.355e+01,4.962e+01
1.544e-02,1.253e+02,9.581e+01
1.690e-02,9.839e+01,7.677e+01
1.848e-02,7.766e+01,6.160e+01
1.848e-02,1.081e+02,7.835e+01
1.886e-02,1.126e+02,7.500e+01
1.924e-02,9.799e+01,7.175e+01
1.924e-02,1.128e+02,8.172e+01
2.000e-02,1.023e+02,7.496e+01
3.000e-02,3.664e+01,2.913e+01
4.000e-02,1.750e+01,1.429e+01
5.000e-02,9.850e+00,8.088e+00
6.000e-02,6.166e+00,5.039e+00
8.000e-02,2.971e+00,2.363e+00
1.000e-01,1.712e+00,1.308e+00
1.039e-01,1.560e+00,1.181e+00
1.039e-01,5.826e+00,1.638e+00
1.500e-01,2.355e+00,1.091e+00
2.000e-01,1.172e+00,6.440e-01
3.000e-01,4.696e-01,2.811e-01
4.000e-01,2.662e-01,1.580e-01
5.000e-01,1.817e-01,1.050e-01
6.000e-01,1.383e-01,7.772e-02
8.000e-01,9.579e-02,5.165e-02
1.000e+00,7.535e-02,3.983e-02
1.250e+00,6.141e-02,3.191e-02
1.500e+00,5.415e-02,2.779e-02
2.000e+00,4.751e-02,2.452e-02
3.000e+00,4.348e-02,2.387e-02
4.000e+00,4.304e-02,2.509e-02
5.000e+00,4.379e-02,2.658e-02
6.000e+00,4.500e-02,2.802e-02
8.000e+00,4.793e-02,3.050e-02
1.000e+01,5.102e-02,3.245e-02
1.500e+01,5.815e-02,3.549e-02
2.000e+01,6.383e-02,3.668e-02
# end of file
