# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z90.html
# 
# Thorium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,6.614e+03,6.600e+03
1.081e-03,5.747e+03,5.733e+03
1.168e-03,4.976e+03,4.962e+03
1.168e-03,5.048e+03,5.034e+03
1.246e-03,4.463e+03,4.449e+03
1.329e-03,3.937e+03,3.924e+03
1.329e-03,4.017e+03,4.003e+03
1.500e-03,3.161e+03,3.148e+03
2.000e-03,1.742e+03,1.729e+03
3.000e-03,7.180e+02,7.070e+02
3.332e-03,5.671e+02,5.565e+02
3.332e-03,1.394e+03,1.346e+03
3.410e-03,1.304e+03,1.260e+03
3.491e-03,1.226e+03,1.185e+03
3.491e-03,1.749e+03,1.683e+03
4.000e-03,1.253e+03,1.208e+03
4.046e-03,1.217e+03,1.174e+03
4.046e-03,1.415e+03,1.364e+03
4.421e-03,1.137e+03,1.098e+03
4.830e-03,9.103e+02,8.797e+02
4.830e-03,9.655e+02,9.330e+02
5.000e-03,8.878e+02,8.581e+02
5.182e-03,8.129e+02,7.859e+02
5.182e-03,8.477e+02,8.196e+02
6.000e-03,5.945e+02,5.749e+02
8.000e-03,2.939e+02,2.830e+02
1.000e-02,1.689e+02,1.615e+02
1.500e-02,6.141e+01,5.718e+01
1.630e-02,4.991e+01,4.611e+01
1.630e-02,1.156e+02,8.732e+01
1.792e-02,9.924e+01,6.924e+01
1.969e-02,6.984e+01,5.492e+01
1.969e-02,9.527e+01,6.836e+01
2.000e-02,9.368e+01,6.714e+01
2.047e-02,8.851e+01,6.383e+01
2.047e-02,1.018e+02,7.259e+01
3.000e-02,3.892e+01,3.032e+01
4.000e-02,1.865e+01,1.503e+01
5.000e-02,1.052e+01,8.558e+00
6.000e-02,6.592e+00,5.355e+00
8.000e-02,3.178e+00,2.526e+00
1.000e-01,1.830e+00,1.403e+00
1.097e-01,1.465e+00,1.100e+00
1.097e-01,5.336e+00,1.502e+00
1.500e-01,2.472e+00,1.090e+00
2.000e-01,1.234e+00,6.603e-01
3.000e-01,4.939e-01,2.931e-01
4.000e-01,2.789e-01,1.656e-01
5.000e-01,1.895e-01,1.101e-01
6.000e-01,1.435e-01,8.128e-02
8.000e-01,9.861e-02,5.366e-02
1.000e+00,7.709e-02,4.109e-02
1.250e+00,6.251e-02,3.269e-02
1.500e+00,5.498e-02,2.834e-02
2.000e+00,4.812e-02,2.487e-02
3.000e+00,4.396e-02,2.411e-02
4.000e+00,4.347e-02,2.528e-02
5.000e+00,4.421e-02,2.674e-02
6.000e+00,4.542e-02,2.817e-02
8.000e+00,4.836e-02,3.060e-02
1.000e+01,5.149e-02,3.253e-02
1.500e+01,5.871e-02,3.550e-02
2.000e+01,6.447e-02,3.664e-02
# end of file
