energy,z,transition,intensity
54.3,3,"Kα1,2 ",150
108.5,4,"Kα1,2 ",150
183.3,5,"Kα1,2 ",151
277.0,6,"Kα1,2 ",147
348.3,21,Ll,21
395.3,7,"Kα1,2 ",150
395.4,22,Ll,46
395.4,21,"Lα1,2 ",111
399.6,21,Lβ1,77
446.5,23,Ll,28
452.2,22,"Lα1,2 ",111
458.4,22,Lβ1,79
500.3,24,Ll,17
511.3,23,"Lα1,2 ",111
519.2,23,Lβ1,80
524.9,8,"Kα1,2 ",151
556.3,25,Ll,15
572.8,24,"Lα1,2 ",111
582.8,24,Lβ1,79
615.2,26,Ll,10
637.4,25,"Lα1,2 ",111
648.8,25,Lβ1,77
676.8,9,"Kα1,2 ",148
677.8,27,Ll,10
705.0,26,"Lα1,2 ",111
718.5,26,Lβ1,66
742.7,28,Ll,9
776.2,27,"Lα1,2 ",111
791.4,27,Lβ1,76
811.1,29,Ll,8
833.0,57,Mα1,100
848.6,10,"Kα1,2 ",150
851.5,28,"Lα1,2 ",111
868.8,28,Lβ1,68
883.0,58,Mα1,100
884.0,30,Ll,7
929.2,59,Mα1,100
929.7,29,"Lα1,2 ",111
949.8,29,Lβ1,65
957.2,31,Ll,7
978.0,60,Mα1,100
1011.7,30,"Lα1,2 ",111
1034.7,30,Lβ1,65
1036.2,32,Ll,6
1041.0,11,"Kα1,2 ",150
1081.0,62,Mα1,100
1097.9,31,"Lα1,2 ",111
1120.0,33,Ll,6
1124.8,31,Lβ1,66
1131.0,63,Mα1,100
1185.0,64,Mα1,100
1188.0,32,"Lα1,2 ",111
1204.4,34,Ll,6
1218.5,32,Lβ1,60
1240.0,65,Mα1,100
1253.6,12,"Kα1,2 ",150
1282.0,33,"Lα1,2 ",111
1293.0,66,Mα1,100
1293.5,35,Ll,5
1317.0,33,Lβ1,60
1348.0,67,Mα1,100
1379.1,34,"Lα1,2 ",111
1386.0,36,Ll,5
1406.0,68,Mα1,100
1419.2,34,Lβ1,59
1462.0,69,Mα1,100
1480.4,35,"Lα1,2 ",111
1482.4,37,Ll,5
1486.3,13,Kα2,50
1486.7,13,Kα1,100
1521.4,70,Mα1,100
1525.9,35,Lβ1,59
1557.4,13,Kβ1,1
1581.3,71,Mα1,100
1582.2,38,Ll,5
1586.0,36,"Lα1,2 ",111
1636.6,36,Lβ1,57
1644.6,72,Mα1,100
1685.4,39,Ll,5
1692.6,37,Lα2,11
1694.1,37,Lα1,100
