Nuclide ; Ac-225 
Element ; Actinium
Z ; 89
Daughter(s) ; (alpha) ; Fr-221 ; 100
Qalpha ; 5935.1
Possible parent(s) ; (B-) ; Ra-225 ; 100
Half-life (d) ; 9.9172 ; 0.0021
Half-life (s) ; 856.85E3 ; 0.18E3
Decay constant (1/s) ; 808.95E-9 ; 0.17E-9
Specific activity (Bq/g) ; 2.16517E15 ; 0.00046E15
Reference ; LNHB; CNDC - 2023
Emissions (194 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
10.79 ; 0.02 ; 0.015 ; 0.002 ; g ; Fr-221 ; 2 ; 1 ; 
14.08955 ;  ; 19.0 ; 0.6 ; XL ; Fr ;  ;  ; 
25.856 ; 0.017 ; 0.00159 ; 0.00021 ; g ; Fr-221 ; 1 ; 0 ; 
36.646 ; 0.011 ; 0.0181 ; 0.0015 ; g ; Fr-221 ; 2 ; 0 ; 
38.546 ; 0.012 ; 0.0107 ; 0.0010 ; g ; Fr-221 ; 3 ; 0 ; 
46.159 ; 0.024 ; 0.0049 ; 0.0007 ; g ; Fr-221 ; 8 ; 4 ; 
49.166 ; 0.017 ; 0.0080 ; 0.0008 ; g ; Fr-221 ; 9 ; 6 ; 
50.311 ; 0.021 ; 0.00062 ;  ; g ; Fr-221 ; 9 ; 5 ; 
53.036 ; 0.039 ; 0.004 ;  ; g ; Fr-221 ; 34 ; 32 ; 
57.762 ; 0.016 ; 0.0051 ; 0.0008 ; g ; Fr-221 ; 13 ; 10 ; 
62.351 ; 0.016 ; 0.0053 ; 0.0012 ; g ; Fr-221 ; 6 ; 3 ; 
62.950 ; 0.017 ; 0.49 ; 0.03 ; g ; Fr-221 ; 4 ; 2 ; 
63.106 ; 0.019 ; 0.021 ; 0.003 ; g ; Fr-221 ; 5 ; 2 ; 
64.251 ; 0.016 ; 0.047 ; 0.004 ; g ; Fr-221 ; 6 ; 2 ; 
69.858 ; 0.016 ; 0.0047 ; 0.0012 ; g ; Fr-221 ; 7 ; 3 ; 
71.758 ; 0.016 ; 0.0132 ; 0.0013 ; g ; Fr-221 ; 7 ; 2 ; 
73.740 ; 0.021 ; 0.019 ; 0.005 ; g ; Fr-221 ; 4 ; 1 ; 
73.896 ; 0.023 ; 0.309 ; 0.023 ; g ; Fr-221 ; 5 ; 1 ; 
75.041 ; 0.020 ; 0.015 ; 0.003 ; g ; Fr-221 ; 6 ; 1 ; 
78.812 ; 0.024 ; 0.0123 ; 0.0019 ; g ; Fr-221 ; 11 ; 8 ; 
83.23 ;  ; 1.06 ; 0.07 ; XKa2 ; Fr ;  ;  ; 
86.1 ;  ; 1.73 ; 0.12 ; XKa1 ; Fr ;  ;  ; 
87.385 ; 0.016 ; 0.271 ; 0.019 ; g ; Fr-221 ; 10 ; 7 ; 
94.892 ; 0.016 ; 0.105 ; 0.010 ; g ; Fr-221 ; 10 ; 6 ; 
96.037 ; 0.019 ; 0.033 ; 0.007 ; g ; Fr-221 ; 10 ; 5 ; 
97.4527 ;  ; 0.60 ; 0.05 ; XK'b1 ; Fr ;  ;  ; 
99.596 ; 0.013 ; 0.76 ; 0.05 ; g ; Fr-221 ; 4 ; 0 ; 
99.752 ; 0.016 ; 1.08 ; 0.08 ; g ; Fr-221 ; 5 ; 0 ; 
100.56 ;  ; 0.196 ; 0.014 ; XK'b2 ; Fr ;  ;  ; 
100.897 ; 0.011 ; 0.096 ; 0.008 ; g ; Fr-221 ; 6 ; 0 ; 
103.488 ; 0.018 ; 0.0030 ; 0.0007 ; g ; Fr-221 ; 13 ; 9 ; 
108.404 ; 0.011 ; 0.255 ; 0.016 ; g ; Fr-221 ; 7 ; 0 ; 
111.517 ; 0.018 ; 0.313 ; 0.021 ; g ; Fr-221 ; 9 ; 3 ; 
112.78 ; 0.05 ; 0.0021 ; 0.0003 ; g ; Fr-221 ; 24 ; 16 ; 
114.091 ; 0.025 ; 0.00087 ; 0.00013 ; g ; Fr-221 ; 23 ; 15 ; 
119.899 ; 0.026 ; 0.080 ; 0.005 ; g ; Fr-221 ; 8 ; 1 ; 
121.08 ; 0.07 ; 0.017 ; 0.005 ; g ; Fr-221 ; 14 ; 9 ; 
123.670 ; 0.017 ; 0.087 ; 0.006 ; g ; Fr-221 ; 11 ; 6 ; 
124.815 ; 0.021 ; 0.0292 ; 0.0018 ; g ; Fr-221 ; 11 ; 5 ; 
126.066 ; 0.021 ; 0.0079 ; 0.0007 ; g ; Fr-221 ; 12 ; 7 ; 
129.146 ; 0.021 ; 0.0027 ; 0.0005 ; g ; Fr-221 ; 15 ; 9 ; 
133.573 ; 0.021 ; 0.0196 ; 0.0016 ; g ; Fr-221 ; 12 ; 6 ; 
134.874 ; 0.022 ; 0.032 ; 0.003 ; g ; Fr-221 ; 12 ; 4 ; 
137.40 ; 0.15 ; 0.0023 ; 0.0003 ; g ; Fr-221 ; 26 ; 14 ; 
139.749 ; 0.022 ; 0.00139 ; 0.00021 ; g ; Fr-221 ; 23 ; 13 ; 
144.627 ; 0.042 ; 0.00046 ; 0.00012 ; g ; Fr-221 ; 17 ; 9 ; 
145.147 ; 0.016 ; 0.146 ; 0.009 ; g ; Fr-221 ; 13 ; 7 ; 
150.063 ; 0.013 ; 0.693 ; 0.012 ; g ; Fr-221 ; 9 ; 0 ; 
152.654 ; 0.016 ; 0.0197 ; 0.0013 ; g ; Fr-221 ; 13 ; 6 ; 
153.955 ; 0.018 ; 0.205 ; 0.013 ; g ; Fr-221 ; 13 ; 4 ; 
157.243 ; 0.016 ; 0.36 ; 0.03 ; g ; Fr-221 ; 10 ; 3 ; 
161.35 ; 0.08 ; 0.0036 ; 0.0009 ; g ; Fr-221 ; 18 ; 9 ; 
168.733 ; 0.022 ; 0.012 ; 0.005 ; g ; Fr-221 ; 23 ; 11 ; 
169.933 ; 0.020 ; 0.0139 ; 0.0014 ; g ; Fr-221 ; 10 ; 1 ; 
170.805 ; 0.020 ; 0.013 ; 0.007 ; g ; Fr-221 ; 15 ; 7 ; 
178.312 ; 0.020 ; 0.0161 ; 0.0012 ; g ; Fr-221 ; 15 ; 6 ; 
179.756 ; 0.032 ; 0.0108 ; 0.0008 ; g ; Fr-221 ; 16 ; 7 ; 
186.021 ; 0.018 ; 0.0127 ; 0.0014 ; g ; Fr-221 ; 11 ; 3 ; 
186.286 ; 0.041 ; 0.0042 ; 0.0005 ; g ; Fr-221 ; 17 ; 7 ; 
187.263 ; 0.032 ; 0.0103 ; 0.0007 ; g ; Fr-221 ; 16 ; 6 ; 
187.921 ; 0.017 ; 0.53 ; 0.03 ; g ; Fr-221 ; 11 ; 2 ; 
195.789 ; 0.011 ; 0.148 ; 0.009 ; g ; Fr-221 ; 10 ; 0 ; 
197.511 ; 0.021 ; 0.026 ; 0.003 ; g ; Fr-221 ; 23 ; 10 ; 
197.824 ; 0.021 ; 0.038 ; 0.005 ; g ; Fr-221 ; 12 ; 2 ; 
198.711 ; 0.021 ; 0.0188 ; 0.0013 ; g ; Fr-221 ; 11 ; 1 ; 
205.19 ; 0.06 ; 0.0015 ; 0.0005 ; g ; Fr-221 ; 29 ; 13 ; 
216.905 ; 0.016 ; 0.32 ; 0.02 ; g ; Fr-221 ; 13 ; 2 ; 
220.43 ; 0.08 ; 0.0060 ; 0.0018 ; g ; Fr-221 ; 19 ; 4 ; 
224.567 ; 0.013 ; 0.112 ; 0.008 ; g ; Fr-221 ; 11 ; 0 ; 
227.695 ; 0.021 ; 0.0046 ; 0.0012 ; g ; Fr-221 ; 13 ; 1 ; 
231.196 ; 0.039 ; 0.005 ; 0.003 ; g ; Fr-221 ; 41 ; 32 ; 
234.49 ; 0.07 ; 0.0017 ; 0.0003 ; g ; Fr-221 ; 14 ; 2 ; 
238.64 ; 0.08 ; 0.0010 ; 0.0003 ; g ; Fr-221 ; 20 ; 4 ; 
