Nuclide ; Ac-227 
Element ; Actinium
Z ; 89
Daughter(s) ; (B-) ; Th-227 ; 98.62 ; (alpha) ; Fr-223 ; 1.38
Q- ; 44.8 ; Qalpha ; 5042.19
Possible parent(s) ; (alpha) ; Pa-231 ; 100
Half-life (a) ; 21.772 ; 0.003
Half-life (s) ; 687.06E6 ; 0.09E6
Decay constant (1/s) ; 1.00886E-9 ; 0.00014E-9
Specific activity (Bq/g) ; 2.67644E12 ; 0.00037E12
Reference ; KRI - 2008
Emissions (92 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
9.3 ;  ; 0.00011 ;  ; g ; Th-227 ; 1 ; 0
12.9 ; 0.1 ; 0.000014 ;  ; g ; Fr-223 ; 1 ; 0
14.11 ;  ; 0.074 ; 0.008 ; XL ; Fr-223 ;  ; 
15.2 ; 0.1 ; 0.00063 ;  ; g ; Th-227 ; 2 ; 1
15.3585 ;  ; 2.64 ;  ; XL ; Th-227 ;  ; 
24.33 ; 0.05 ; 0.028 ;  ; g ; Th-227 ; 2 ; 0
25.95 ;  ; 0.00000055 ;  ; g ; Fr-223 ; 8 ; 6
28.57 ; 0.05 ; 0.042 ;  ; g ; Th-227 ; 3 ; 1
33.5 ; 0.1 ; 0.00011 ; 0.00003 ; g ; Fr-223 ; 6 ; 5
35.0 ; 0.2 ; 0.000028 ; 0.000010 ; g ; Fr-223 ; 6 ; 4
37.90 ; 0.03 ; 0.049 ;  ; g ; Th-227 ; 3 ; 0
44.7 ; 0.1 ; 0.00011 ; 0.00003 ; g ; Fr-223 ; 4 ; 2
51.06 ;  ; 0.00000028 ;  ; g ; Fr-223 ; 13 ; 9
52.32 ;  ; 0.0000014 ;  ; g ; Fr-223 ; 10 ; 6
53.7 ; 0.2 ; 0.000041 ; 0.000010 ; g ; Fr-223 ; 14 ; 11
55.0 ; 0.1 ; 0.00044 ; 0.00008 ; g ; Fr-223 ; 2 ; 0
55.80 ; 0.05 ; 0.0000039 ;  ; g ; Fr-223 ; 16 ; 11
57.56 ; 0.05 ; 0.0000032 ;  ; g ; Fr-223 ; 16 ; 10
59.4 ; 0.2 ; 0.000041 ; 0.000010 ; g ; Fr-223 ; 8 ; 5
60.6 ; 0.3 ; 0.000041 ; 0.000010 ; g ; Fr-223 ; 8 ; 4
69.28 ; 0.08 ; 0.0039 ; 0.0006 ; g ; Fr-223 ; 3 ; 1
70.6 ; 0.2 ; 0.000083 ; 0.000030 ; g ; Fr-223 ; 14 ; 10
72.5 ; 0.2 ; 0.000138 ; 0.000042 ; g ; Fr-223 ;  ; 
79.54 ; 0.08 ; 0.0011 ; 0.0001 ; g ; Fr-223 ; 6 ; 2
82.2 ; 0.1 ; 0.00083 ; 0.00010 ; g ; Fr-223 ; 3 ; 0
83.0 ; 0.1 ; 0.0000014 ;  ; g ; Fr-223 ; 15 ; 8
83.23 ;  ; 0.0043 ; 0.0012 ; XKa2 ; Fr-223 ;  ; 
85.0 ; 0.5 ; 0.000011 ;  ; g ; Fr-223 ; 12 ; 6
86.1 ;  ; 0.0070 ; 0.0019 ; XKa1 ; Fr-223 ;  ; 
86.1 ; 0.1 ; 0.00047 ;  ; g ; Fr-223 ; 10 ; 5
86.7 ; 0.2 ; 0.0028 ; 0.0004 ; g ; Fr-223 ; 4 ; 1
88.1 ; 0.1 ; 0.00138 ; 0.00014 ; g ; Fr-223 ;  ; 
88.5 ; 0.6 ; 0.00000097 ;  ; g ; Fr-223 ; 13 ; 6
90.0 ; 0.1 ; 0.00018 ; 0.00007 ; g ; Fr-223 ; 9 ; 3
97.4527 ;  ; 0.0024 ; 0.0007 ; XK'b1 ; Fr-223 ;  ; 
99.6 ; 0.1 ; 0.0051 ; 0.0007 ; g ; Fr-223 ; 4 ; 0
100.56 ;  ; 0.00079 ; 0.00022 ; XK'b2 ; Fr-223 ;  ; 
101.0 ; 0.1 ; 0.00069 ; 0.00030 ; g ; Fr-223 ; 5 ; 0
105.0 ; 0.2 ; 0.00034 ; 0.00010 ; g ; Fr-223 ; 10 ; 3
106.85 ; 0.10 ; 0.0011 ; 0.0001 ; g ; Fr-223 ; 11 ; 3
108.0 ; 0.3 ; 0.000041 ; 0.000010 ; g ; Fr-223 ; 14 ; 6
118.7 ; 0.4 ; 0.000041 ; 0.000010 ; g ; Fr-223 ; 12 ; 5
121.6 ; 0.1 ; 0.00240 ; 0.00042 ; g ; Fr-223 ;  ; 
134.5 ; 0.1 ; 0.00055 ; 0.00010 ; g ; Fr-223 ; 6 ; 0
137.4 ; 0.1 ; 0.00041 ; 0.00010 ; g ; Fr-223 ; 12 ; 3
140.9 ; 0.1 ; 0.00021 ; 0.00006 ; g ; Fr-223 ; 13 ; 3
143.0 ; 0.1 ; 0.00056 ; 0.00008 ; g ; Fr-223 ;  ; 
