Nuclide ; Ac-228 
Element ; Actinium
Z ; 89
Daughter(s) ; (B-) ; Th-228 ; 100 ; (alpha) ; Fr-224 ; 0.0000055
Q- ; 2123.8 ; Qalpha ; 4814
Possible parent(s) ; (B-) ; Ra-228 ; 100
Half-life (h) ; 6.15 ; 0.03
Half-life (s) ; 22.14E3 ; 0.11E3
Decay constant (1/s) ; 31.31E-6 ; 0.15E-6
Specific activity (Bq/g) ; 82.69E15 ; 0.40E15
Reference ; NPL - 2009
Emissions (231 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
15.311 ;  ; 37 ; 4 ; XL ; Th-228 ;  ; 
18.415 ; 0.012 ; 0.019 ; 0.004 ; g ; Th-228 ; 28 ; 27
42.46 ; 0.05 ; 0.009 ; 0.003 ; g ; Th-228 ; 38 ; 35
56.88 ; 0.05 ; 0.020 ; 0.005 ; g ; Th-228 ; 31 ; 29
57.752 ; 0.013 ; 0.470 ; 0.017 ; g ; Th-228 ; 1 ; 0
77.34 ; 0.03 ; 0.027 ; 0.006 ; g ; Th-228 ; 20 ; 17
89.954 ;  ; 2.5 ; 0.7 ; XKa2 ; Th-228 ;  ; 
93.351 ;  ; 4.1 ; 1.1 ; XKa1 ; Th-228 ;  ; 
99.505 ; 0.012 ; 1.26 ; 0.04 ; g ; Th-228 ; 29 ; 27
100.41 ; 0.03 ; 0.114 ; 0.006 ; g ; Th-228 ; 18 ; 15
105.554 ;  ; 1.5 ; 0.4 ; XK'b1 ; Th-228 ;  ; 
108.9687 ;  ; 0.49 ; 0.13 ; XK'b2 ; Th-228 ;  ; 
114.56 ; 0.07 ; 0.0102 ; 0.0022 ; g ; Th-228 ; 35 ; 29
129.065 ; 0.003 ; 2.50 ; 0.07 ; g ; Th-228 ; 2 ; 1
135.507 ; 0.022 ; 0.024 ; 0.006 ; g ; Th-228 ; 23 ; 17
137.936 ; 0.022 ; 0.028 ; 0.004 ; g ; Th-228 ; 31 ; 28
140.999 ; 0.020 ; 0.045 ; 0.009 ; g ; Th-228 ; 6 ; 4
145.842 ; 0.020 ; 0.169 ; 0.006 ; g ; Th-228 ; 20 ; 15
153.967 ; 0.011 ; 0.754 ; 0.023 ; g ; Th-228 ; 18 ; 12
168.53 ; 0.12 ; 0.0136 ; 0.0028 ; g ; Th-228 ;  ; 
173.96 ; 0.03 ; 0.036 ; 0.005 ; g ; Th-228 ; 19 ; 13
184.547 ; 0.019 ; 0.054 ; 0.019 ; g ; Th-228 ; 19 ; 12
191.351 ; 0.017 ; 0.133 ; 0.008 ; g ; Th-228 ; 4 ; 2
199.402 ; 0.015 ; 0.299 ; 0.023 ; g ; Th-228 ; 20 ; 12
204.029 ; 0.011 ; 0.114 ; 0.008 ; g ; Th-228 ; 24 ; 15
209.248 ; 0.007 ; 3.97 ; 0.13 ; g ; Th-228 ; 5 ; 2
214.89 ; 0.10 ; 0.031 ; 0.005 ; g ; Th-228 ; 19 ; 9
223.793 ; 0.021 ; 0.058 ; 0.006 ; g ; Th-228 ; 28 ; 23
231.42 ; 0.10 ; 0.026 ; 0.004 ; g ; Th-228 ; 22 ; 10
257.482 ; 0.021 ; 0.0286 ; 0.0019 ; g ; Th-228 ; 27 ; 21
263.58 ; 0.10 ; 0.043 ; 0.003 ; g ; Th-228 ; 27 ; 20
270.245 ; 0.007 ; 3.55 ; 0.10 ; g ; Th-228 ; 3 ; 1
278.80 ; 0.15 ; 0.235 ; 0.028 ; g ; Th-228 ;  ; 
282.02 ; 0.04 ; 0.09 ; 0.03 ; g ; Th-228 ; 28 ; 20
321.646 ; 0.008 ; 0.232 ; 0.014 ; g ; Th-228 ; 19 ; 7
326.04 ; 0.20 ; 0.035 ; 0.006 ; g ; Th-228 ; 42 ; 27
328.004 ; 0.007 ; 3.04 ; 0.11 ; g ; Th-228 ; 3 ; 0
332.371 ; 0.006 ; 0.37 ; 0.06 ; g ; Th-228 ; 6 ; 2
338.320 ; 0.005 ; 11.4 ; 0.4 ; g ; Th-228 ; 5 ; 1
340.969 ; 0.021 ; 0.405 ; 0.020 ; g ; Th-228 ; 27 ; 17
356.7 ; 0.3 ; 0.0178 ; 0.0021 ; g ; Th-228 ; 51 ; 31
372.59 ; 0.03 ; 0.0070 ; 0.0017 ; g ; Th-228 ; 55 ; 33
377.99 ; 0.10 ; 0.026 ; 0.003 ; g ; Th-228 ; 29 ; 19
384.47 ; 0.09 ; 0.0070 ; 0.0017 ; g ; Th-228 ; 57 ; 33
389.32 ; 0.13 ; 0.0108 ; 0.0017 ; g ; Th-228 ; 49 ; 30
397.95 ; 0.10 ; 0.029 ; 0.003 ; g ; Th-228 ; 50 ; 30
399.83 ; 0.14 ; 0.031 ; 0.004 ; g ; Th-228 ; 41 ; 25
409.460 ; 0.013 ; 2.02 ; 0.06 ; g ; Th-228 ; 27 ; 15
415.96 ; 0.14 ; 0.0138 ; 0.0023 ; g ; Th-228 ; 30 ; 18
419.38 ; 0.07 ; 0.022 ; 0.003 ; g ; Th-228 ; 35 ; 23
440.450 ; 0.024 ; 0.128 ; 0.010 ; g ; Th-228 ; 29 ; 17
449.11 ; 0.06 ; 0.050 ; 0.006 ; g ; Th-228 ; 11 ; 6
452.50 ; 0.06 ; 0.0199 ; 0.0019 ; g ; Th-228 ; 27 ; 13
457.18 ; 0.15 ; 0.016 ; 0.003 ; g ; Th-228 ; 37 ; 23
463.002 ; 0.006 ; 4.45 ; 0.24 ; g ; Th-228 ; 27 ; 12
470.21 ; 0.20 ; 0.014 ; 0.003 ; g ; Th-228 ; 33 ; 20
471.77 ; 0.15 ; 0.034 ; 0.004 ; g ; Th-228 ; 26 ; 10
474.79 ; 0.10 ; 0.023 ; 0.004 ; g ; Th-228 ; 34 ; 20
478.40 ; 0.05 ; 0.224 ; 0.019 ; g ; Th-228 ; 8 ; 5
490.33 ; 0.15 ; 0.0116 ; 0.0025 ; g ; Th-228 ; 48 ; 26
492.29 ; 0.08 ; 0.025 ; 0.003 ; g ; Th-228 ; 35 ; 19
497.64 ; 0.10 ; 0.0062 ; 0.0019 ; g ; Th-228 ; 39 ; 23
503.819 ; 0.023 ; 0.171 ; 0.019 ; g ; Th-228 ; 7 ; 3
508.955 ; 0.013 ; 0.51 ; 0.04 ; g ; Th-228 ; 29 ; 15
515.12 ; 0.07 ; 0.051 ; 0.006 ; g ; Th-228 ; 33 ; 18
520.16 ; 0.03 ; 0.070 ; 0.007 ; g ; Th-228 ; 34 ; 18
523.129 ; 0.022 ; 0.129 ; 0.010 ; g ; Th-228 ; 35 ; 18
540.67 ; 0.05 ; 0.027 ; 0.003 ; g ; Th-228 ; 16 ; 6
546.445 ; 0.021 ; 0.199 ; 0.016 ; g ; Th-228 ; 8 ; 3
548.73 ; 0.11 ; 0.024 ; 0.004 ; g ; Th-228 ; 39 ; 22
555.07 ; 0.16 ; 0.048 ; 0.006 ; g ; Th-228 ; 35 ; 17
562.496 ; 0.007 ; 0.89 ; 0.04 ; g ; Th-228 ; 29 ; 12
570.88 ; 0.04 ; 0.19 ; 0.05 ; g ; Th-228 ; 39 ; 19
572.10 ; 0.05 ; 0.156 ; 0.018 ; g ; Th-228 ; 11 ; 5
583.391 ; 0.010 ; 0.120 ; 0.011 ; g ; Th-228 ; 13 ; 5
610.65 ; 0.10 ; 0.024 ; 0.005 ; g ; Th-228 ; 9 ; 3
616.21 ; 0.03 ; 0.084 ; 0.007 ; g ; Th-228 ; 10 ; 3
620.32 ; 0.07 ; 0.084 ; 0.007 ; g ; Th-228 ; 14 ; 5
623.48 ; 0.22 ; 0.012 ; 0.003 ; g ; Th-228 ; 35 ; 15
626.80 ; 0.22 ; 0.015 ; 0.003 ; g ; Th-228 ; 34 ; 14
629.41 ; 0.05 ; 0.047 ; 0.005 ; g ; Th-228 ; 35 ; 14
640.32 ; 0.04 ; 0.057 ; 0.006 ; g ; Th-228 ; 11 ; 3
649.02 ; 0.12 ; 0.0418 ; 0.0037 ; g ; Th-228 ;  ; 
651.53 ; 0.03 ; 0.094 ; 0.010 ; g ; Th-228 ; 13 ; 3
660.1 ; 0.3 ; 0.0054 ; 0.0003 ; g ; Th-228 ; 36 ; 15
663.88 ; 0.08 ; 0.029 ; 0.006 ; g ; Th-228 ; 16 ; 5
666.45 ; 0.05 ; 0.065 ; 0.006 ; g ; Th-228 ;  ; 
671.95 ; 0.08 ; 0.027 ; 0.008 ; g ; Th-228 ; 38 ; 14
674.63 ; 0.04 ; 0.105 ; 0.010 ; g ; Th-228 ; 34 ; 12
677.08 ; 0.10 ; 0.065 ; 0.006 ; g ; Th-228 ; 35 ; 12
688.12 ; 0.04 ; 0.070 ; 0.007 ; g ; Th-228 ; 14 ; 3
698.99 ; 0.10 ; 0.038 ; 0.006 ; g ; Th-228 ; 34 ; 10
701.742 ; 0.015 ; 0.181 ; 0.015 ; g ; Th-228 ; 39 ; 15
707.42 ; 0.05 ; 0.162 ; 0.018 ; g ; Th-228 ; 23 ; 6
718.30 ; 0.03 ; 0.019 ; 0.004 ; g ; Th-228 ; 51 ; 23
726.88 ; 0.10 ; 0.68 ; 0.08 ; g ; Th-228 ; 18 ; 5
737.74 ; 0.05 ; 0.039 ; 0.005 ; g ; Th-228 ; 43 ; 15
755.313 ; 0.009 ; 1.03 ; 0.04 ; g ; Th-228 ; 39 ; 12
772.291 ; 0.007 ; 1.52 ; 0.06 ; g ; Th-228 ; 20 ; 5
774.07 ; 0.10 ; 0.062 ; 0.004 ; g ; Th-228 ; 7 ; 1
776.51 ; 0.03 ; 0.020 ; 0.006 ; g ; Th-228 ; 51 ; 20
782.140 ; 0.006 ; 0.50 ; 0.04 ; g ; Th-228 ; 12 ; 2
791.43 ; 0.09 ; 0.024 ; 0.005 ; g ; Th-228 ;  ; 
792.69 ; 0.10 ; 0.081 ; 0.005 ; g ; Th-228 ; 13 ; 2
794.942 ; 0.014 ; 4.31 ; 0.14 ; g ; Th-228 ; 18 ; 3
813.88 ; 0.10 ; 0.0073 ; 0.0017 ; g ; Th-228 ; 38 ; 8
816.82 ; 0.10 ; 0.031 ; 0.004 ; g ; Th-228 ; 8 ; 1
824.931 ; 0.025 ; 0.053 ; 0.006 ; g ; Th-228 ; 25 ; 6
830.481 ; 0.008 ; 0.61 ; 0.06 ; g ; Th-228 ; 23 ; 5
835.704 ; 0.008 ; 1.70 ; 0.07 ; g ; Th-228 ; 15 ; 2
840.372 ; 0.009 ; 0.97 ; 0.04 ; g ; Th-228 ; 20 ; 3
853.96 ; 0.08 ; 0.0124 ; 0.0020 ; g ; Th-228 ; 51 ; 17
870.47 ; 0.07 ; 0.046 ; 0.005 ; g ; Th-228 ; 46 ; 15
873.10 ; 0.15 ; 0.032 ; 0.007 ; g ; Th-228 ; 16 ; 2
874.45 ; 0.08 ; 0.050 ; 0.011 ; g ; Th-228 ; 8 ; 0
877.38 ; 0.07 ; 0.014 ; 0.003 ; g ; Th-228 ; 47 ; 15
880.76 ; 0.10 ; 0.0065 ; 0.0019 ; g ; Th-228 ; 9 ; 1
887.26 ; 0.10 ; 0.029 ; 0.003 ; g ; Th-228 ; 55 ; 18
901.38 ; 0.03 ; 0.017 ; 0.004 ; g ; Th-228 ; 24 ; 5
904.20 ; 0.05 ; 0.78 ; 0.04 ; g ; Th-228 ; 17 ; 2
911.196 ; 0.006 ; 26.2 ; 0.8 ; g ; Th-228 ; 12 ; 1
919.03 ; 0.12 ; 0.028 ; 0.003 ; g ; Th-228 ; 55 ; 17
921.87 ; 0.12 ; 0.0154 ; 0.0023 ; g ; Th-228 ; 13 ; 1
930.99 ; 0.07 ; 0.0065 ; 0.0025 ; g ; Th-228 ;  ; 
939.89 ; 0.15 ; 0.009 ; 0.003 ; g ; Th-228 ; 58 ; 17
944.19 ; 0.03 ; 0.10 ; 0.01 ; g ; Th-228 ; 10 ; 0
947.976 ; 0.024 ; 0.111 ; 0.010 ; g ; Th-228 ; 25 ; 5
958.59 ; 0.04 ; 0.29 ; 0.05 ; g ; Th-228 ; 14 ; 1
964.786 ; 0.008 ; 4.99 ; 0.17 ; g ; Th-228 ; 15 ; 1
968.960 ; 0.009 ; 15.9 ; 0.5 ; g ; Th-228 ; 12 ; 0
975.98 ; 0.05 ; 0.052 ; 0.006 ; g ; Th-228 ; 51 ; 12
979.49 ; 0.10 ; 0.028 ; 0.003 ; g ; Th-228 ; 13 ; 0
987.87 ; 0.10 ; 0.14 ; 0.06 ; g ; Th-228 ; 21 ; 2
988.65 ; 0.20 ; 0.081 ; 0.014 ; g ; Th-228 ; 22 ; 2
1000.68 ; 0.10 ; 0.0054 ; 0.0003 ; g ; Th-228 ; 51 ; 10
1013.55 ; 0.13 ; 0.0097 ; 0.0016 ; g ; Th-228 ; 58 ; 14
1016.44 ; 0.10 ; 0.019 ; 0.003 ; g ; Th-228 ; 14 ; 0
1017.94 ; 0.20 ; 0.03 ; 0.03 ; g ; Th-228 ; 54 ; 12
1019.88 ; 0.10 ; 0.022 ; 0.005 ; g ; Th-228 ; 26 ; 5
1033.244 ; 0.023 ; 0.204 ; 0.012 ; g ; Th-228 ; 17 ; 1
1039.83 ; 0.07 ; 0.056 ; 0.018 ; g ; Th-228 ; 23 ; 2
1040.94 ; 0.15 ; 0.047 ; 0.010 ; g ; Th-228 ; 55 ; 12
1053.11 ; 0.20 ; 0.014 ; 0.004 ; g ; Th-228 ; 57 ; 12
1054.13 ; 0.20 ; 0.019 ; 0.006 ; g ; Th-228 ; 28 ; 5
1062.57 ; 0.15 ; 0.011 ; 0.004 ; g ; Th-228 ; 50 ; 8
1065.168 ; 0.015 ; 0.135 ; 0.008 ; g ; Th-228 ; 18 ; 1
1074.73 ; 0.15 ; 0.011 ; 0.004 ; g ; Th-228 ; 48 ; 7
1088.20 ; 0.15 ; 0.0062 ; 0.0014 ; g ; Th-228 ; 26 ; 3
1095.671 ; 0.023 ; 0.126 ; 0.010 ; g ; Th-228 ; 19 ; 1
1103.43 ; 0.10 ; 0.0102 ; 0.0011 ; g ; Th-228 ; 27 ; 3
1110.604 ; 0.009 ; 0.311 ; 0.022 ; g ; Th-228 ;  ; 
1117.65 ; 0.10 ; 0.061 ; 0.007 ; g ; Th-228 ; 22 ; 1
1135.26 ; 0.15 ; 0.0102 ; 0.0017 ; g ; Th-228 ; 29 ; 5
1142.87 ; 0.15 ; 0.0108 ; 0.0022 ; g ; Th-228 ; 30 ; 5
1148.17 ; 0.14 ; 0.0062 ; 0.0014 ; g ; Th-228 ; 57 ; 8
1153.27 ; 0.04 ; 0.148 ; 0.013 ; g ; Th-228 ; 19 ; 0
1157.16 ; 0.15 ; 0.0073 ; 0.0014 ; g ; Th-228 ; 25 ; 2
1164.55 ; 0.07 ; 0.067 ; 0.007 ; g ; Th-228 ; 37 ; 6
1175.33 ; 0.10 ; 0.025 ; 0.004 ; g ; Th-228 ; 22 ; 0
1190.83 ; 0.20 ; 0.0065 ; 0.0017 ; g ; Th-228 ; 57 ; 7
1217.03 ; 0.10 ; 0.022 ; 0.004 ; g ; Th-228 ; 40 ; 6
1229.42 ; 0.15 ; 0.0078 ; 0.0025 ; g ; Th-228 ; 26 ; 2
1245.15 ; 0.06 ; 0.110 ; 0.008 ; g ; Th-228 ; 27 ; 2
1247.10 ; 0.05 ; 0.524 ; 0.024 ; g ; Th-228 ; 34 ; 5
1250.06 ; 0.05 ; 0.065 ; 0.006 ; g ; Th-228 ; 35 ; 5
1276.72 ; 0.10 ; 0.015 ; 0.003 ; g ; Th-228 ; 44 ; 6
1286.29 ; 0.20 ; 0.052 ; 0.011 ; g ; Th-228 ; 25 ; 1
1287.77 ; 0.08 ; 0.109 ; 0.025 ; g ; Th-228 ; 37 ; 5
1309.76 ; 0.20 ; 0.020 ; 0.007 ; g ; Th-228 ; 33 ; 3
1315.33 ; 0.10 ; 0.015 ; 0.003 ; g ; Th-228 ; 34 ; 3
1344.62 ; 0.15 ; 0.0094 ; 0.0020 ; g ; Th-228 ; 29 ; 2
1347.50 ; 0.15 ; 0.016 ; 0.004 ; g ; Th-228 ; 41 ; 5
1357.81 ; 0.15 ; 0.021 ; 0.005 ; g ; Th-228 ; 40 ; 4
1365.71 ; 0.12 ; 0.014 ; 0.003 ; g ; Th-228 ; 41 ; 4
1374.24 ; 0.07 ; 0.0196 ; 0.0014 ; g ; Th-228 ; 27 ; 1
1401.52 ; 0.10 ; 0.013 ; 0.003 ; g ; Th-228 ; 45 ; 5
1415.55 ; 0.14 ; 0.022 ; 0.005 ; g ; Th-228 ; 41 ; 3
1430.99 ; 0.10 ; 0.037 ; 0.008 ; g ; Th-228 ; 32 ; 2
1451.43 ; 0.15 ; 0.0111 ; 0.0022 ; g ; Th-228 ; 28 ; 0
1459.131 ; 0.022 ; 0.87 ; 0.05 ; g ; Th-228 ; 35 ; 2
1469.74 ; 0.15 ; 0.021 ; 0.005 ; g ; Th-228 ; 45 ; 3
1495.904 ; 0.016 ; 0.92 ; 0.03 ; g ; Th-228 ; 36 ; 2
1501.59 ; 0.05 ; 0.513 ; 0.017 ; g ; Th-228 ; 38 ; 2
1537.89 ; 0.10 ; 0.049 ; 0.006 ; g ; Th-228 ; 39 ; 2
1548.65 ; 0.06 ; 0.040 ; 0.005 ; g ; Th-228 ; 40 ; 2
1557.13 ; 0.07 ; 0.173 ; 0.009 ; g ; Th-228 ; 41 ; 2
1560.02 ; 0.07 ; 0.021 ; 0.005 ; g ; Th-228 ; 32 ; 1
1571.55 ; 0.20 ; 0.0059 ; 0.0017 ; g ; Th-228 ; 42 ; 2
1573.389 ; 0.024 ; 0.034 ; 0.004 ; g ; Th-228 ; 43 ; 2
1580.531 ; 0.025 ; 0.62 ; 0.04 ; g ; Th-228 ; 33 ; 1
1588.200 ; 0.025 ; 3.06 ; 0.12 ; g ; Th-228 ; 35 ; 1
1609.44 ; 0.15 ; 0.0081 ; 0.0017 ; g ; Th-228 ; 54 ; 4
1625.09 ; 0.04 ; 0.270 ; 0.023 ; g ; Th-228 ; 36 ; 1
1630.618 ; 0.020 ; 1.52 ; 0.06 ; g ; Th-228 ; 38 ; 1
1638.272 ; 0.023 ; 0.46 ; 0.03 ; g ; Th-228 ; 33 ; 0
1666.514 ; 0.013 ; 0.173 ; 0.009 ; g ; Th-228 ; 39 ; 1
1677.66 ; 0.06 ; 0.057 ; 0.006 ; g ; Th-228 ; 40 ; 1
1686.22 ; 0.11 ; 0.094 ; 0.007 ; g ; Th-228 ; 41 ; 1
1700.62 ; 0.20 ; 0.0105 ; 0.0025 ; g ; Th-228 ; 42 ; 1
1702.40 ; 0.08 ; 0.055 ; 0.007 ; g ; Th-228 ; 43 ; 1
1706.17 ; 0.07 ; 0.0089 ; 0.0012 ; g ; Th-228 ; 46 ; 2
1713.49 ; 0.20 ; 0.0057 ; 0.0011 ; g ; Th-228 ; 47 ; 2
