Nuclide ; Ag-110m 
Element ; Silver
Z ; 47
Daughter(s) ; (I.T.) ; Ag-110 ; 1.36 ; (B-) ; Cd-110 ; 98.64
QIT ; 117.59 ; Q- ; 3009.8
Half-life (d) ; 249.78 ; 0.02
Half-life (s) ; 21.5810E6 ; 0.0017E6
Decay constant (1/s) ; 32.1184E-9 ; 0.0026E-9
Specific activity (Bq/g) ; 175.838E12 ; 0.014E12
Reference ; INEEL - 2002
Emissions (74 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
21.9906 ;  ; 0.198 ; 0.012 ; XKa2 ; Ag-110 ;  ; 
22.16317 ;  ; 0.372 ; 0.022 ; XKa1 ; Ag-110 ;  ; 
22.9843 ;  ; 0.153 ; 0.009 ; XKa2 ; Cd-110 ;  ; 
23.1738 ;  ; 0.288 ; 0.016 ; XKa1 ; Cd-110 ;  ; 
25.0002 ;  ; 0.103 ; 0.007 ; XK'b1 ; Ag-110 ;  ; 
25.4843 ;  ; 0.0179 ; 0.0012 ; XK'b2 ; Ag-110 ;  ; 
26.1538 ;  ; 0.080 ; 0.005 ; XK'b1 ; Cd-110 ;  ; 
26.673 ;  ; 0.0146 ; 0.0009 ; XK'b2 ; Cd-110 ;  ; 
116.48 ; 0.05 ; 0.0080 ; 0.0003 ; g ; Ag-110 ; 2 ; 1
120.23 ; 0.03 ; 0.0169 ; 0.0009 ; g ; Cd-110 ; 15 ; 13
133.333 ; 0.007 ; 0.0736 ; 0.0016 ; g ; Cd-110 ; 22 ; 19
219.348 ; 0.008 ; 0.072 ; 0.005 ; g ; Cd-110 ; 22 ; 18
221.079 ; 0.010 ; 0.068 ; 0.010 ; g ; Cd-110 ; 22 ; 17
229.423 ; 0.023 ; 0.0119 ; 0.0014 ; g ; Cd-110 ; 12 ; 8
264.25 ; 0.06 ; 0.0060 ; 0.0006 ; g ; Cd-110 ; -1 ; 1
266.913 ; 0.012 ; 0.041 ; 0.004 ; g ; Cd-110 ; 22 ; 15
341.3 ; 0.2 ; 0.0022 ; 0.0005 ; g ; Cd-110 ; 14 ; 7
356.43 ; 0.10 ; 0.00425 ; 0.00030 ; g ; Cd-110 ; -1 ; 2
360.23 ; 0.08 ; 0.008 ; 0.005 ; g ; Cd-110 ; 19 ; 11
365.448 ; 0.010 ; 0.092 ; 0.005 ; g ; Cd-110 ; 22 ; 14
