Nuclide ; Am-241 
Element ; Americium
Z ; 95
Daughter(s) ; (alpha) ; Np-237 ; 100
Qalpha ; 5637.82
Possible parent(s) ; (B-) ; Pu-241 ; 99.99756
Half-life (a) ; 432.6 ; 0.6
Half-life (s) ; 13.652E9 ; 0.019E9
Decay constant (1/s) ; 50.77E-12 ; 0.07E-12
Specific activity (Bq/g) ; 126.88E9 ; 0.18E9
Reference ; KRI - 2009
Emissions (211 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
11.89 ;  ; 0.844 ; 0.009 ; XLl ; Np-237 ;  ; 
13.852 ;  ; 13.02 ; 0.10 ; XLa ; Np-237 ;  ; 
15.876 ;  ; 0.384 ; 0.020 ; XLh ; Np-237 ;  ; 
16.96 ;  ; 18.58 ; 0.13 ; XLb ; Np-237 ;  ; 
21.16 ;  ; 4.83 ; 0.03 ; XLg ; Np-237 ;  ; 
26.3446 ; 0.0002 ; 2.31 ; 0.08 ; g ; Np-237 ; 2 ; 1
32.183 ;  ; 0.0174 ; 0.0004 ; g ; Np-237 ; -1 ; 1
33.1963 ; 0.0003 ; 0.1215 ; 0.0028 ; g ; Np-237 ; 1 ; 0
42.704 ; 0.005 ; 0.0055 ; 0.0011 ; g ; Np-237 ; 3 ; 1
43.420 ; 0.003 ; 0.0669 ; 0.0029 ; g ; Np-237 ; 4 ; 2
51.01 ; 0.03 ; 0.000026 ; 0.000012 ; g ; Np-237 ; 14 ; 10
55.56 ; 0.02 ; 0.0181 ; 0.0018 ; g ; Np-237 ; 6 ; 4
57.85 ; 0.05 ; 0.0052 ; 0.0015 ; g ; Np-237 ; -1 ; 2
59.5409 ; 0.0001 ; 35.92 ; 0.17 ; g ; Np-237 ; 2 ; 0
64.83 ; 0.02 ; 0.00014 ; 0.00002 ; g ; Np-237 ; 14 ; 9
67.50 ; 0.02 ; 0.00042 ; 0.00010 ; g ; Np-237 ; 8 ; 6
69.76 ; 0.03 ; 0.0029 ; 0.0004 ; g ; Np-237 ; 4 ; 1
75.90 ; 0.01 ; 0.0006 ;  ; g ; Np-237 ; 3 ; 0
96.79 ; 0.03 ; 0.000047 ; 0.000016 ; g ; Np-237 ; 5 ; 1
97.069 ;  ; 0.001134 ; 0.000030 ; XKa2 ; Np-237 ;  ; 
98.97 ; 0.02 ; 0.0203 ; 0.0004 ; g ; Np-237 ; 6 ; 2
101.059 ;  ; 0.00181 ; 0.00005 ; XKa1 ; Np-237 ;  ; 
102.98 ; 0.02 ; 0.0195 ; 0.0004 ; g ; Np-237 ; 4 ; 0
106.42 ; 0.05 ; 0.000015 ;  ; g ; Np-237 ; -1 ; 3
109.70 ; 0.07 ; 0.0000049 ;  ; g ; Np-237 ; 20 ; 13
114.1497 ;  ; 0.000658 ; 0.000021 ; XK'b1 ; Np-237 ;  ; 
117.9227 ;  ; 0.000226 ; 0.000008 ; XK'b2 ; Np-237 ;  ; 
120.36 ; 0.08 ; 0.0000045 ;  ; g ; Np-237 ; 21 ; 13
123.05 ; 0.01 ; 0.00100 ; 0.00004 ; g ; Np-237 ; 8 ; 4
125.30 ; 0.02 ; 0.0041 ; 0.0002 ; g ; Np-237 ; 6 ; 1
139.44 ; 0.08 ; 0.0000053 ; 0.0000011 ; g ; Np-237 ; 29 ; 22
146.55 ; 0.03 ; 0.00046 ; 0.00001 ; g ; Np-237 ; 11 ; 6
150.04 ; 0.03 ; 0.000073 ; 0.000005 ; g ; Np-237 ; 8 ; 3
154.27 ; 0.20 ; 0.0000005 ;  ; g ; Np-237 ; 26 ; 15
159.26 ; 0.20 ; 0.0000014 ; 0.0000005 ; g ; Np-237 ; 29 ; 20
161.54 ; 0.10 ; 0.0000015 ;  ; g ; Np-237 ; 24 ; 13
164.61 ; 0.02 ; 0.000066 ; 0.000003 ; g ; Np-237 ; 9 ; 4
165.81 ; 0.06 ; 0.000023 ; 0.000001 ; g ; Np-237 ; 13 ; 6
169.56 ; 0.03 ; 0.00017 ; 0.00001 ; g ; Np-237 ; 18 ; 8
