Nuclide ; Am-242m 
Element ; Americium
Z ; 95
Daughter(s) ; (I.T.) ; Am-242 ; 99.54 ; (alpha) ; Np-238 ; 0.46
QIT ; 48.6 ; Qalpha ; 5637.1
Half-life (a) ; 143 ; 2
Half-life (s) ; 4.51E9 ; 0.06E9
Decay constant (1/s) ; 153.6E-12 ; 2.1E-12
Specific activity (Bq/g) ; 382E9 ; 5E9
Reference ; IAEA - 2010
Emissions (93 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
16.681 ;  ; 0.37 ; 0.04 ; XL ; Np-238 ;  ; 
17.6065 ;  ; 25.0 ; 1.1 ; XL ; Am-242 ;  ; 
24.34 ; 0.01 ; 0.000064 ; 0.000009 ; g ; Np-238 ; 3 ; 2
26.427 ; 0.002 ; 0.000708 ;  ; g ; Np-238 ; 1 ; 0
32.64 ; 0.01 ; 0.000019 ; 0.000003 ; g ; Np-238 ; 11 ; 10
43.11 ; 0.01 ; 0.000064 ; 0.000014 ; g ; Np-238 ; 9 ; 6
43.33 ; 0.01 ; 0.0000087 ; 0.0000014 ; g ; Np-238 ; 19 ; 11
46.833 ; 0.003 ; 0.0000074 ; 0.0000014 ; g ; Np-238 ; 10 ; 6
48.60 ; 0.05 ; 0.0001414 ; 0.0000022 ; g ; Am-242 ; 1 ; 0
49.371 ; 0.003 ; 0.134 ; 0.004 ; g ; Np-238 ; 6 ; 3
53.67 ; 0.01 ; 0.0021 ; 0.0003 ; g ; Np-238 ; 14 ; 9
53.85 ; 0.02 ; 0.0000028 ; 0.0000014 ; g ; Np-238 ; 30 ; 19
57.51 ; 0.01 ; 0.00097 ; 0.00023 ; g ; Np-238 ; 9 ; 5
60.247 ; 0.003 ; 0.0055 ; 0.0005 ; g ; Np-238 ; 3 ; 1
66.92 ; 0.01 ; 0.0150 ; 0.0005 ; g ; Np-238 ; 36 ; 20
67.92 ; 0.02 ; 0.0040 ; 0.0003 ; g ; Np-238 ; 28 ; 14
73.72 ; 0.01 ; 0.0079 ; 0.0006 ; g ; Np-238 ; 6 ; 2
75.98 ; 0.01 ; 0.0000097 ; 0.0000014 ; g ; Np-238 ; 19 ; 10
79.48 ; 0.01 ; 0.000124 ; 0.000023 ; g ; Np-238 ; 11 ; 6
