Nuclide ; Am-243 
Element ; Americium
Z ; 95
Daughter(s) ; (alpha) ; Np-239 ; 100
Qalpha ; 5438.8
Possible parent(s) ; (B+, EC) ; Cm-243 ; 0.29 ; (B-) ; Pu-243 ; 100
Half-life (a) ; 7.367E3 ; 0.023E3
Half-life (s) ; 232.5E9 ; 0.7E9
Decay constant (1/s) ; 2.982E-12 ; 0.009E-12
Specific activity (Bq/g) ; 7.389E9 ; 0.023E9
Reference ; LBNL, CEA/LNE-LNHB, INEEL - 2009
Intensity threshold ; 1%
Emissions (142 lines out of 1393) sorted by nuclide and by increasing energy
----------------------------------------------------- Am-243 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
16.681 ;  ; 18.9 ; 0.7 ; XL ; Np ;  ;  ; Am-243
43.53 ; 0.02 ; 5.89 ; 0.10 ; g ; Np-239 ; 3 ; 1 ; Am-243
74.66 ; 0.02 ; 67.2 ; 1.2 ; g ; Np-239 ; 3 ; 0 ; Am-243
5181 ; 1 ; 1.383 ; 0.007 ; a ; Am-243 ; 0 ; 6 ; Am-243
5233.3 ; 1.0 ; 11.46 ; 0.05 ; a ; Am-243 ; 0 ; 4 ; Am-243
5275.3 ; 1.0 ; 86.74 ; 0.05 ; a ; Am-243 ; 0 ; 3 ; Am-243
----------------------------------------------------- Np-239 -----------------------------------------------------
17.0545 ;  ; 51.3 ; 2.4 ; XL ; Pu ;  ;  ; Np-239
61.460 ; 0.002 ; 1.29 ; 0.02 ; g ; Pu-239 ; 8 ; 6 ; Np-239
99.525 ;  ; 13.5 ; 0.4 ; XKa2 ; Pu ;  ;  ; Np-239
103.734 ;  ; 21.4 ; 0.6 ; XKa1 ; Pu ;  ;  ; Np-239
106.125 ; 0.002 ; 25.9 ; 0.3 ; g ; Pu-239 ; 8 ; 5 ; Np-239
117.13 ;  ; 7.84 ; 0.25 ; XK'b1 ; Pu ;  ;  ; Np-239
121.0173 ;  ; 2.72 ; 0.10 ; XK'b2 ; Pu ;  ;  ; Np-239
209.753 ; 0.002 ; 3.42 ; 0.03 ; g ; Pu-239 ; 5 ; 3 ; Np-239
228.183 ; 0.001 ; 11.32 ; 0.22 ; g ; Pu-239 ; 5 ; 2 ; Np-239
277.599 ; 0.001 ; 14.4 ; 0.1 ; g ; Pu-239 ; 5 ; 1 ; Np-239
315.880 ; 0.003 ; 1.59 ; 0.01 ; g ; Pu-239 ; 8 ; 3 ; Np-239
334.310 ; 0.003 ; 2.04 ; 0.02 ; g ; Pu-239 ; 8 ; 2 ; Np-239
----------------------------------------------------- Pu-239 -----------------------------------------------------
16.1665 ;  ; 4.66 ; 0.05 ; XL ; U ;  ;  ; Pu-239
5105.81 ; 0.21 ; 11.87 ; 0.03 ; a ; Pu-239 ; 0 ; 4 ; Pu-239
5143.82 ; 0.21 ; 17.14 ; 0.04 ; a ; Pu-239 ; 0 ; 2 ; Pu-239
5156.59 ; 0.14 ; 70.79 ; 0.10 ; a ; Pu-239 ; 0 ; 1 ; Pu-239
------------------------------------------------------ U-235 -----------------------------------------------------
