Nuclide ; Am-245 
Element ; Americium
Z ; 95
Daughter(s) ; (B-) ; Cm-245 ; 100
Q- ; 894.1
Half-life (h) ; 2.05 ; 0.01
Half-life (s) ; 7.380E3 ; 0.036E3
Decay constant (1/s) ; 93.92E-6 ; 0.46E-6
Specific activity (Bq/g) ; 230.9E15 ; 1.1E15
Reference ; NDS 67 - 1999
Gamma emissions (733 lines) sorted by nuclide and by increasing energy
----------------------------------------------------- Am-245 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
42.88 ; 0.20 ; 0.06 ; 0.06 ; g ; Cm-245 ; -1 ; 0 ; Am-245
60 ;  ; 0.0088 ; 0.0011 ; g ; Cm-245 ; -1 ; 1 ; Am-245
198.0 ; 0.1 ; 0.033 ; 0.004 ; g ; Cm-245 ; -1 ; 2 ; Am-245
240.84 ; 0.07 ; 0.34 ; 0.08 ; g ; Cm-245 ; -1 ; 3 ; Am-245
252.72 ; 0.07 ; 6.1 ; 0.6 ; g ; Cm-245 ; -1 ; 4 ; Am-245
295.60 ; 0.15 ; 0.22 ; 0.07 ; g ; Cm-245 ; -1 ; 5 ; Am-245
----------------------------------------------------- Cm-245 -----------------------------------------------------
41.972 ; 0.001 ; 0.369 ; 0.020 ; g ; Pu-241 ; 1 ; 0 ; Cm-245
53.807 ; 0.001 ; 0.073 ; 0.004 ; g ; Pu-241 ; 2 ; 1 ; Cm-245
56.89 ; 0.03 ; 0.0359 ; 0.0021 ; g ; Pu-241 ; 6 ; 5 ; Cm-245
65.535 ; 0.003 ; 0.018 ; 0.002 ; g ; Pu-241 ; 3 ; 2 ; Cm-245
69.237 ; 0.018 ; 0.007 ; 0.003 ; g ; Pu-241 ; 7 ; 6 ; Cm-245
79.2728 ; 0.0018 ; 0.120 ; 0.007 ; g ; Pu-241 ; 5 ; 2 ; Cm-245
95.7795 ; 0.0012 ; 0.0109 ; 0.0023 ; g ; Pu-241 ; 2 ; 0 ; Cm-245
126.09 ; 0.04 ; 0.007 ; 0.002 ; g ; Pu-241 ; 7 ; 5 ; Cm-245
133.081 ; 0.002 ; 2.81 ; 0.07 ; g ; Pu-241 ; 5 ; 1 ; Cm-245
136.156 ; 0.009 ; 0.113 ; 0.004 ; g ; Pu-241 ; 6 ; 2 ; Cm-245
139.858 ; 0.016 ; 0.008 ; 0.001 ; g ; Pu-241 ; 7 ; 3 ; Cm-245
161.685 ; 0.001 ; 0.071 ; 0.003 ; g ; Pu-241 ; 4 ; 0 ; Cm-245
175.0523 ; 0.0014 ; 9.83 ; 0.22 ; g ; Pu-241 ; 5 ; 0 ; Cm-245
189.965 ; 0.010 ; 0.204 ; 0.006 ; g ; Pu-241 ; 6 ; 1 ; Cm-245
205.393 ; 0.016 ; 0.009 ; 0.001 ; g ; Pu-241 ; 7 ; 2 ; Cm-245
231.935 ; 0.009 ; 0.0117 ; 0.0018 ; g ; Pu-241 ; 6 ; 0 ; Cm-245
388.16 ; 0.05 ; 0.019 ; 0.001 ; g ; Pu-241 ; -1 ; 1 ; Cm-245
----------------------------------------------------- Pu-241 -----------------------------------------------------
44.18 ; 0.03 ; 0.0000042 ; 0.0000002 ; g ; U-237 ; 5 ; 4 ; Pu-241
44.86 ; 0.10 ; 0.00000084 ; 0.00000010 ; g ; U-237 ; 2 ; 1 ; Pu-241
56.30 ; 0.12 ; 0.0000025 ; 0.0000002 ; g ; U-237 ; 2 ; 0 ; Pu-241
56.76 ; 0.10 ; 0.0000010 ; 0.0000001 ; g ; U-237 ; 6 ; 5 ; Pu-241
71.64 ; 0.09 ; 0.0000029 ; 0.0000002 ; g ; U-237 ; 3 ; 1 ; Pu-241
77.01 ; 0.04 ; 0.0000207 ; 0.0000004 ; g ; U-237 ; 4 ; 3 ; Pu-241
100.94 ; 0.11 ; 0.000000072 ;  ; g ; U-237 ; 6 ; 4 ; Pu-241
103.680 ; 0.005 ; 0.000103 ; 0.000002 ; g ; U-237 ; 4 ; 2 ; Pu-241
114 ; 1 ; 0.0000062 ; 0.0000012 ; g ; U-237 ; 7 ; 4 ; Pu-241
121.22 ; 0.05 ; 0.00000070 ; 0.00000007 ; g ; U-237 ; 5 ; 3 ; Pu-241
148.567 ; 0.010 ; 0.0001863 ; 0.0000008 ; g ; U-237 ; 4 ; 1 ; Pu-241
159.96 ; 0.02 ; 0.00000645 ; 0.00000009 ; g ; U-237 ; 4 ; 0 ; Pu-241
----------------------------------------------------- Am-241 -----------------------------------------------------
26.3446 ; 0.0002 ; 2.31 ; 0.08 ; g ; Np-237 ; 2 ; 1 ; Am-241
32.183 ;  ; 0.0174 ; 0.0004 ; g ; Np-237 ; -1 ; 1 ; Am-241
33.1963 ; 0.0003 ; 0.1215 ; 0.0028 ; g ; Np-237 ; 1 ; 0 ; Am-241
42.704 ; 0.005 ; 0.0055 ; 0.0011 ; g ; Np-237 ; 3 ; 1 ; Am-241
43.420 ; 0.003 ; 0.0669 ; 0.0029 ; g ; Np-237 ; 4 ; 2 ; Am-241
51.01 ; 0.03 ; 0.000026 ; 0.000012 ; g ; Np-237 ; 14 ; 10 ; Am-241
55.56 ; 0.02 ; 0.0181 ; 0.0018 ; g ; Np-237 ; 6 ; 4 ; Am-241
57.85 ; 0.05 ; 0.0052 ; 0.0015 ; g ; Np-237 ; -1 ; 2 ; Am-241
59.5409 ; 0.0001 ; 35.92 ; 0.17 ; g ; Np-237 ; 2 ; 0 ; Am-241
64.83 ; 0.02 ; 0.00014 ; 0.00002 ; g ; Np-237 ; 14 ; 9 ; Am-241
67.50 ; 0.02 ; 0.00042 ; 0.00010 ; g ; Np-237 ; 8 ; 6 ; Am-241
69.76 ; 0.03 ; 0.0029 ; 0.0004 ; g ; Np-237 ; 4 ; 1 ; Am-241
75.90 ; 0.01 ; 0.0006 ;  ; g ; Np-237 ; 3 ; 0 ; Am-241
96.79 ; 0.03 ; 0.000047 ; 0.000016 ; g ; Np-237 ; 5 ; 1 ; Am-241
98.97 ; 0.02 ; 0.0203 ; 0.0004 ; g ; Np-237 ; 6 ; 2 ; Am-241
102.98 ; 0.02 ; 0.0195 ; 0.0004 ; g ; Np-237 ; 4 ; 0 ; Am-241
106.42 ; 0.05 ; 0.000015 ;  ; g ; Np-237 ; -1 ; 3 ; Am-241
109.70 ; 0.07 ; 0.0000049 ;  ; g ; Np-237 ; 20 ; 13 ; Am-241
120.36 ; 0.08 ; 0.0000045 ;  ; g ; Np-237 ; 21 ; 13 ; Am-241
123.05 ; 0.01 ; 0.00100 ; 0.00004 ; g ; Np-237 ; 8 ; 4 ; Am-241
125.30 ; 0.02 ; 0.0041 ; 0.0002 ; g ; Np-237 ; 6 ; 1 ; Am-241
139.44 ; 0.08 ; 0.0000053 ; 0.0000011 ; g ; Np-237 ; 29 ; 22 ; Am-241
146.55 ; 0.03 ; 0.00046 ; 0.00001 ; g ; Np-237 ; 11 ; 6 ; Am-241
150.04 ; 0.03 ; 0.000073 ; 0.000005 ; g ; Np-237 ; 8 ; 3 ; Am-241
154.27 ; 0.20 ; 0.0000005 ;  ; g ; Np-237 ; 26 ; 15 ; Am-241
159.26 ; 0.20 ; 0.0000014 ; 0.0000005 ; g ; Np-237 ; 29 ; 20 ; Am-241
161.54 ; 0.10 ; 0.0000015 ;  ; g ; Np-237 ; 24 ; 13 ; Am-241
164.61 ; 0.02 ; 0.000066 ; 0.000003 ; g ; Np-237 ; 9 ; 4 ; Am-241
165.81 ; 0.06 ; 0.000023 ; 0.000001 ; g ; Np-237 ; 13 ; 6 ; Am-241
169.56 ; 0.03 ; 0.00017 ; 0.00001 ; g ; Np-237 ; 18 ; 8 ; Am-241
175.07 ; 0.04 ; 0.000018 ; 0.000003 ; g ; Np-237 ; 11 ; 5 ; Am-241
190.4 ;  ; 0.0000022 ; 0.0000005 ; g ; Np-237 ; -1 ; 7 ; Am-241
191.96 ; 0.04 ; 0.0000215 ; 0.0000010 ; g ; Np-237 ; 25 ; 11 ; Am-241
196.76 ; 0.08 ; 0.00000049 ;  ; g ; Np-237 ; 29 ; 18 ; Am-241
201.70 ; 0.14 ; 0.0000008 ;  ; g ; Np-237 ; -1 ; 8 ; Am-241
204.06 ; 0.06 ; 0.00000206 ; 0.00000006 ; g ; Np-237 ; 18 ; 7 ; Am-241
208.005 ; 0.023 ; 0.000786 ; 0.000009 ; g ; Np-237 ; 9 ; 2 ; Am-241
221.46 ; 0.03 ; 0.0000434 ; 0.0000008 ; g ; Np-237 ; 13 ; 4 ; Am-241
232.81 ; 0.05 ; 0.00000482 ; 0.00000009 ; g ; Np-237 ; 26 ; 10 ; Am-241
234.40 ; 0.04 ; 0.00000087 ; 0.00000008 ; g ; Np-237 ; 9 ; 1 ; Am-241
246.73 ; 0.10 ; 0.00000244 ; 0.00000007 ; g ; Np-237 ; 26 ; 9 ; Am-241
248.52 ; 0.03 ; 0.00000146 ; 0.00000003 ; g ; Np-237 ; 13 ; 3 ; Am-241
261.00 ; 0.07 ; 0.00000129 ; 0.00000006 ; g ; Np-237 ; 22 ; 7 ; Am-241
264.88 ; 0.03 ; 0.00000943 ; 0.00000012 ; g ; Np-237 ; 13 ; 2 ; Am-241
267.54 ; 0.04 ; 0.0000268 ; 0.0000006 ; g ; Np-237 ; 9 ; 0 ; Am-241
270.63 ; 0.15 ; 0.0000005 ; 0.0000002 ; g ; Np-237 ; -1 ; 9 ; Am-241
271.54 ;  ; 0.00000144 ; 0.00000005 ; g ; Np-237 ; -1 ; 10 ; Am-241
275.77 ; 0.08 ; 0.00000632 ; 0.00000010 ; g ; Np-237 ; 20 ; 6 ; Am-241
