Nuclide ; Ba-133 
Element ; Barium
Z ; 56
Daughter(s) ; (EC) ; Cs-133 ; 100
Q+ ; 517.3
Half-life (a) ; 10.539 ; 0.006
Half-life (s) ; 332.58E6 ; 0.19E6
Decay constant (1/s) ; 2.0842E-9 ; 0.0012E-9
Specific activity (Bq/g) ; 9.437E12 ; 0.005E12
Reference ; KRI - 2015
Emissions (14 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
4.67355 ;  ; 15.87 ; 0.26 ; XL ; Cs-133 ;  ; 
30.6254 ;  ; 33.8 ; 0.4 ; XKa2 ; Cs-133 ;  ; 
30.9731 ;  ; 62.4 ; 0.7 ; XKa1 ; Cs-133 ;  ; 
35.053 ;  ; 18.24 ; 0.29 ; XK'b1 ; Cs-133 ;  ; 
35.9003 ;  ; 4.45 ; 0.12 ; XK'b2 ; Cs-133 ;  ; 
53.1622 ; 0.0018 ; 2.14 ; 0.06 ; g ; Cs-133 ; 4 ; 3
79.6142 ; 0.0019 ; 2.63 ; 0.19 ; g ; Cs-133 ; 2 ; 1
80.9979 ; 0.0011 ; 33.31 ; 0.30 ; g ; Cs-133 ; 1 ; 0
160.6121 ; 0.0016 ; 0.638 ; 0.006 ; g ; Cs-133 ; 2 ; 0
223.2368 ; 0.0013 ; 0.450 ; 0.005 ; g ; Cs-133 ; 3 ; 2
276.3989 ; 0.0012 ; 7.13 ; 0.06 ; g ; Cs-133 ; 4 ; 2
302.8508 ; 0.0005 ; 18.31 ; 0.11 ; g ; Cs-133 ; 3 ; 1
356.0129 ; 0.0007 ; 62.05 ; 0.19 ; g ; Cs-133 ; 4 ; 1
383.8485 ; 0.0012 ; 8.94 ; 0.06 ; g ; Cs-133 ; 3 ; 0
==========================================================================================================
