Nuclide ; Ba-141 
Element ; Barium
Z ; 56
Daughter(s) ; (B-) ; La-141 ; 100
Q- ; 3202
Half-life (min) ; 18.27 ; 0.07
Half-life (s) ; 1.0962E3 ; 0.0042E3
Decay constant (1/s) ; 632.3E-6 ; 2.4E-6
Specific activity (Bq/g) ; 2.701E18 ; 0.010E18
Reference ; NDS 45 & 63 - 1999
Emissions (199 lines) sorted by nuclide and by increasing energy
----------------------------------------------------- Ba-141 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
5.1855 ;  ; 1.1 ; 0.3 ; XL ; La ;  ;  ; Ba-141
33.0344 ;  ; 2.20 ; 0.15 ; XKa2 ; La ;  ;  ; Ba-141
33.4421 ;  ; 4.1 ; 0.3 ; XKa1 ; La ;  ;  ; Ba-141
37.8687 ;  ; 1.55 ; 0.11 ; XK'b1 ; La ;  ;  ; Ba-141
38.8228 ;  ; 0.39 ; 0.03 ; XK'b2 ; La ;  ;  ; Ba-141
67.8 ;  ; 0.0012 ; 0.0012 ; g ; La-141 ; -1 ; 0 ; Ba-141
112.8 ;  ; 1.01 ; 0.12 ; g ; La-141 ; -1 ; 1 ; Ba-141
113.9 ;  ; 0.106 ; 0.009 ; g ; La-141 ; -1 ; 2 ; Ba-141
163 ;  ; 0.29 ; 0.04 ; g ; La-141 ; -1 ; 3 ; Ba-141
180.8 ;  ; 0.52 ; 0.17 ; g ; La-141 ; -1 ; 4 ; Ba-141
190.328 ; 0.005 ; 46 ; 4 ; g ; La-141 ; -1 ; 5 ; Ba-141
234.9 ;  ; 0.060 ; 0.015 ; g ; La-141 ; -1 ; 7 ; Ba-141
242.7 ;  ; 0.092 ; 0.015 ; g ; La-141 ; -1 ; 8 ; Ba-141
255.1 ;  ; 0.009 ; 0.005 ; g ; La-141 ; -1 ; 9 ; Ba-141
276.948 ; 0.013 ; 23.4 ; 1.7 ; g ; La-141 ; -1 ; 10 ; Ba-141
281.6 ;  ; 0.101 ; 0.016 ; g ; La-141 ; -1 ; 11 ; Ba-141
304.194 ; 0.019 ; 25.4 ; 1.9 ; g ; La-141 ; -1 ; 12 ; Ba-141
321.5 ;  ; 0.028 ; 0.014 ; g ; La-141 ; -1 ; 13 ; Ba-141
343.673 ; 0.017 ; 14.4 ; 1.1 ; g ; La-141 ; -1 ; 14 ; Ba-141
349.5 ;  ; 0.23 ; 0.18 ; g ; La-141 ; -1 ; 15 ; Ba-141
359.2 ;  ; 0.010 ; 0.008 ; g ; La-141 ; -1 ; 16 ; Ba-141
364.5 ;  ; 0.59 ; 0.05 ; g ; La-141 ; -1 ; 17 ; Ba-141
381.4 ;  ; 0.12 ; 0.02 ; g ; La-141 ; -1 ; 18 ; Ba-141
390 ;  ; 1.33 ; 0.10 ; g ; La-141 ; -1 ; 19 ; Ba-141
418.8 ;  ; 0.064 ; 0.015 ; g ; La-141 ; -1 ; 20 ; Ba-141
441.1 ; 0.4 ; 0.032 ; 0.010 ; g ; La-141 ; -1 ; 21 ; Ba-141
457.8 ;  ; 5.0 ; 0.4 ; g ; La-141 ; -1 ; 22 ; Ba-141
462.3 ;  ; 4.9 ; 0.4 ; g ; La-141 ; -1 ; 23 ; Ba-141
462.9 ;  ; 0.06 ; 0.03 ; g ; La-141 ; -1 ; 24 ; Ba-141
467.5 ;  ; 5.7 ; 0.5 ; g ; La-141 ; -1 ; 25 ; Ba-141
486.7 ;  ; 0.060 ; 0.015 ; g ; La-141 ; -1 ; 26 ; Ba-141
510.3 ;  ; 0.14 ; 0.05 ; g ; La-141 ; -1 ; 27 ; Ba-141
522.3 ;  ; 0.432 ; 0.040 ; g ; La-141 ; -1 ; 28 ; Ba-141
524.3 ;  ; 0.46 ; 0.04 ; g ; La-141 ; -1 ; 29 ; Ba-141
527.6 ;  ; 0.46 ; 0.08 ; g ; La-141 ; -1 ; 30 ; Ba-141
541.6 ;  ; 0.083 ; 0.024 ; g ; La-141 ; -1 ; 31 ; Ba-141
551 ;  ; 0.097 ; 0.020 ; g ; La-141 ; -1 ; 32 ; Ba-141
561.7 ;  ; 0.19 ; 0.03 ; g ; La-141 ; -1 ; 33 ; Ba-141
