Nuclide ; Bi-207 
Element ; Bismuth
Z ; 83
Daughter(s) ; (B+, EC) ; Pb-207 ; 100
Q+ ; 2397.5
Possible parent(s) ; (alpha) ; At-211 ; 41.78
Half-life (a) ; 32.9 ; 1.4
Half-life (s) ; 1.038E9 ; 0.044E9
Decay constant (1/s) ; 668E-12 ; 28E-12
Specific activity (Bq/g) ; 1.94E12 ; 0.08E12
Reference ; CEA/LNE-LNHB - 2009
Emissions (12 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
12.51 ;  ; 32.9 ; 0.6 ; XL ; Pb-207 ;  ; 
72.8049 ;  ; 21.75 ; 0.30 ; XKa2 ; Pb-207 ;  ; 
74.97 ;  ; 36.6 ; 0.5 ; XKa1 ; Pb-207 ;  ; 
84.9527 ;  ; 12.49 ; 0.25 ; XK'b1 ; Pb-207 ;  ; 
87.5763 ;  ; 3.77 ; 0.10 ; XK'b2 ; Pb-207 ;  ; 
328.11 ; 0.10 ; 0.0044 ; 0.0035 ; g ; Pb-207 ; 2 ; 1
511 ;  ; 0.024 ; 0.004 ; g511 ; Pb-207 ; -1 ; -1
569.698 ; 0.002 ; 97.76 ; 0.03 ; g ; Pb-207 ; 1 ; 0
897.8 ; 0.1 ; 0.1284 ; 0.0047 ; g ; Pb-207 ; 2 ; 0
1063.656 ; 0.003 ; 74.58 ; 0.22 ; g ; Pb-207 ; 3 ; 1
1442.2 ; 0.2 ; 0.1315 ; 0.0022 ; g ; Pb-207 ; 4 ; 2
1770.228 ; 0.009 ; 6.871 ; 0.026 ; g ; Pb-207 ; 4 ; 1
==========================================================================================================
