Nuclide ; Bi-212 
Element ; Bismuth
Z ; 83
Daughter(s) ; (B-) ; Po-212 ; 64.07 ; (alpha) ; Tl-208 ; 35.93
Q- ; 2252.1 ; Qalpha ; 6207.26
Possible parent(s) ; (B-) ; Pb-212 ; 100
Half-life (min) ; 60.54 ; 0.06
Half-life (s) ; 3.6324E3 ; 0.0036E3
Decay constant (1/s) ; 190.82E-6 ; 0.19E-6
Specific activity (Bq/g) ; 542.1E15 ; 0.5E15
Reference ; Surrey Univ. - 2010
Emissions (42 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
11.8455 ;  ; 7.1 ; 0.3 ; XL ; Tl-208 ;  ; 
12.9355 ;  ; 0.0563 ; 0.0024 ; XL ; Po-212 ;  ; 
39.858 ; 0.004 ; 1.07 ; 0.01 ; g ; Tl-208 ; 1 ; 0
70.8325 ;  ; 0.0525 ; 0.0023 ; XKa2 ; Tl-208 ;  ; 
72.8725 ;  ; 0.089 ; 0.004 ; XKa1 ; Tl-208 ;  ; 
76.864 ;  ; 0.0388 ; 0.0008 ; XKa2 ; Po-212 ;  ; 
79.293 ;  ; 0.0647 ; 0.0013 ; XKa1 ; Po-212 ;  ; 
82.6033 ;  ; 0.0301 ; 0.0014 ; XK'b1 ; Tl-208 ;  ; 
85.1387 ;  ; 0.0089 ; 0.0005 ; XK'b2 ; Tl-208 ;  ; 
89.8087 ;  ; 0.0223 ; 0.0006 ; XK'b1 ; Po-212 ;  ; 
92.6213 ;  ; 0.00693 ; 0.00020 ; XK'b2 ; Po-212 ;  ; 
164.80 ; 0.06 ; 0.0055 ; 0.0006 ; g ; Tl-208 ; 4 ; 2
180.2 ; 0.2 ; 0.0031 ; 0.0012 ; g ; Po-212 ; 5 ; 3
288.18 ; 0.05 ; 0.32 ; 0.02 ; g ; Tl-208 ; 2 ; 1
328.04 ; 0.05 ; 0.121 ; 0.003 ; g ; Tl-208 ; 2 ; 0
433.5 ; 0.4 ; 0.011 ; 0.001 ; g ; Tl-208 ; 3 ; 1
452.98 ; 0.04 ; 0.34 ; 0.03 ; g ; Tl-208 ; 4 ; 1
473.4 ; 0.4 ; 0.044 ; 0.003 ; g ; Tl-208 ; 3 ; 0
492.84 ; 0.04 ; 0.039 ; 0.010 ; g ; Tl-208 ; 4 ; 0
580.5 ; 0.3 ; 0.0011 ; 0.0002 ; g ; Tl-208 ; 6 ; 1
620.4 ; 0.3 ; 0.0038 ; 0.0004 ; g ; Tl-208 ; 6 ; 0
727.330 ; 0.009 ; 6.65 ; 0.04 ; g ; Po-212 ; 1 ; 0
785.37 ; 0.09 ; 1.11 ; 0.01 ; g ; Po-212 ; 2 ; 1
893.408 ; 0.014 ; 0.38 ; 0.01 ; g ; Po-212 ; 3 ; 1
952.12 ; 0.02 ; 0.14 ; 0.04 ; g ; Po-212 ; 4 ; 1
1073.6 ; 0.2 ; 0.0154 ; 0.0006 ; g ; Po-212 ; 5 ; 1
1078.63 ; 0.10 ; 0.55 ; 0.02 ; g ; Po-212 ; 6 ; 1
1512.70 ; 0.08 ; 0.29 ; 0.01 ; g ; Po-212 ; 2 ; 0
1620.738 ; 0.010 ; 1.51 ; 0.03 ; g ; Po-212 ; 3 ; 0
1679.450 ; 0.014 ; 0.07 ; 0.01 ; g ; Po-212 ; 4 ; 0
1805.96 ; 0.10 ; 0.12 ; 0.03 ; g ; Po-212 ; 6 ; 0
5302 ; 2 ; 0.000040 ; 0.000004 ; a ; Bi-212 ; 0 ; 8
5344 ; 2 ; 0.00036 ; 0.00003 ; a ; Bi-212 ; 0 ; 7
5481.4 ; 0.3 ; 0.0050 ; 0.0004 ; a ; Bi-212 ; 0 ; 6
5606.60 ; 0.05 ; 0.43 ; 0.03 ; a ; Bi-212 ; 0 ; 4
5625.7 ; 0.4 ; 0.060 ; 0.003 ; a ; Bi-212 ; 0 ; 3
5768.29 ; 0.06 ; 0.61 ; 0.03 ; a ; Bi-212 ; 0 ; 2
6051.04 ; 0.03 ; 25.1 ; 0.1 ; a ; Bi-212 ; 0 ; 1
6090.14 ; 0.03 ; 9.7 ; 0.1 ; a ; Bi-212 ; 0 ; 0
9498.78 ; 0.11 ; 0.0024 ; 0.0002 ; a* ; Po-212 ; 1 ; 0
10432.94 ; 0.11 ; 0.0010 ; 0.0001 ; a* ; Po-212 ; 4 ; 0
10552.1 ; 0.2 ; 0.0106 ; 0.0007 ; a* ; Po-212 ; 5 ; 0
==========================================================================================================
