Nuclide ; Bi-214 
Element ; Bismuth
Z ; 83
Daughter(s) ; (B-) ; Po-214 ; 99.979 ; (alpha) ; Tl-210 ; 0.021
Q- ; 3270 ; Qalpha ; 5621
Possible parent(s) ; (B-) ; Pb-214 ; 100 ; (alpha) ; At-218 ; 99.9
Half-life (min) ; 19.8 ; 0.1
Half-life (s) ; 1.188E3 ; 0.006E3
Decay constant (1/s) ; 583.5E-6 ; 2.9E-6
Specific activity (Bq/g) ; 1.642E18 ; 0.008E18
Reference ; CEA/LNE-LNHB - 2007
Emissions (239 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
12.935 ;  ; 0.627 ; 0.015 ; XL ; Po-214 ;  ; 
62.5 ; 1.0 ; 0.0116 ; 0.0007 ; g ; Tl-210 ; 1 ; 0
76.864 ;  ; 0.426 ; 0.013 ; XKa2 ; Po-214 ;  ; 
79.293 ;  ; 0.710 ; 0.022 ; XKa1 ; Po-214 ;  ; 
89.8087 ;  ; 0.244 ; 0.009 ; XK'b1 ; Po-214 ;  ; 
92.6213 ;  ; 0.0760 ; 0.0029 ; XK'b2 ; Po-214 ;  ; 
191.1 ; 1.8 ; 0.00125 ; 0.00007 ; g ; Tl-210 ; 2 ; 1
221 ; 1 ; 0.059 ; 0.006 ; g ; Po-214 ; 11 ; 6
230 ; 1 ; 0.0029 ; 0.0010 ; g ; Po-214 ; -1 ; 0
252.80 ; 0.06 ; 0.0117 ; 0.0018 ; g ; Po-214 ; 16 ; 11
268.8 ; 0.2 ; 0.0161 ; 0.0018 ; g ; Po-214 ; 6 ; 3
273.80 ; 0.05 ; 0.120 ; 0.008 ; g ; Po-214 ; 29 ; 22
280.95 ; 0.05 ; 0.062 ; 0.006 ; g ; Po-214 ; 42 ; 28
304.2 ; 0.2 ; 0.0255 ; 0.0023 ; g ; Po-214 ; -1 ; 1
333.350 ; 0.042 ; 0.063 ; 0.004 ; g ; Po-214 ; 14 ; 7
334.78 ; 0.08 ; 0.033 ; 0.005 ; g ; Po-214 ; -1 ; 2
348.92 ; 0.06 ; 0.123 ; 0.032 ; g ; Po-214 ; 11 ; 5
386.77 ; 0.05 ; 0.296 ; 0.005 ; g ; Po-214 ; 11 ; 4
388.88 ; 0.05 ; 0.394 ; 0.005 ; g ; Po-214 ; 18 ; 9
394.05 ; 0.08 ; 0.0127 ; 0.0018 ; g ; Po-214 ; 29 ; 17
396.01 ; 0.08 ; 0.0259 ; 0.0018 ; g ; Po-214 ; 35 ; 22
405.74 ; 0.03 ; 0.171 ; 0.007 ; g ; Po-214 ; 2 ; 1
452.92 ; 0.10 ; 0.031 ; 0.004 ; g ; Po-214 ; 28 ; 14
454.770 ; 0.012 ; 0.288 ; 0.005 ; g ; Po-214 ; 9 ; 3
461.0 ; 0.2 ; 0.058 ; 0.008 ; g ; Po-214 ; 21 ; 10
469.76 ; 0.07 ; 0.133 ; 0.015 ; g ; Po-214 ; 12 ; 4
474.41 ; 0.05 ; 0.092 ; 0.006 ; g ; Po-214 ; 21 ; 9
485.92 ; 0.11 ; 0.021 ; 0.004 ; g ; Po-214 ; 38 ; 22
487.95 ; 0.13 ; 0.028 ; 0.009 ; g ; Po-214 ; 29 ; 14
494.2 ; 0.4 ; 0.011 ; 0.003 ; g ; Po-214 ; 39 ; 21
496.90 ; 0.18 ; 0.0068 ; 0.0018 ; g ; Po-214 ; 31 ; 15
501.96 ; 0.15 ; 0.0181 ; 0.0022 ; g ; Po-214 ; 23 ; 11
519.90 ; 0.05 ; 0.0166 ; 0.0017 ; g ; Po-214 ; 42 ; 22
524.6 ; 0.2 ; 0.0169 ; 0.0017 ; g ; Po-214 ; 42 ; 21
528 ; 1 ; 0.0109 ; 0.0013 ; g ; Po-214 ; 6 ; 2
536.77 ; 0.04 ; 0.061 ; 0.008 ; g ; Po-214 ; 23 ; 9
543.0 ; 0.2 ; 0.088 ; 0.021 ; g ; Po-214 ; 21 ; 7
547.6 ; 0.3 ; 0.034 ; 0.003 ; g ; Po-214 ; 22 ; 7
551.9 ; 0.8 ; 0.0055 ; 0.0014 ; g ; Po-214 ; 62 ; 28
572.76 ; 0.07 ; 0.071 ; 0.008 ; g ; Po-214 ; 12 ; 3
595.23 ; 0.07 ; 0.0174 ; 0.0015 ; g ; Po-214 ; 15 ; 5
600.0 ; 0.5 ; 0.008 ; 0.004 ; g ; Po-214 ; 41 ; 18
609.312 ; 0.007 ; 45.49 ; 0.19 ; g ; Po-214 ; 1 ; 0
615.73 ; 0.10 ; 0.055 ; 0.007 ; g ; Po-214 ; 13 ; 3
617.0 ; 0.2 ; 0.027 ; 0.005 ; g ; Po-214 ; 14 ; 4
626.4 ; 0.6 ; 0.0041 ; 0.0014 ; g ; Po-214 ; 51 ; 23
630.79 ; 0.07 ; 0.0166 ; 0.0014 ; g ; Po-214 ; -1 ; 3
633.14 ; 0.10 ; 0.055 ; 0.003 ; g ; Po-214 ; 15 ; 4
634.72 ; 0.21 ; 0.0064 ; 0.0023 ; g ; Po-214 ; 29 ; 12
639.67 ; 0.10 ; 0.034 ; 0.005 ; g ; Po-214 ; 16 ; 4
649.18 ; 0.07 ; 0.054 ; 0.007 ; g ; Po-214 ; 20 ; 6
658.7 ; 0.2 ; 0.017 ; 0.004 ; g ; Po-214 ; 27 ; 11
661.1 ; 0.2 ; 0.054 ; 0.004 ; g ; Po-214 ; 21 ; 6
665.453 ; 0.022 ; 1.530 ; 0.007 ; g ; Po-214 ; 3 ; 1
677.41 ; 0.15 ; 0.0055 ; 0.0023 ; g ; Po-214 ; 38 ; 16
683.22 ; 0.06 ; 0.084 ; 0.006 ; g ; Po-214 ; 28 ; 11
