Nuclide ; Br-87 
Element ; Bromine
Z ; 35
Daughter(s) ; (B-) ; Kr-87 ; 100
Q- ; 6817.8
Half-life (s) ; 55.65 ; 0.13
Decay constant (1/s) ; 12.455E-3 ; 0.029E-3
Specific activity (Bq/g) ; 86.22E18 ; 0.20E18
Reference ; NDS 62 - 1999
Emissions (361 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
93.54 ; 0.07 ; 0.130 ; 0.009 ; g ; Kr-87 ; -1 ; 0 ; 
121.42 ; 0.07 ; 0.036 ; 0.004 ; g ; Kr-87 ; -1 ; 1 ; 
175.59 ; 0.10 ; 0.052 ; 0.009 ; g ; Kr-87 ; -1 ; 2 ; 
190.3 ; 0.7 ; 0.078 ; 0.010 ; g ; Kr-87 ; -1 ; 3 ; 
230.33 ; 0.09 ; 0.54 ; 0.04 ; g ; Kr-87 ; -1 ; 4 ; 
263.96 ; 0.07 ; 0.20 ; 0.02 ; g ; Kr-87 ; -1 ; 5 ; 
346.06 ; 0.07 ; 0.080 ; 0.006 ; g ; Kr-87 ; -1 ; 6 ; 
380.14 ; 0.07 ; 0.15 ; 0.01 ; g ; Kr-87 ; -1 ; 7 ; 
389.14 ; 0.20 ; 0.031 ; 0.006 ; g ; Kr-87 ; -1 ; 8 ; 
421.74 ; 0.10 ; 3.2 ; 0.3 ; g ; Kr-87 ; -1 ; 9 ; 
447.610 ; 0.015 ; 0.10 ; 0.02 ; g ; Kr-87 ; -1 ; 10 ; 
454.4 ; 0.5 ; 0.031 ; 0.010 ; g ; Kr-87 ; -1 ; 11 ; 
461.52 ; 0.07 ; 0.43 ; 0.03 ; g ; Kr-87 ; -1 ; 12 ; 
493.39 ; 0.05 ; 0.100 ; 0.009 ; g ; Kr-87 ; -1 ; 13 ; 
529.60 ; 0.15 ; 1.3 ; 0.2 ; g ; Kr-87 ; -1 ; 14 ; 
532.03 ; 0.07 ; 5.4 ; 0.4 ; g ; Kr-87 ; -1 ; 15 ; 
555.72 ; 0.07 ; 0.047 ; 0.004 ; g ; Kr-87 ; -1 ; 16 ; 
583.6 ; 0.5 ; 0.09 ; 0.03 ; g ; Kr-87 ; -1 ; 17 ; 
600.44 ; 0.15 ; 0.09 ; 0.01 ; g ; Kr-87 ; -1 ; 18 ; 
610.46 ; 0.07 ; 0.60 ; 0.06 ; g ; Kr-87 ; -1 ; 19 ; 
611.5 ; 0.8 ; 0.24 ; 0.06 ; g ; Kr-87 ; -1 ; 20 ; 
614.2 ; 0.9 ; 0.05 ; 0.03 ; g ; Kr-87 ; -1 ; 21 ; 
617.5 ; 0.3 ; 0.12 ; 0.04 ; g ; Kr-87 ; -1 ; 22 ; 
636.39 ; 0.08 ; 0.16 ; 0.01 ; g ; Kr-87 ; -1 ; 23 ; 
651.96 ; 0.07 ; 1.10 ; 0.08 ; g ; Kr-87 ; -1 ; 24 ; 
681.22 ; 0.08 ; 0.38 ; 0.03 ; g ; Kr-87 ; -1 ; 25 ; 
685.9 ; 0.7 ; 0.04 ; 0.02 ; g ; Kr-87 ; -1 ; 26 ; 
692.5 ; 0.4 ; 0.031 ; 0.002 ; g ; Kr-87 ; -1 ; 27 ; 
698.59 ; 0.09 ; 0.14 ; 0.01 ; g ; Kr-87 ; -1 ; 28 ; 
714.09 ; 0.07 ; 0.19 ; 0.01 ; g ; Kr-87 ; -1 ; 29 ; 
719.46 ; 0.10 ; 0.060 ; 0.007 ; g ; Kr-87 ; -1 ; 30 ; 
724.57 ; 0.15 ; 0.082 ; 0.010 ; g ; Kr-87 ; -1 ; 31 ; 
737.96 ; 0.07 ; 0.47 ; 0.03 ; g ; Kr-87 ; -1 ; 32 ; 
798.6 ; 0.3 ; 0.082 ; 0.010 ; g ; Kr-87 ; -1 ; 33 ; 
824.0 ; 0.3 ; 0.12 ; 0.02 ; g ; Kr-87 ; -1 ; 34 ; 
831.26 ; 0.07 ; 1.30 ; 0.09 ; g ; Kr-87 ; -1 ; 35 ; 
834.9 ; 0.4 ; 0.17 ; 0.07 ; g ; Kr-87 ; -1 ; 36 ; 
