Nuclide ; Cm-240 
Element ; Curium
Z ; 96
Daughter(s) ; (alpha) ; Pu-236 ; 99.7
Qalpha ; 6397.2
Half-life (d) ; 27 ; 1
Half-life (s) ; 2.33E6 ; 0.09E6
Decay constant (1/s) ; 297E-9 ; 11E-9
Specific activity (Bq/g) ; 746E12 ; 28E12
Reference ; NDS 59 - 1999
Gamma emissions (97 lines) sorted by nuclide and by increasing energy
----------------------------------------------------- Cm-240 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
47.6 ;  ; 0.069 ; 0.021 ; g ; U-232 ; -1 ; 0 ; Pu-236
109 ;  ; 0.012 ; 0.004 ; g ; U-232 ; -1 ; 1 ; Pu-236
165 ;  ; 0.00066 ; 0.00020 ; g ; U-232 ; -1 ; 2 ; Pu-236
515.6 ;  ; 0.00017 ; 0.00005 ; g ; U-232 ; -1 ; 3 ; Pu-236
563.2 ;  ; 0.00010 ; 0.00003 ; g ; U-232 ; -1 ; 4 ; Pu-236
645 ;  ; 0.00024 ; 0.00008 ; g ; U-232 ; -1 ; 5 ; Pu-236
------------------------------------------------------ U-232 -----------------------------------------------------
57.752 ; 0.013 ; 0.200 ; 0.004 ; g ; Th-228 ; 1 ; 0 ; U-232
129.065 ; 0.003 ; 0.0686 ; 0.0007 ; g ; Th-228 ; 2 ; 1 ; U-232
140.999 ; 0.020 ; 0.0000031 ; 0.0000013 ; g ; Th-228 ; 6 ; 4 ; U-232
191.351 ; 0.011 ; 0.000031 ; 0.000003 ; g ; Th-228 ; 4 ; 2 ; U-232
209.252 ; 0.006 ; 0.000011 ; 0.000003 ; g ; Th-228 ; 5 ; 2 ; U-232
270.245 ; 0.007 ; 0.00317 ; 0.00007 ; g ; Th-228 ; 3 ; 1 ; U-232
328.004 ; 0.007 ; 0.00283 ; 0.00007 ; g ; Th-228 ; 3 ; 0 ; U-232
332.371 ; 0.006 ; 0.000049 ; 0.000003 ; g ; Th-228 ; 6 ; 2 ; U-232
338.320 ; 0.005 ; 0.0000370 ; 0.0000018 ; g ; Th-228 ; 5 ; 1 ; U-232
478.41 ; 0.05 ; 0.0000014 ; 0.0000006 ; g ; Th-228 ; 8 ; 5 ; U-232
503.819 ; 0.023 ; 0.0000145 ; 0.0000009 ; g ; Th-228 ; 7 ; 3 ; U-232
546.454 ; 0.021 ; 0.0000010 ; 0.0000006 ; g ; Th-228 ; 8 ; 3 ; U-232
