Nuclide ; Cm-242 
Element ; Curium
Z ; 96
Daughter(s) ; (alpha) ; Pu-238 ; 100
Qalpha ; 6215.56
Possible parent(s) ; (B-) ; Am-242 ; 83.1
Half-life (d) ; 162.86 ; 0.08
Half-life (s) ; 14.071E6 ; 0.007E6
Decay constant (1/s) ; 49.260E-9 ; 0.024E-9
Specific activity (Bq/g) ; 122.58E12 ; 0.06E12
Reference ; KRI - 2009
Emissions (48 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
17.595 ;  ; 9.92 ; 0.23 ; XL ; Pu-238 ;  ; 
44.08 ; 0.03 ; 0.0330 ; 0.0007 ; g ; Pu-238 ; 1 ; 0
99.525 ;  ; 0.000082 ; 0.000009 ; XKa2 ; Pu-238 ;  ; 
101.92 ; 0.04 ; 0.00251 ; 0.00014 ; g ; Pu-238 ; 2 ; 1
103.734 ;  ; 0.000130 ; 0.000015 ; XKa1 ; Pu-238 ;  ; 
117.13 ;  ; 0.000048 ; 0.000006 ; XK'b1 ; Pu-238 ;  ; 
121.0173 ;  ; 0.0000165 ; 0.0000019 ; XK'b2 ; Pu-238 ;  ; 
157.42 ; 0.09 ; 0.00145 ; 0.00016 ; g ; Pu-238 ; 3 ; 2
210.20 ; 0.14 ; 0.000012 ;  ; g ; Pu-238 ; 4 ; 3
336.36 ; 0.15 ; 0.0000007 ; 0.0000003 ; g ; Pu-238 ; 8 ; 5
357.64 ; 0.07 ; 0.000000045 ; 0.000000009 ; g ; Pu-238 ; 9 ; 5
459.8 ; 0.2 ; 0.00000006 ; 0.00000003 ; g ; Pu-238 ; 7 ; 3
515.25 ; 0.19 ; 0.0000045 ; 0.0000012 ; g ; Pu-238 ; 6 ; 2
561.02 ; 0.10 ; 0.00015 ; 0.00004 ; g ; Pu-238 ; 5 ; 1
605.04 ; 0.10 ; 0.000105 ; 0.000030 ; g ; Pu-238 ; 5 ; 0
617.20 ; 0.12 ; 0.0000079 ; 0.0000021 ; g ; Pu-238 ; 6 ; 1
617.22 ; 0.13 ; 0.00000016 ;  ; g ; Pu-238 ; 7 ; 2
837.01 ; 0.15 ; 0.00000019 ; 0.00000006 ; g ; Pu-238 ; 10 ; 2
882.63 ; 0.03 ; 0.000000067 ; 0.000000015 ; g ; Pu-238 ; 12 ; 2
897.33 ; 0.10 ; 0.000022 ; 0.000006 ; g ; Pu-238 ; 8 ; 1
918.7 ; 0.2 ; 0.00000054 ; 0.00000015 ; g ; Pu-238 ; 9 ; 1
938.91 ; 0.10 ; 0.00000018 ; 0.00000006 ; g ; Pu-238 ; 10 ; 1
962.8 ; 0.2 ; 0.00000053 ; 0.00000015 ; g ; Pu-238 ; 9 ; 0
974.5 ; 0.3 ; 0.0000002 ;  ; g ; Pu-238 ; 11 ; 1
979.8 ; 0.2 ; 0.00000026 ; 0.00000008 ; g ; Pu-238 ; 13 ; 2
983.0 ; 0.3 ; 0.00000050 ; 0.00000018 ; g ; Pu-238 ; 10 ; 0
984.5 ; 0.1 ; 0.0000020 ; 0.0000006 ; g ; Pu-238 ; 12 ; 1
1028.5 ; 0.2 ; 0.0000016 ; 0.0000005 ; g ; Pu-238 ; 12 ; 0
1081.7 ; 0.3 ; 0.00000005 ; 0.00000002 ; g ; Pu-238 ; 13 ; 1
1118.3 ; 0.3 ; 0.00000017 ; 0.00000009 ; g ; Pu-238 ; 15 ; 2
1184.6 ; 0.3 ; 0.00000050 ; 0.00000015 ; g ; Pu-238 ; 14 ; 1
1220.2 ; 0.3 ; 0.00000028 ; 0.00000009 ; g ; Pu-238 ; 15 ; 1
4869.43 ; 0.23 ; 0.00000052 ; 0.00000014 ; a ; Cm-242 ; 0 ; 15
4904.44 ; 0.23 ; 0.00000055 ; 0.00000015 ; a ; Cm-242 ; 0 ; 14
5005.64 ; 0.19 ; 0.00000031 ; 0.00000010 ; a ; Cm-242 ; 0 ; 13
5101.21 ; 0.10 ; 0.0000037 ; 0.0000010 ; a ; Cm-242 ; 0 ; 12
5111.1 ; 0.3 ; 0.0000002 ;  ; a ; Cm-242 ; 0 ; 11
5146.07 ; 0.12 ; 0.0000017 ; 0.0000005 ; a ; Cm-242 ; 0 ; 10
5165.95 ; 0.16 ; 0.00000113 ; 0.00000021 ; a ; Cm-242 ; 0 ; 9
5186.95 ; 0.12 ; 0.000035 ; 0.000007 ; a ; Cm-242 ; 0 ; 8
5366.22 ; 0.15 ; 0.00000022 ;  ; a ; Cm-242 ; 0 ; 7
5462.47 ; 0.14 ; 0.000013 ; 0.000003 ; a ; Cm-242 ; 0 ; 6
5517.75 ; 0.11 ; 0.00025 ; 0.00005 ; a ; Cm-242 ; 0 ; 5
5607.76 ; 0.16 ; 0.00002 ;  ; a ; Cm-242 ; 0 ; 4
5816.39 ; 0.11 ; 0.0046 ; 0.0005 ; a ; Cm-242 ; 0 ; 3
5969.24 ; 0.09 ; 0.034 ; 0.002 ; a ; Cm-242 ; 0 ; 2
6069.37 ; 0.09 ; 25.94 ; 0.07 ; a ; Cm-242 ; 0 ; 1
6112.72 ; 0.08 ; 74.06 ; 0.07 ; a ; Cm-242 ; 0 ; 0
==========================================================================================================
