Nuclide ; Cs-138 
Element ; Cesium
Z ; 55
Daughter(s) ; (B-) ; Ba-138 ; 100
Q- ; 5375
Possible parent(s) ; (B-) ; Xe-138 ; 100
Half-life (min) ; 33.41 ; 0.18
Half-life (s) ; 2.005E3 ; 0.011E3
Decay constant (1/s) ; 345.8E-6 ; 1.9E-6
Specific activity (Bq/g) ; 1.509E18 ; 0.008E18
Reference ; NDS 69 - 1999
Emissions (91 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
4.8815 ;  ; 0.19 ; 0.06 ; XL ; Ba ;  ;  ; 
31.8174 ;  ; 0.72 ; 0.05 ; XKa2 ; Ba ;  ;  ; 
32.1939 ;  ; 0.39 ; 0.03 ; XKa1 ; Ba ;  ;  ; 
36.4457 ;  ; 0.216 ; 0.015 ; XK'b1 ; Ba ;  ;  ; 
37.3317 ;  ; 0.054 ; 0.004 ; XK'b2 ; Ba ;  ;  ; 
112.60 ; 0.13 ; 0.130 ; 0.023 ; g ; Ba-138 ; -1 ; 0 ; 
138.10 ; 0.06 ; 1.49 ; 0.08 ; g ; Ba-138 ; -1 ; 1 ; 
191.96 ; 0.06 ; 0.50 ; 0.04 ; g ; Ba-138 ; -1 ; 2 ; 
193.89 ; 0.08 ; 0.328 ; 0.023 ; g ; Ba-138 ; -1 ; 3 ; 
212.32 ; 0.08 ; 0.175 ; 0.014 ; g ; Ba-138 ; -1 ; 4 ; 
227.76 ; 0.06 ; 1.51 ; 0.04 ; g ; Ba-138 ; -1 ; 5 ; 
324.90 ; 0.08 ; 0.290 ; 0.018 ; g ; Ba-138 ; -1 ; 6 ; 
333.86 ; 0.16 ; 0.089 ; 0.015 ; g ; Ba-138 ; -1 ; 7 ; 
363.93 ; 0.08 ; 0.244 ; 0.023 ; g ; Ba-138 ; -1 ; 8 ; 
365.29 ; 0.13 ; 0.191 ; 0.023 ; g ; Ba-138 ; -1 ; 9 ; 
368.7 ; 0.4 ; 0.022 ; 0.008 ; g ; Ba-138 ; -1 ; 10 ; 
408.98 ; 0.06 ; 4.66 ; 0.09 ; g ; Ba-138 ; -1 ; 11 ; 
421.59 ; 0.07 ; 0.427 ; 0.023 ; g ; Ba-138 ; -1 ; 12 ; 
462.796 ; 0.005 ; 30.7 ; 0.6 ; g ; Ba-138 ; -1 ; 13 ; 
516.74 ; 0.12 ; 0.43 ; 0.05 ; g ; Ba-138 ; -1 ; 14 ; 
547.001 ; 0.005 ; 10.76 ; 0.23 ; g ; Ba-138 ; -1 ; 15 ; 
575.7 ; 0.4 ; 0.021 ; 0.008 ; g ; Ba-138 ; -1 ; 16 ; 
596.2 ; 0.4 ; 0.026 ; 0.010 ; g ; Ba-138 ; -1 ; 17 ; 
683.59 ; 0.15 ; 0.108 ; 0.014 ; g ; Ba-138 ; -1 ; 18 ; 
702.92 ; 0.17 ; 0.084 ; 0.013 ; g ; Ba-138 ; -1 ; 19 ; 
717.56 ; 0.13 ; 0.040 ; 0.012 ; g ; Ba-138 ; -1 ; 20 ; 
754.5 ; 0.4 ; 0.034 ; 0.012 ; g ; Ba-138 ; -1 ; 21 ; 
766.10 ; 0.12 ; 0.146 ; 0.014 ; g ; Ba-138 ; -1 ; 22 ; 
773.31 ; 0.10 ; 0.233 ; 0.018 ; g ; Ba-138 ; -1 ; 23 ; 
782.08 ; 0.09 ; 0.33 ; 0.03 ; g ; Ba-138 ; -1 ; 24 ; 
797.7 ; 0.5 ; 0.053 ; 0.023 ; g ; Ba-138 ; -1 ; 25 ; 
802.6 ; 0.3 ; 0.038 ; 0.023 ; g ; Ba-138 ; -1 ; 26 ; 
813.0 ; 0.3 ; 0.060 ; 0.018 ; g ; Ba-138 ; -1 ; 27 ; 
842.21 ; 0.16 ; 0.082 ; 0.011 ; g ; Ba-138 ; -1 ; 28 ; 
855.6 ; 0.5 ; 0.023 ; 0.009 ; g ; Ba-138 ; -1 ; 29 ; 
871.80 ; 0.08 ; 5.11 ; 0.13 ; g ; Ba-138 ; -1 ; 30 ; 
880.8 ; 0.3 ; 0.11 ; 0.03 ; g ; Ba-138 ; -1 ; 31 ; 
935.03 ; 0.12 ; 0.181 ; 0.016 ; g ; Ba-138 ; -1 ; 32 ; 
946.0 ; 0.5 ; 0.031 ; 0.013 ; g ; Ba-138 ; -1 ; 33 ; 
952.87 ; 0.17 ; 0.053 ; 0.014 ; g ; Ba-138 ; -1 ; 34 ; 
1009.78 ; 0.08 ; 29.8 ; 0.6 ; g ; Ba-138 ; -1 ; 35 ; 
1041.51 ; 0.11 ; 0.063 ; 0.017 ; g ; Ba-138 ; -1 ; 36 ; 
1054.32 ; 0.15 ; 0.159 ; 0.019 ; g ; Ba-138 ; -1 ; 37 ; 
1147.22 ; 0.09 ; 1.24 ; 0.07 ; g ; Ba-138 ; -1 ; 38 ; 
1199.15 ; 0.24 ; 0.17 ; 0.03 ; g ; Ba-138 ; -1 ; 39 ; 
1203.69 ; 0.13 ; 0.40 ; 0.04 ; g ; Ba-138 ; -1 ; 40 ; 
1264.94 ; 0.16 ; 0.137 ; 0.017 ; g ; Ba-138 ; -1 ; 41 ; 
1343.59 ; 0.09 ; 1.14 ; 0.05 ; g ; Ba-138 ; -1 ; 42 ; 
1359.4 ; 0.3 ; 0.048 ; 0.019 ; g ; Ba-138 ; -1 ; 43 ; 
1386.39 ; 0.21 ; 0.076 ; 0.011 ; g ; Ba-138 ; -1 ; 44 ; 
1415.68 ; 0.13 ; 0.37 ; 0.03 ; g ; Ba-138 ; -1 ; 45 ; 
