Nuclide ; Eu-150 
Element ; Europium
Z ; 63
Daughter(s) ; (EC) ; Sm-150 ; 100
Q+ ; 2261
Half-life (a) ; 36.9 ; 0.9
Half-life (s) ; 1.164E9 ; 0.028E9
Decay constant (1/s) ; 595E-12 ; 15E-12
Specific activity (Bq/g) ; 2.39E12 ; 0.06E12
Reference ; NDS 75 - 2000
Emissions (120 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
6.35 ;  ; 15.3 ; 2.0 ; XL ; Sm ;  ;  ; 
39.5229 ;  ; 23.1 ; 0.9 ; XKa2 ; Sm ;  ;  ; 
40.1186 ;  ; 41.8 ; 1.5 ; XKa1 ; Sm ;  ;  ; 
45.4777 ;  ; 13.1 ; 0.6 ; XK'b1 ; Sm ;  ;  ; 
46.6977 ;  ; 3.4 ; 0.2 ; XK'b2 ; Sm ;  ;  ; 
78.7 ; 0.3 ; 0.083 ; 0.009 ; g ; Sm-150 ; -1 ; 0 ; 
125 ;  ; 0.0019 ; 0.0010 ; g ; Sm-150 ; -1 ; 1 ; 
135.05 ; 0.17 ; 0.012 ; 0.003 ; g ; Sm-150 ; -1 ; 2 ; 
205.15 ; 0.08 ; 0.030 ; 0.004 ; g ; Sm-150 ; -1 ; 3 ; 
251.60 ; 0.03 ; 0.173 ; 0.011 ; g ; Sm-150 ; -1 ; 4 ; 
272.79 ; 0.09 ; 0.038 ; 0.010 ; g ; Sm-150 ;  ;  ; 
284.99 ; 0.03 ; 0.167 ; 0.010 ; g ; Sm-150 ; -1 ; 7 ; 
286.293 ; 0.015 ; 0.23 ; 0.06 ; g ; Sm-150 ;  ;  ; 
298.061 ; 0.014 ; 0.64 ; 0.03 ; g ; Sm-150 ; -1 ; 11 ; 
305.70 ; 0.08 ; 0.034 ; 0.006 ; g ; Sm-150 ; -1 ; 12 ; 
310.82 ; 0.08 ; 0.030 ; 0.006 ; g ; Sm-150 ; -1 ; 13 ; 
315.0 ; 0.2 ; 0.017 ; 0.006 ; g ; Sm-150 ; -1 ; 14 ; 
333.971 ; 0.012 ; 96 ; 3 ; g ; Sm-150 ; -1 ; 15 ; 
335.7 ; 0.1 ; 0.036 ; 0.015 ; g ; Sm-150 ; -1 ; 16 ; 
340.38 ; 0.04 ; 0.156 ; 0.016 ; g ; Sm-150 ; -1 ; 17 ; 
342.56 ; 0.04 ; 0.170 ; 0.016 ; g ; Sm-150 ; -1 ; 18 ; 
345.955 ; 0.019 ; 0.398 ; 0.019 ; g ; Sm-150 ; -1 ; 19 ; 
370.72 ; 0.03 ; 0.108 ; 0.025 ; g ; Sm-150 ;  ;  ; 
372.73 ; 0.03 ; 0.239 ; 0.012 ; g ; Sm-150 ; -1 ; 22 ; 
377.73 ; 0.03 ; 0.12 ; 0.08 ; g ; Sm-150 ;  ;  ; 
381.99 ; 0.03 ; 0.112 ; 0.009 ; g ; Sm-150 ; -1 ; 25 ; 
402.152 ; 0.012 ; 0.78 ; 0.03 ; g ; Sm-150 ; -1 ; 26 ; 
403.36 ; 0.10 ; 0.240 ; 0.013 ; g ; Sm-150 ; -1 ; 27 ; 
406.52 ; 0.05 ; 0.140 ; 0.015 ; g ; Sm-150 ; -1 ; 28 ; 
420.55 ; 0.22 ; 0.013 ; 0.006 ; g ; Sm-150 ; -1 ; 29 ; 
439.401 ; 0.015 ; 80 ; 3 ; g ; Sm-150 ; -1 ; 30 ; 
448.789 ; 0.012 ; 0.259 ; 0.013 ; g ; Sm-150 ; -1 ; 31 ; 
453.38 ; 0.10 ; 0.026 ; 0.005 ; g ; Sm-150 ; -1 ; 32 ; 
458.36 ; 0.06 ; 0.044 ; 0.005 ; g ; Sm-150 ; -1 ; 33 ; 
461.761 ; 0.015 ; 0.83 ; 0.04 ; g ; Sm-150 ; -1 ; 34 ; 
464.11 ; 0.07 ; 0.46 ; 0.11 ; g ; Sm-150 ;  ;  ; 
474.50 ; 0.03 ; 0.145 ; 0.009 ; g ; Sm-150 ; -1 ; 37 ; 
476.89 ; 0.13 ; 0.024 ; 0.017 ; g ; Sm-150 ;  ;  ; 
485.931 ; 0.020 ; 0.165 ; 0.009 ; g ; Sm-150 ; -1 ; 40 ; 
505.52 ; 0.03 ; 4.80 ; 0.18 ; g ; Sm-150 ; -1 ; 41 ; 
