Nuclide ; Eu-156 
Element ; Europium
Z ; 63
Daughter(s) ; (B-) ; Gd-156 ; 100
Q- ; 2451
Half-life (d) ; 15.19 ; 0.08
Half-life (s) ; 1.312E6 ; 0.007E6
Decay constant (1/s) ; 528.1E-9 ; 2.8E-9
Specific activity (Bq/g) ; 2.039E15 ; 0.011E15
Reference ; NDS 49 & 99 - 2003
Emissions (106 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
6.856 ;  ; 5.1 ; 0.8 ; XL ; Gd ;  ;  ; 
42.3093 ;  ; 3.6 ; 0.5 ; XKa2 ; Gd ;  ;  ; 
42.9967 ;  ; 6.5 ; 0.9 ; XKa1 ; Gd ;  ;  ; 
48.7687 ;  ; 2.0 ; 0.3 ; XK'b1 ; Gd ;  ;  ; 
50.093 ;  ; 0.54 ; 0.08 ; XK'b2 ; Gd ;  ;  ; 
88.9656 ; 0.0016 ; 8.4 ; 1.2 ; g ; Gd-156 ; -1 ; 0 ; 
138.7 ; 0.2 ; 0.0079 ; 0.0011 ; g ; Gd-156 ; -1 ; 1 ; 
160.2 ; 0.2 ; 0.0103 ; 0.0014 ; g ; Gd-156 ; -1 ; 2 ; 
190.16 ; 0.08 ; 0.0165 ; 0.0021 ; g ; Gd-156 ; -1 ; 3 ; 
199.216 ; 0.005 ; 0.74 ; 0.08 ; g ; Gd-156 ; -1 ; 4 ; 
215.7 ; 0.2 ; 0.013 ; 0.003 ; g ; Gd-156 ; -1 ; 5 ; 
244.7 ; 0.3 ; 0.009 ; 0.003 ; g ; Gd-156 ; -1 ; 6 ; 
281.4 ; 0.2 ; 0.0078 ; 0.0021 ; g ; Gd-156 ; -1 ; 7 ; 
290.49 ; 0.15 ; 0.0087 ; 0.0021 ; g ; Gd-156 ; -1 ; 8 ; 
317.30 ; 0.09 ; 0.060 ; 0.008 ; g ; Gd-156 ; -1 ; 9 ; 
335.69 ; 0.11 ; 0.0102 ; 0.0016 ; g ; Gd-156 ; -1 ; 10 ; 
348.27 ; 0.09 ; 0.0136 ; 0.0023 ; g ; Gd-156 ; -1 ; 11 ; 
354.20 ; 0.09 ; 0.0146 ; 0.0023 ; g ; Gd-156 ; -1 ; 12 ; 
434.40 ; 0.09 ; 0.209 ; 0.018 ; g ; Gd-156 ; -1 ; 13 ; 
472.70 ; 0.06 ; 0.145 ; 0.013 ; g ; Gd-156 ; -1 ; 14 ; 
490.34 ; 0.06 ; 0.160 ; 0.014 ; g ; Gd-156 ; -1 ; 15 ; 
494.90 ; 0.15 ; 0.015 ; 0.004 ; g ; Gd-156 ; -1 ; 16 ; 
498.88 ; 0.06 ; 0.066 ; 0.007 ; g ; Gd-156 ; -1 ; 17 ; 
554.66 ; 0.06 ; 0.017 ; 0.005 ; g ; Gd-156 ; -1 ; 18 ; 
585.90 ; 0.06 ; 0.047 ; 0.004 ; g ; Gd-156 ; -1 ; 19 ; 
599.47 ; 0.05 ; 2.08 ; 0.18 ; g ; Gd-156 ; -1 ; 20 ; 
626 ;  ; 0.022 ; 0.005 ; g ; Gd-156 ; -1 ; 21 ; 
632.79 ; 0.08 ; 0.039 ; 0.006 ; g ; Gd-156 ; -1 ; 22 ; 
646.29 ; 0.05 ; 6.3 ; 0.6 ; g ; Gd-156 ; -1 ; 23 ; 
660 ;  ; 0.014 ; 0.004 ; g ; Gd-156 ; -1 ; 24 ; 
665.8 ; 0.3 ; 0.003 ; 0.003 ; g ; Gd-156 ; -1 ; 25 ; 
707.1 ; 0.2 ; 0.065 ; 0.008 ; g ; Gd-156 ; -1 ; 26 ; 
