Nuclide ; Fr-221 
Element ; Francium
Z ; 87
Daughter(s) ; (B-) ; Ra-221 ; 0.0048 ; (alpha) ; At-217 ; 99.9952
Q- ; 314 ; Qalpha ; 6457.8
Possible parent(s) ; (alpha) ; Ac-225 ; 100
Half-life (min) ; 4.79 ; 0.02
Half-life (s) ; 287.4 ; 1.2
Decay constant (1/s) ; 2.412E-3 ; 0.010E-3
Specific activity (Bq/g) ; 6.572E18 ; 0.027E18
Reference ; CNDC - 2008
Intensity threshold ; 0.001%
X and gamma emissions (92 lines out of 100) sorted by nuclide and by increasing energy
----------------------------------------------------- Fr-221 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
13.31275 ;  ; 2.18 ; 0.07 ; XL ; At ;  ;  ; Fr-221
53.81 ; 0.03 ; 0.0145 ; 0.0025 ; g ; At-217 ; 3 ; 2 ; Fr-221
78.94 ;  ; 0.96 ; 0.05 ; XKa2 ; At ;  ;  ; Fr-221
81.51 ;  ; 1.59 ; 0.09 ; XKa1 ; At ;  ;  ; Fr-221
92.3093 ;  ; 0.55 ; 0.06 ; XK'b1 ; At ;  ;  ; Fr-221
95.2173 ;  ; 0.18 ; 0.02 ; XK'b2 ; At ;  ;  ; Fr-221
96.3 ; 0.3 ; 0.007 ; 0.003 ; g ; At-217 ; 4 ; 3 ; Fr-221
100.25 ; 0.02 ; 0.156 ; 0.013 ; g ; At-217 ; 1 ; 0 ; Fr-221
117.82 ; 0.03 ; 0.022 ; 0.016 ; g ; At-217 ; 2 ; 1 ; Fr-221
150.21 ; 0.03 ; 0.0449 ; 0.0025 ; g ; At-217 ; 4 ; 2 ; Fr-221
171.83 ; 0.03 ; 0.069 ; 0.009 ; g ; At-217 ; 3 ; 1 ; Fr-221
208.3 ; 0.6 ; 0.0051 ; 0.0010 ; g ; At-217 ; 10 ; 4 ; Fr-221
218.12 ; 0.02 ; 11.42 ; 0.15 ; g ; At-217 ; 2 ; 0 ; Fr-221
282.12 ; 0.09 ; 0.0069 ; 0.0007 ; g ; At-217 ; 5 ; 1 ; Fr-221
324.10 ; 0.06 ; 0.0174 ; 0.0012 ; g ; At-217 ; 7 ; 1 ; Fr-221
359.86 ; 0.04 ; 0.0385 ; 0.0015 ; g ; At-217 ; 10 ; 2 ; Fr-221
382.34 ; 0.04 ; 0.0340 ; 0.0014 ; g ; At-217 ; 5 ; 0 ; Fr-221
