Nuclide ; Fr-223 
Element ; Francium
Z ; 87
Daughter(s) ; (B-) ; Ra-223 ; 99.98 ; (alpha) ; At-219 ; 0.02
Q- ; 1149.2 ; Qalpha ; 5562
Possible parent(s) ; (alpha) ; Ac-227 ; 1.38
Half-life (min) ; 22.00 ; 0.07
Half-life (s) ; 1.3200E3 ; 0.0042E3
Decay constant (1/s) ; 525.1E-6 ; 1.7E-6
Specific activity (Bq/g) ; 1.4181E18 ; 0.0045E18
Reference ; CNDC - 2010
Emissions (140 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
13.31275 ;  ; 0.0054 ; 0.0013 ; XL ; At-219 ;  ; 
14.489 ;  ; 24 ; 3 ; XL ; Ra-223 ;  ; 
20.27 ; 0.05 ; 1.4 ; 0.3 ; g ; Ra-223 ; 2 ; 1
29.78 ; 0.04 ; 0.070 ; 0.017 ; g ; Ra-223 ; 1 ; 0
31.69 ; 0.05 ; 0.00135 ;  ; g ; Ra-223 ; 3 ; 1
43.5 ; 0.2 ; 0.0022 ;  ; g ; Ra-223 ; 9 ; 8
44.0 ; 0.1 ; 0.00135 ;  ; g ; Ra-223 ; 5 ; 4
49.80 ; 0.05 ; 2.5 ; 0.6 ; g ; Ra-223 ; 4 ; 1
50.10 ; 0.02 ; 33 ; 7 ; g ; Ra-223 ; 2 ; 0
58.9 ; 0.2 ; 0.0008 ; 0.0003 ; g ; At-219 ; 1 ; 0
61.43 ; 0.05 ; 0.0035 ; 0.0007 ; g ; Ra-223 ; 3 ; 0
62.31 ; 0.06 ; 0.016 ; 0.007 ; g ; Ra-223 ; 5 ; 3
73.5 ; 0.1 ; 0.0013 ; 0.0009 ; g ; Ra-223 ; 5 ; 2
78.94 ;  ; 0.00056 ; 0.00015 ; XKa2 ; At-219 ;  ; 
79.65 ; 0.02 ; 9.0 ; 1.8 ; g ; Ra-223 ; 4 ; 0
81.51 ;  ; 0.00092 ; 0.00025 ; XKa1 ; At-219 ;  ; 
85.43 ;  ; 1.44 ; 0.19 ; XKa2 ; Ra-223 ;  ; 
88.47 ;  ; 2.3 ; 0.3 ; XKa1 ; Ra-223 ;  ; 
89.08 ; 0.10 ; 0.054 ; 0.011 ; g ; Ra-223 ; 13 ; 7
92.3093 ;  ; 0.00031 ; 0.00011 ; XK'b1 ; At-219 ;  ; 
93.88 ; 0.05 ; 0.059 ; 0.014 ; g ; Ra-223 ; 5 ; 1
95.2173 ;  ; 0.00011 ; 0.00006 ; XK'b2 ; At-219 ;  ; 
100.1 ;  ; 0.83 ; 0.11 ; XK'b1 ; Ra-223 ;  ; 
103.3083 ;  ; 0.27 ; 0.04 ; XK'b2 ; Ra-223 ;  ; 
111.05 ; 0.03 ; 0.0049 ; 0.0014 ; g ; Ra-223 ; 6 ; 5
134.60 ; 0.02 ; 0.5 ; 0.1 ; g ; Ra-223 ; 13 ; 6
145.3 ; 0.3 ; 0.0002 ; 0.0001 ; g ; At-219 ; 4 ; 2
150.9 ; 0.2 ; 0.0056 ; 0.0005 ; g ; At-219 ; 2 ; 0
155.5 ; 0.5 ; 0.0027 ;  ; g ; Ra-223 ; 6 ; 4
173.35 ; 0.05 ; 0.115 ; 0.022 ; g ; Ra-223 ; 6 ; 3
184.65 ; 0.05 ; 0.22 ; 0.05 ; g ; Ra-223 ; 6 ; 2
200.7 ; 0.2 ; 0.0027 ; 0.0010 ; g ; Ra-223 ; 7 ; 4
204.85 ; 0.05 ; 0.92 ; 0.18 ; g ; Ra-223 ; 6 ; 1
205.6 ; 0.2 ; 0.0059 ; 0.0011 ; g ; Ra-223 ; 9 ; 5
210.60 ; 0.05 ; 0.0097 ; 0.0019 ; g ; Ra-223 ; 10 ; 5
218.80 ; 0.05 ; 0.0086 ; 0.0017 ; g ; Ra-223 ; 7 ; 3
234.70 ; 0.05 ; 2.7 ; 0.5 ; g ; Ra-223 ; 6 ; 0
236.05 ; 0.05 ; 0.027 ; 0.008 ; g ; Ra-223 ; 8 ; 2
245.60 ; 0.05 ; 0.019 ; 0.004 ; g ; Ra-223 ; 13 ; 5
250.25 ; 0.05 ; 0.019 ;  ; g ; Ra-223 ;  ; 
254.6 ; 0.2 ; 0.0057 ; 0.0012 ; g ; Ra-223 ; 10 ; 4
256.18 ; 0.05 ; 0.020 ; 0.004 ; g ; Ra-223 ; 8 ; 1
262.9 ; 0.2 ; 0.0035 ; 0.0011 ; g ; Ra-223 ; 11 ; 4
272.8 ; 0.2 ; 0.004 ; 0.001 ; g ; Ra-223 ; 10 ; 3
280.7 ; 0.5 ; 0.0006 ;  ; g ; Ra-223 ;  ; 
286.0 ; 0.2 ; 0.0046 ; 0.0010 ; g ; Ra-223 ; 8 ; 0
289.67 ; 0.05 ; 0.21 ;  ; g ; Ra-223 ; 13 ; 4
296.5 ; 0.2 ; 0.0013 ; 0.0004 ; g ; Ra-223 ; 14 ; 4
299.95 ; 0.05 ; 0.020 ; 0.004 ; g ; Ra-223 ; 9 ; 1
304.40 ; 0.05 ; 0.0086 ; 0.0017 ; g ; Ra-223 ; 10 ; 1
307.93 ; 0.05 ; 0.0133 ; 0.0033 ; g ; Ra-223 ;  ; 
312.65 ; 0.05 ; 0.016 ; 0.004 ; g ; Ra-223 ; 11 ; 1
314.6 ; 0.2 ; 0.0022 ; 0.0007 ; g ; Ra-223 ; 14 ; 3
319.25 ; 0.05 ; 0.46 ; 0.09 ; g ; Ra-223 ; 13 ; 2
329.80 ; 0.05 ; 0.024 ; 0.005 ; g ; Ra-223 ; 9 ; 0
