Nuclide ; Fr-227 
Element ; Francium
Z ; 87
Daughter(s) ; (B-) ; Ra-227 ; 100
Q- ; 2506
Half-life (min) ; 2.47 ; 0.03
Half-life (s) ; 148.2 ; 1.8
Decay constant (1/s) ; 4.68E-3 ; 0.06E-3
Specific activity (Bq/g) ; 12.41E18 ; 0.15E18
Reference ; NDS 65 - 1999
Emissions (123 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
14.915 ;  ; 19.0 ; 2.5 ; XL ; Ra ;  ;  ; 
37.9 ; 0.1 ; 0.65 ; 0.16 ; g ; Ra-227 ; -1 ; 1 ; 
64.085 ; 0.010 ; 0.3 ; 0.3 ; g ; Ra-227 ; -1 ; 2 ; 
64.267 ; 0.002 ; 14.5 ; 1.7 ; g ; Ra-227 ; -1 ; 3 ; 
76.1 ; 0.1 ; 0.150 ; 0.025 ; g ; Ra-227 ; -1 ; 4 ; 
85.43 ;  ; 7.9 ; 1.0 ; XKa2 ; Ra ;  ;  ; 
88.47 ;  ; 13.0 ; 1.7 ; XKa1 ; Ra ;  ;  ; 
90.035 ; 0.002 ; 39 ; 5 ; g ; Ra-227 ; -1 ; 7 ; 
100.1 ;  ; 4.61 ; 0.11 ; XK'b1 ; Ra ;  ;  ; 
100.1 ; 0.2 ; 2.7 ; 0.6 ; g ; Ra-227 ; -1 ; 9 ; 
101.894 ; 0.002 ; 3.6 ; 0.6 ; g ; Ra-227 ; -1 ; 10 ; 
103.3083 ;  ; 1.51 ; 0.04 ; XK'b2 ; Ra ;  ;  ; 
107.306 ; 0.004 ; 0.59 ; 0.07 ; g ; Ra-227 ; -1 ; 11 ; 
113.03 ; 0.05 ; 0.09 ; 0.04 ; g ; Ra-227 ; -1 ; 72 ; 
120.709 ; 0.008 ; 1.39 ; 0.17 ; g ; Ra-227 ; -1 ; 12 ; 
123.17 ; 0.05 ; 0.134 ; 0.018 ; g ; Ra-227 ; -1 ; 13 ; 
131.0 ; 0.1 ; 0.111 ; 0.017 ; g ; Ra-227 ; -1 ; 14 ; 
135.280 ; 0.008 ; 0.71 ; 0.21 ; g ; Ra-227 ; -1 ; 15 ; 
135.525 ; 0.005 ; 1.0 ; 0.4 ; g ; Ra-227 ; -1 ; 16 ; 
139.65 ; 0.10 ; 0.071 ; 0.017 ; g ; Ra-227 ; -1 ; 73 ; 
145.139 ; 0.016 ; 0.071 ; 0.009 ; g ; Ra-227 ; -1 ; 74 ; 
149.3 ; 0.1 ; 0.150 ; 0.018 ; g ; Ra-227 ; -1 ; 17 ; 
151.177 ; 0.021 ; 0.30 ; 0.21 ; g ; Ra-227 ; -1 ; 18 ; 
151.55 ; 0.03 ; 0.126 ; 0.017 ; g ; Ra-227 ; -1 ; 19 ; 
153.272 ; 0.015 ; 0.111 ; 0.017 ; g ; Ra-227 ; -1 ; 20 ; 
159.37 ; 0.05 ; 0.22 ; 0.03 ; g ; Ra-227 ; -1 ; 21 ; 
159.74 ; 0.05 ; 0.07 ; 0.04 ; g ; Ra-227 ; -1 ; 75 ; 
161.052 ; 0.013 ; 0.43 ; 0.05 ; g ; Ra-227 ; -1 ; 22 ; 
163.563 ; 0.007 ; 1.56 ; 0.17 ; g ; Ra-227 ; -1 ; 23 ; 
173.9 ; 0.3 ; 0.071 ; 0.040 ; g ; Ra-227 ; -1 ; 76 ; 
175.228 ; 0.014 ; 0.5 ; 0.4 ; g ; Ra-227 ; -1 ; 24 ; 
175.867 ; 0.004 ; 1.03 ; 0.25 ; g ; Ra-227 ; -1 ; 25 ; 
178.47 ; 0.10 ; 0.22 ; 0.04 ; g ; Ra-227 ; -1 ; 26 ; 
182.394 ; 0.015 ; 0.27 ; 0.04 ; g ; Ra-227 ; -1 ; 27 ; 
187.27 ; 0.04 ; 0.071 ; 0.024 ; g ; Ra-227 ; -1 ; 77 ; 
194.255 ; 0.010 ; 0.150 ; 0.018 ; g ; Ra-227 ; -1 ; 28 ; 
200.85 ; 0.05 ; 0.59 ; 0.07 ; g ; Ra-227 ; -1 ; 29 ; 
202.394 ; 0.004 ; 0.079 ; 0.017 ; g ; Ra-227 ; -1 ; 78 ; 
204.30 ; 0.01 ; 2.9 ; 0.3 ; g ; Ra-227 ; -1 ; 30 ; 
206.539 ; 0.005 ; 0.53 ; 0.07 ; g ; Ra-227 ; -1 ; 31 ; 
207.852 ; 0.020 ; 0.063 ; 0.016 ; g ; Ra-227 ; -1 ; 79 ; 
225.469 ; 0.039 ; 0.071 ; 0.016 ; g ; Ra-227 ; -1 ; 80 ; 
237.2 ; 0.2 ; 0.055 ; 0.016 ; g ; Ra-227 ; -1 ; 81 ; 
249.3 ; 0.1 ; 0.063 ; 0.016 ; g ; Ra-227 ; -1 ; 82 ; 
251.9 ; 0.1 ; 0.063 ; 0.016 ; g ; Ra-227 ; -1 ; 83 ; 
263.7 ; 0.1 ; 0.047 ; 0.016 ; g ; Ra-227 ; -1 ; 84 ; 
270.6 ; 0.1 ; 0.047 ; 0.008 ; g ; Ra-227 ; -1 ; 85 ; 
284.31 ; 0.03 ; 0.15 ; 0.04 ; g ; Ra-227 ; -1 ; 32 ; 
291.55 ; 0.05 ; 0.73 ; 0.07 ; g ; Ra-227 ; -1 ; 33 ; 
294.52 ; 0.11 ; 0.24 ; 0.04 ; g ; Ra-227 ; -1 ; 34 ; 
296.7 ; 0.1 ; 0.032 ; 0.016 ; g ; Ra-227 ; -1 ; 86 ; 
306.2 ; 0.2 ; 0.031 ; 0.016 ; g ; Ra-227 ; -1 ; 87 ; 
321.76 ; 0.03 ; 0.095 ; 0.017 ; g ; Ra-227 ; -1 ; 88 ; 
347.251 ; 0.018 ; 0.205 ; 0.019 ; g ; Ra-227 ; -1 ; 35 ; 
348.80 ; 0.03 ; 0.079 ; 0.009 ; g ; Ra-227 ; -1 ; 89 ; 
350.85 ; 0.05 ; 0.198 ; 0.019 ; g ; Ra-227 ; -1 ; 36 ; 
362.86 ; 0.05 ; 0.221 ; 0.020 ; g ; Ra-227 ; -1 ; 37 ; 
369.669 ; 0.008 ; 3.16 ; 0.24 ; g ; Ra-227 ; -1 ; 38 ; 
373.12 ; 0.07 ; 0.071 ; 0.017 ; g ; Ra-227 ; -1 ; 90 ; 
379.15 ; 0.10 ; 0.095 ; 0.017 ; g ; Ra-227 ; -1 ; 91 ; 
381.556 ; 0.015 ; 2.01 ; 0.19 ; g ; Ra-227 ; -1 ; 39 ; 
384.348 ; 0.008 ; 1.80 ; 0.18 ; g ; Ra-227 ; -1 ; 40 ; 
391.57 ; 0.02 ; 2.60 ; 0.22 ; g ; Ra-227 ; -1 ; 41 ; 
403.19 ; 0.10 ; 0.33 ; 0.03 ; g ; Ra-227 ; -1 ; 42 ; 
411.14 ; 0.08 ; 0.12 ; 0.04 ; g ; Ra-227 ; -1 ; 43 ; 
413.029 ; 0.011 ; 0.31 ; 0.03 ; g ; Ra-227 ; -1 ; 44 ; 
422.0 ; 0.2 ; 0.071 ; 0.017 ; g ; Ra-227 ; -1 ; 92 ; 
433.824 ; 0.009 ; 5.1 ; 0.4 ; g ; Ra-227 ; -1 ; 45 ; 
437.07 ; 0.03 ; 0.103 ; 0.017 ; g ; Ra-227 ; -1 ; 46 ; 
438.768 ; 0.018 ; 0.150 ; 0.025 ; g ; Ra-227 ; -1 ; 47 ; 
445.76 ; 0.10 ; 0.103 ; 0.025 ; g ; Ra-227 ; -1 ; 48 ; 
449.26 ; 0.03 ; 0.36 ; 0.04 ; g ; Ra-227 ; -1 ; 49 ; 
