Nuclide ; Ga-66 
Element ; Gallium
Z ; 31
Daughter(s) ; (B+, EC) ; Zn-66 ; 100
Q+ ; 5175
Half-life (h) ; 9.49 ; 0.07
Half-life (s) ; 34.16E3 ; 0.25E3
Decay constant (1/s) ; 20.29E-6 ; 0.15E-6
Specific activity (Bq/g) ; 185.1E15 ; 1.4E15
Reference ; LBNL - 2003
Emissions (150 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
0.9595 ;  ; 0.597 ; 0.019 ; XL ; Zn-66 ;  ; 
8.61587 ;  ; 5.8 ; 0.3 ; XKa2 ; Zn-66 ;  ; 
8.63896 ;  ; 11.3 ; 0.6 ; XKa1 ; Zn-66 ;  ; 
9.611 ;  ; 2.42 ; 0.12 ; XK'b1 ; Zn-66 ;  ; 
171.9 ; 0.2 ; 0.0104 ; 0.0009 ; g ; Zn-66 ; -1 ; 1
283.87 ; 0.03 ; 0.0036 ; 0.0008 ; g ; Zn-66 ; 20 ; 14
290.8105 ; 0.0011 ; 0.049 ; 0.004 ; g ; Zn-66 ; 9 ; 6
347.77 ; 0.05 ; 0.0018 ; 0.0006 ; g ; Zn-66 ; 23 ; 18
375.398 ; 0.017 ; 0.0021 ; 0.0006 ; g ; Zn-66 ; 25 ; 23
410.178 ; 0.012 ; 0.065 ; 0.006 ; g ; Zn-66 ; 20 ; 11
412.916 ; 0.016 ; 0.0034 ; 0.0006 ; g ; Zn-66 ; 24 ; 22
442.873 ; 0.014 ; 0.01554 ; 0.00016 ; g ; Zn-66 ; 11 ; 6
448.73 ; 0.02 ; 0.107 ; 0.009 ; g ; Zn-66 ; 9 ; 4
459.683 ; 0.014 ; 0.088 ; 0.008 ; g ; Zn-66 ; 20 ; 10
494.336 ; 0.013 ; 0.0056 ; 0.0009 ; g ; Zn-66 ; 13 ; 6
499.590 ; 0.006 ; 0.0048 ; 0.0012 ; g ; Zn-66 ; 3 ; 2
