Nuclide ; Ge-77 
Element ; Germanium
Z ; 32
Daughter(s) ; (B-) ; As-77 ; 100
Q- ; 2703.5
Half-life (h) ; 11.30 ; 0.01
Half-life (s) ; 40.680E3 ; 0.036E3
Decay constant (1/s) ; 17.039E-6 ; 0.015E-6
Specific activity (Bq/g) ; 133.26E15 ; 0.12E15
Reference ; NDS 81 - 1999
Gamma emissions (161 lines) sorted by decreasing intensity
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
264.44 ; 0.03 ; 53.9 ; 0.5 ; g ; As-77 ; -1 ; 10 ; 
211.03 ; 0.03 ; 30.8 ; 1.0 ; g ; As-77 ; -1 ; 6 ; 
215.50 ; 0.03 ; 28.6 ; 0.9 ; g ; As-77 ; -1 ; 7 ; 
416.33 ; 0.03 ; 21.8 ; 0.6 ; g ; As-77 ; -1 ; 19 ; 
558.02 ; 0.03 ; 16.1 ; 0.4 ; g ; As-77 ; -1 ; 32 ; 
367.40 ; 0.03 ; 14.0 ; 0.4 ; g ; As-77 ; -1 ; 17 ; 
714.35 ; 0.03 ; 7.17 ; 0.18 ; g ; As-77 ; -1 ; 53 ; 
631.82 ; 0.03 ; 6.95 ; 0.18 ; g ; As-77 ; -1 ; 39 ; 
1085.19 ; 0.03 ; 6.05 ; 0.15 ; g ; As-77 ; -1 ; 97 ; 
1368.4 ; 0.5 ; 3.3 ; 0.4 ; g ; As-77 ; -1 ; 123 ; 
1193.26 ; 0.03 ; 2.57 ; 0.06 ; g ; As-77 ; -1 ; 106 ; 
810.35 ; 0.03 ; 2.27 ; 0.06 ; g ; As-77 ; -1 ; 66 ; 
634.39 ; 0.03 ; 2.08 ; 0.05 ; g ; As-77 ; -1 ; 40 ; 
194.76 ; 0.03 ; 1.77 ; 0.07 ; g ; As-77 ; -1 ; 4 ; 
784.77 ; 0.03 ; 1.32 ; 0.03 ; g ; As-77 ; -1 ; 61 ; 
461.38 ; 0.03 ; 1.27 ; 0.03 ; g ; As-77 ; -1 ; 24 ; 
419.75 ; 0.03 ; 1.23 ; 0.03 ; g ; As-77 ; -1 ; 20 ; 
928.85 ; 0.03 ; 1.046 ; 0.024 ; g ; As-77 ; -1 ; 83 ; 
781.26 ; 0.03 ; 1.013 ; 0.024 ; g ; As-77 ; -1 ; 60 ; 
475.43 ; 0.03 ; 0.992 ; 0.024 ; g ; As-77 ; -1 ; 26 ; 
745.75 ; 0.03 ; 0.965 ; 0.024 ; g ; As-77 ; -1 ; 56 ; 
906.99 ; 0.03 ; 0.949 ; 0.024 ; g ; As-77 ; -1 ; 77 ; 
208.98 ; 0.06 ; 0.94 ; 0.04 ; g ; As-77 ; -1 ; 5 ; 
749.86 ; 0.03 ; 0.884 ; 0.019 ; g ; As-77 ; -1 ; 57 ; 
1263.86 ; 0.03 ; 0.846 ; 0.018 ; g ; As-77 ; -1 ; 111 ; 
712.35 ; 0.04 ; 0.83 ; 0.02 ; g ; As-77 ; -1 ; 52 ; 
156.36 ; 0.03 ; 0.803 ; 0.023 ; g ; As-77 ; -1 ; 1 ; 
766.72 ; 0.03 ; 0.787 ; 0.018 ; g ; As-77 ; -1 ; 58 ; 
582.54 ; 0.03 ; 0.782 ; 0.018 ; g ; As-77 ; -1 ; 34 ; 
875.19 ; 0.03 ; 0.782 ; 0.023 ; g ; As-77 ; -1 ; 72 ; 
925.47 ; 0.20 ; 0.78 ; 0.09 ; g ; As-77 ; -1 ; 81 ; 
923.14 ; 0.03 ; 0.69 ; 0.02 ; g ; As-77 ; -1 ; 80 ; 
338.66 ; 0.04 ; 0.668 ; 0.018 ; g ; As-77 ; -1 ; 15 ; 
673.09 ; 0.20 ; 0.66 ; 0.08 ; g ; As-77 ; -1 ; 45 ; 
1573.69 ; 0.03 ; 0.658 ; 0.018 ; g ; As-77 ; -1 ; 138 ; 
614.39 ; 0.20 ; 0.60 ; 0.07 ; g ; As-77 ; -1 ; 36 ; 
823.13 ; 0.04 ; 0.598 ; 0.013 ; g ; As-77 ; -1 ; 68 ; 
2000.10 ; 0.03 ; 0.561 ; 0.012 ; g ; As-77 ; -1 ; 159 ; 
1495.60 ; 0.03 ; 0.498 ; 0.012 ; g ; As-77 ; -1 ; 133 ; 
1309.27 ; 0.03 ; 0.486 ; 0.012 ; g ; As-77 ; -1 ; 115 ; 
2341.63 ; 0.04 ; 0.472 ; 0.011 ; g ; As-77 ; -1 ; 167 ; 
1719.66 ; 0.03 ; 0.398 ; 0.009 ; g ; As-77 ; -1 ; 143 ; 
1242.18 ; 0.03 ; 0.398 ; 0.009 ; g ; As-77 ; -1 ; 110 ; 
913.81 ; 0.03 ; 0.365 ; 0.009 ; g ; As-77 ; -1 ; 78 ; 
1312.80 ; 0.03 ; 0.358 ; 0.009 ; g ; As-77 ; -1 ; 116 ; 
2089.60 ; 0.03 ; 0.347 ; 0.009 ; g ; As-77 ; -1 ; 162 ; 
1709.81 ; 0.03 ; 0.307 ; 0.007 ; g ; As-77 ; -1 ; 142 ; 
1319.66 ; 0.03 ; 0.301 ; 0.007 ; g ; As-77 ; -1 ; 117 ; 
520 ; 1 ; 0.3 ; 0.4 ; g ; As-77 ; -1 ; 28 ; 
939.35 ; 0.03 ; 0.285 ; 0.007 ; g ; As-77 ; -1 ; 84 ; 
794.33 ; 0.03 ; 0.277 ; 0.007 ; g ; As-77 ; -1 ; 63 ; 
1476.52 ; 0.05 ; 0.242 ; 0.006 ; g ; As-77 ; -1 ; 130 ; 
1080.82 ; 0.08 ; 0.241 ; 0.006 ; g ; As-77 ; -1 ; 96 ; 
2077.17 ; 0.05 ; 0.233 ; 0.006 ; g ; As-77 ; -1 ; 161 ; 
337.63 ; 0.06 ; 0.232 ; 0.006 ; g ; As-77 ; -1 ; 14 ; 
159.11 ; 0.15 ; 0.23 ; 0.01 ; g ; As-77 ; -1 ; 2 ; 
698.54 ; 0.05 ; 0.229 ; 0.006 ; g ; As-77 ; -1 ; 50 ; 
268.10 ; 0.22 ; 0.22 ; 0.17 ; g ; As-77 ; -1 ; 11 ; 
1478.99 ; 0.20 ; 0.212 ; 0.022 ; g ; As-77 ; -1 ; 131 ; 
254.74 ; 0.15 ; 0.211 ; 0.007 ; g ; As-77 ; -1 ; 9 ; 
843.17 ; 0.05 ; 0.208 ; 0.005 ; g ; As-77 ; -1 ; 70 ; 
2126.15 ; 0.05 ; 0.204 ; 0.005 ; g ; As-77 ; -1 ; 163 ; 
439.44 ; 0.05 ; 0.202 ; 0.005 ; g ; As-77 ; -1 ; 22 ; 
1151.84 ; 0.05 ; 0.195 ; 0.005 ; g ; As-77 ; -1 ; 102 ; 
624.76 ; 0.09 ; 0.182 ; 0.005 ; g ; As-77 ; -1 ; 38 ; 
177.28 ; 0.05 ; 0.179 ; 0.007 ; g ; As-77 ; -1 ; 3 ; 
743.65 ; 0.05 ; 0.177 ; 0.005 ; g ; As-77 ; -1 ; 55 ; 
1279.96 ; 0.05 ; 0.174 ; 0.005 ; g ; As-77 ; -1 ; 112 ; 
1846.41 ; 0.05 ; 0.171 ; 0.004 ; g ; As-77 ; -1 ; 153 ; 
219.1 ; 0.4 ; 0.15 ; 0.15 ; g ; As-77 ; -1 ; 8 ; 
1061.70 ; 0.05 ; 0.150 ; 0.004 ; g ; As-77 ; -1 ; 95 ; 
1295.71 ; 0.20 ; 0.15 ; 0.02 ; g ; As-77 ; -1 ; 114 ; 
1727.18 ; 0.05 ; 0.148 ; 0.004 ; g ; As-77 ; -1 ; 145 ; 
1538.76 ; 0.05 ; 0.142 ; 0.004 ; g ; As-77 ; -1 ; 135 ; 
813.36 ; 0.08 ; 0.132 ; 0.004 ; g ; As-77 ; -1 ; 67 ; 
1215.42 ; 0.05 ; 0.127 ; 0.003 ; g ; As-77 ; -1 ; 108 ; 
896.51 ; 0.05 ; 0.122 ; 0.003 ; g ; As-77 ; -1 ; 75 ; 
900.97 ; 0.11 ; 0.121 ; 0.003 ; g ; As-77 ; -1 ; 76 ; 
1452.59 ; 0.05 ; 0.121 ; 0.004 ; g ; As-77 ; -1 ; 126 ; 
