Nuclide ; I-124 
Element ; Iodine
Z ; 53
Daughter(s) ; (B+, EC) ; Te-124 ; 100
Q+ ; 3159.6
Half-life (d) ; 4.17600 ; 0.00029
Half-life (s) ; 360.806E3 ; 0.025E3
Decay constant (1/s) ; 1.92111E-6 ; 0.00013E-6
Specific activity (Bq/g) ; 9.3300E15 ; 0.0006E15
Reference ; NIST - 2021
Emissions (91 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
4.0788 ;  ; 5.95 ; 0.12 ; XL ; Te-124 ;  ; 
27.202 ;  ; 16.56 ; 0.18 ; XKa2 ; Te-124 ;  ; 
27.4726 ;  ; 30.85 ; 0.29 ; XKa1 ; Te-124 ;  ; 
31.0589 ;  ; 8.83 ; 0.13 ; XK'b1 ; Te-124 ;  ; 
31.7623 ;  ; 1.92 ; 0.06 ; XK'b2 ; Te-124 ;  ; 
166.222 ; 0.036 ; 0.0077 ; 0.0028 ; g ; Te-124 ; 28 ; 23
307.441 ; 0.030 ; 0.0165 ; 0.0027 ; g ; Te-124 ; 28 ; 19
335.809 ; 0.009 ; 0.0175 ; 0.0025 ; g ; Te-124 ; 10 ; 6
351.536 ; 0.024 ; 0.0147 ; 0.0019 ; g ; Te-124 ; 23 ; 15
370.729 ; 0.030 ; 0.0025 ; 0.0012 ; g ; Te-124 ; 19 ; 12
402.688 ; 0.033 ; 0.0133 ; 0.0025 ; g ; Te-124 ; 25 ; 15
444.02 ; 0.06 ; 0.0366 ; 0.0027 ; g ; Te-124 ; 15 ; 7
468.725 ; 0.016 ; 0.0075 ; 0.0044 ; g ; Te-124 ; 19 ; 9
491.52 ; 0.06 ; 0.0280 ; 0.0031 ; g ; Te-124 ; 26 ; 14
511 ;  ; 44.11 ; 0.40 ; g511 ; Te-124 ; -1 ; -1
517.757 ; 0.033 ; 0.0228 ; 0.0027 ; g ; Te-124 ; 28 ; 15
525.459 ; 0.015 ; 0.0281 ; 0.0030 ; g ; Te-124 ; 15 ; 6
541.186 ; 0.020 ; 0.2067 ; 0.0032 ; g ; Te-124 ; 23 ; 10
551.019 ; 0.032 ; 0.007 ; 0.022 ; g ; Te-124 ; 25 ; 13
557.406 ; 0.030 ; 0.024 ; 0.016 ; g ; Te-124 ; 5 ; 3
592.337 ; 0.030 ; 0.1104 ; 0.0035 ; g ; Te-124 ; 25 ; 10
602.7255 ; 0.0021 ; 62.3 ; 0.6 ; g ; Te-124 ; 1 ; 0
609.942 ; 0.025 ; 0.1493 ; 0.0022 ; g ; Te-124 ; 23 ; 9
645.8522 ; 0.0033 ; 0.977 ; 0.006 ; g ; Te-124 ; 2 ; 1
661.094 ; 0.034 ; 0.0112 ; 0.0019 ; g ; Te-124 ; 25 ; 9
662.27 ; 0.07 ; 0.0533 ; 0.0013 ; g ; Te-124 ; 20 ; 7
678.168 ; 0.042 ; 0.0037 ; 0.0012 ; g ; Te-124 ; 28 ; 12
707.407 ; 0.030 ; 0.0915 ; 0.0014 ; g ; Te-124 ; 28 ; 10
709.319 ; 0.008 ; 0.0448 ; 0.0013 ; g ; Te-124 ; 6 ; 2
