Nuclide ; I-131 
Element ; Iodine
Z ; 53
Daughter(s) ; (B-) ; Xe-131 ; 100
Q- ; 970.8
Possible parent(s) ; (B-) ; Te-131 ; 100 ; (B-) ; Te-131m ; 79
Half-life (d) ; 8.0233 ; 0.0019
Half-life (s) ; 693.21E3 ; 0.16E3
Decay constant (1/s) ; 999.90E-9 ; 0.24E-9
Specific activity (Bq/g) ; 4.5966E15 ; 0.0011E15
Reference ; CEA/LNE-LNHB - 2014
Emissions (24 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
4.47 ;  ; 0.631 ; 0.013 ; XL ; Xe-131 ;  ; 
29.459 ;  ; 1.52 ; 0.04 ; XKa2 ; Xe-131 ;  ; 
29.779 ;  ; 2.81 ; 0.06 ; XKa1 ; Xe-131 ;  ; 
33.6893 ;  ; 0.816 ; 0.019 ; XK'b1 ; Xe-131 ;  ; 
34.4877 ;  ; 0.193 ; 0.006 ; XK'b2 ; Xe-131 ;  ; 
80.185 ; 0.002 ; 2.607 ; 0.035 ; g ; Xe-131 ; 1 ; 0
85.9 ; 0.2 ; 0.0051 ; 0.0007 ; g ; Xe-131 ; 8 ; 6
163.930 ; 0.008 ; 0.0211 ; 0.0003 ; g ; Xe-131 ; 2 ; 0
177.214 ; 0.020 ; 0.277 ; 0.007 ; g ; Xe-131 ; 3 ; 2
232.18 ; 0.15 ; 0.0023 ; 0.0009 ; g ; Xe-131 ; 6 ; 5
272.498 ; 0.017 ; 0.0581 ; 0.0015 ; g ; Xe-131 ; 6 ; 4
284.305 ; 0.005 ; 6.14 ; 0.06 ; g ; Xe-131 ; 4 ; 1
295.8 ; 0.2 ; 0.0012 ; 0.0006 ; g ; Xe-131 ; 6 ; 3
302.4 ; 0.2 ; 0.0046 ; 0.0007 ; g ; Xe-131 ; 7 ; 4
318.088 ; 0.016 ; 0.0807 ; 0.0020 ; g ; Xe-131 ; 8 ; 5
324.651 ; 0.025 ; 0.0244 ; 0.0025 ; g ; Xe-131 ; 5 ; 1
325.789 ; 0.004 ; 0.274 ; 0.008 ; g ; Xe-131 ; 7 ; 3
358.4 ; 0.2 ; 0.017 ; 0.008 ; g ; Xe-131 ; 8 ; 4
364.489 ; 0.005 ; 81.2 ; 0.5 ; g ; Xe-131 ; 4 ; 0
404.814 ; 0.004 ; 0.0552 ; 0.0017 ; g ; Xe-131 ; 5 ; 0
503.004 ; 0.004 ; 0.3540 ; 0.0046 ; g ; Xe-131 ; 7 ; 2
636.989 ; 0.004 ; 7.12 ; 0.07 ; g ; Xe-131 ; 6 ; 0
642.719 ; 0.005 ; 0.2183 ; 0.0026 ; g ; Xe-131 ; 8 ; 1
722.911 ; 0.005 ; 1.786 ; 0.019 ; g ; Xe-131 ; 8 ; 0
==========================================================================================================
